Power,Speed,LED,Width,Length,Depth,Key,Ball,LOF
50,500,0.1,83.66413637,145.2319112,55.46359818,0.937478194,-105.7604979,55.46359818
75,500,0.15,91.78119909,185.1202263,82.40352817,-63.64818634,-90.22337097,82.40352817
100,500,0.2,101.3187092,237.8295378,122.8451869,-165.8981424,-66.1265898,122.8451869
125,500,0.25,107.3199626,272.0360532,158.130532,-259.7516708,-49.9238346,158.130532
150,500,0.3,109.4265375,289.8256622,187.6012788,-343.9507614,-38.4539503,187.6012788
175,500,0.35,110.8648971,305.9566786,218.3820946,-433.4164896,-26.6380127,218.3820946
200,500,0.4,113.9829824,319.5286912,250.3204201,-522.9952956,-22.420256,250.3204201
225,500,0.45,118.1190211,325.2719065,281.3283719,-607.7470733,-29.0851568,281.3283719
250,500,0.5,121.1784909,332.2971419,314.6534979,-701.6035119,-31.2383308,314.6534979
275,500,0.55,122.2379158,349.7497479,349.6755789,-804.5509051,-16.9639995,349.6755789
300,500,0.6,122.3889227,368.5517465,378.8935596,-891.9028335,1.3849784,378.8935596
325,500,0.65,123.264044,376.0442083,405.018463,-968.5273009,6.2520763,405.018463
350,500,0.7,125.0302822,376.5105975,443.0736132,-1079.160275,1.4197509,443.0736132
375,500,0.75,125.9498585,381.2826582,489.322845,-1216.068818,3.4330827,489.322845
400,500,0.8,123.9177138,388.7455706,506.959834,-1273.044074,16.9924292,506.959834
50,600,0.083333333,77.27049994,118.8699886,33.08816065,55.27651793,-112.9415112,33.08816065
75,600,0.125,86.82727114,179.6044273,64.84013931,-20.86587565,-80.87738612,64.84013931
100,600,0.166666667,97.00657004,249.2711562,108.779429,-132.3251468,-41.74855392,108.779429
125,600,0.208333333,102.3171825,285.6356003,141.8037059,-220.7767528,-21.3159472,141.8037059
150,600,0.25,104.1418404,296.7685717,165.3858051,-287.8737345,-15.6569495,165.3858051
175,600,0.291666667,106.8077268,311.3018154,191.507425,-360.9068214,-9.121365,191.507425
200,600,0.333333333,111.0497692,332.6299461,221.1562042,-441.3690741,-0.5193615,221.1562042
225,600,0.375,114.3224988,346.6619468,249.5839337,-520.1068035,3.6944504,249.5839337
250,600,0.416666667,115.3631056,352.7865675,278.3591827,-604.351337,6.6972507,278.3591827
275,600,0.458333333,115.6055824,361.7618413,308.5166127,-694.3386734,14.9450941,308.5166127
300,600,0.5,116.8797696,375.556036,334.7453398,-770.4764804,24.9167272,334.7453398
325,600,0.541666667,119.3783566,388.1176064,358.6567616,-837.2135717,29.9825366,358.6567616
350,600,0.583333333,121.6786546,397.8825435,392.1493062,-933.0906093,32.8465797,392.1493062
375,600,0.625,121.9538329,406.0303889,432.2531473,-1052.851776,40.1688902,432.2531473
400,600,0.666666667,119.2537544,408.306146,448.5219336,-1107.058292,50.5448828,448.5219336
50,700,0.071428571,72.395917,102.4698287,19.1368047,87.38141989,-114.7179223,19.1368047
75,700,0.107142857,82.83774662,172.1142334,50.97218628,12.75893441,-76.39900646,50.97218628
100,700,0.142857143,93.67359112,251.0261619,94.72197098,-96.81873068,-29.99461146,94.72197098
125,700,0.178571429,98.85028567,291.6538969,125.4809483,-178.7422736,-4.89696011,125.4809483
150,700,0.214285714,100.4507014,303.0835562,145.3198343,-235.0581001,1.731452,145.3198343
175,700,0.25,103.3783633,319.1113324,168.0309076,-297.3359962,8.9762425,168.0309076
200,700,0.285714286,107.7690857,345.4948871,195.1191573,-369.8193004,22.18763,195.1191573
225,700,0.321428571,110.4726004,364.5937391,220.7163589,-441.2038758,33.1759379,220.7163589
250,700,0.357142857,110.8379815,370.6355408,245.6063374,-515.1430492,38.1215963,245.6063374
275,700,0.392857143,111.1762837,374.5226715,271.8237482,-593.1186772,40.9938204,271.8237482
300,700,0.428571429,113.0900135,384.4176921,295.4277642,-660.1032656,45.1476516,295.4277642
325,700,0.464285714,115.9655855,399.1878212,317.095195,-719.354414,51.2910647,317.095195
350,700,0.5,118.2799373,415.0276059,346.3331515,-802.4395798,60.187794,346.3331515
375,700,0.535714286,118.770173,426.944915,381.0635435,-905.6502845,70.634396,381.0635435
400,700,0.571428571,116.7797095,427.5178598,396.3827301,-955.5887714,77.1787313,396.3827301
50,800,0.0625,69.076041,95.13208061,12.89297335,99.47316195,-112.0960424,12.89297335
75,800,0.09375,79.78326467,165.2981191,41.61456511,34.72283402,-74.05167491,41.61456511
100,800,0.125,91.13325421,247.4567751,82.56389005,-65.42516175,-25.94298753,82.56389005
125,800,0.15625,96.6009347,292.9372837,111.0510879,-139.9513944,3.1344796,111.0510879
150,800,0.1875,98.12435004,308.7199476,128.7540138,-190.0133412,14.34689748,128.7540138
175,800,0.21875,100.6961861,327.656297,149.1387344,-246.0238308,25.5677387,149.1387344
200,800,0.25,104.6160809,356.3193249,173.7902338,-312.1385396,42.4710822,173.7902338
