iteration,RBF_BO_mean,RBF_BO_std,HyperKappa_BO_mean,HyperKappa_BO_std,Random_mean,Random_std,LLM-GA_unrestricted_p0.05_mean,LLM-GA_unrestricted_p0.05_std,LLM-GA_unrestricted_p0.1_mean,LLM-GA_unrestricted_p0.1_std,LLM-GA_unrestricted_p0.3_mean,LLM-GA_unrestricted_p0.3_std,LLM-GA_unrestricted_p0.5_mean,LLM-GA_unrestricted_p0.5_std,LLM-GA_unrestricted_p0.7_mean,LLM-GA_unrestricted_p0.7_std,LLM-GA_unrestricted_p0.9_mean,LLM-GA_unrestricted_p0.9_std,LLM-GA_depth3_p0.05_mean,LLM-GA_depth3_p0.05_std,LLM-GA_depth3_p0.1_mean,LLM-GA_depth3_p0.1_std,LLM-GA_depth3_p0.3_mean,LLM-GA_depth3_p0.3_std,LLM-GA_depth3_p0.5_mean,LLM-GA_depth3_p0.5_std,LLM-GA_depth3_p0.7_mean,LLM-GA_depth3_p0.7_std,LLM-GA_depth3_p0.9_mean,LLM-GA_depth3_p0.9_std
0,-2139.1107509690796,1883.3446723194522,-2139.1107509690796,1883.3446723194522,-2139.1107509690796,1883.3446723194522,-2139.1107509690796,1883.3446723194522,-2139.1107509690796,1883.3446723194522,-2139.1107509690796,1883.3446723194522,-2139.1107509690796,1883.3446723194522,-2139.1107509690796,1883.3446723194522,-2139.1107509690796,1883.3446723194522,-2139.1107509690796,1883.3446723194522,-2139.1107509690796,1883.3446723194522,-2139.1107509690796,1883.3446723194522,-2139.1107509690796,1883.3446723194522,-2139.1107509690796,1883.3446723194522,-2139.1107509690796,1883.3446723194522
1,-1150.1602268240608,1380.8803000035691,-1044.0893675574987,1296.9599594116296,-2139.1107509690796,1883.3446723194522,-2139.1107509690796,1883.3446723194522,-2139.1107509690796,1883.3446723194522,-2139.1107509690796,1883.3446723194522,-2139.1107509690796,1883.3446723194522,-2139.1107509690796,1883.3446723194522,-2139.1107509690796,1883.3446723194522,-2139.1107509690796,1883.3446723194522,-2139.1107509690796,1883.3446723194522,-2139.1107509690796,1883.3446723194522,-2139.1107509690796,1883.3446723194522,-2139.1107509690796,1883.3446723194522,-2139.1107509690796,1883.3446723194522
2,-642.1205108891784,1281.2405546043742,-1020.0733361479467,1314.8088167059113,-1662.0897838412216,2046.3769884626156,-2139.1107509690796,1883.3446723194522,-2139.1107509690796,1883.3446723194522,-2139.1107509690796,1883.3446723194522,-2139.1107509690796,1883.3446723194522,-2139.1107509690796,1883.3446723194522,-2139.1107509690796,1883.3446723194522,-2139.1107509690796,1883.3446723194522,-2139.1107509690796,1883.3446723194522,-2139.1107509690796,1883.3446723194522,-2139.1107509690796,1883.3446723194522,-2139.1107509690796,1883.3446723194522,-2139.1107509690796,1883.3446723194522
3,-642.1205108891784,1281.2405546043742,-2.7999713098052714,2.599476227351008,-1662.0897838412216,2046.3769884626156,-2139.1107509690796,1883.3446723194522,-2139.1107509690796,1883.3446723194522,-2139.1107509690796,1883.3446723194522,-2139.1107509690796,1883.3446723194522,-2139.1107509690796,1883.3446723194522,-2139.1107509690796,1883.3446723194522,-2139.1107509690796,1883.3446723194522,-2053.88330630185,1842.3962374765786,-2139.1107509690796,1883.3446723194522,-2139.1107509690796,1883.3446723194522,-2139.1107509690796,1883.3446723194522,-2139.1107509690796,1883.3446723194522
4,-642.1205108891784,1281.2405546043742,-2.7999545816742715,2.5994481072937683,-582.2674034595586,1099.048934726468,-2139.1107509690796,1883.3446723194522,-2139.1107509690796,1883.3446723194522,-2139.1107509690796,1883.3446723194522,-2139.1107509690796,1883.3446723194522,-2139.1107509690796,1883.3446723194522,-2139.1107509690796,1883.3446723194522,-2139.1107509690796,1883.3446723194522,-2053.88330630185,1842.3962374765786,-2139.1107509690796,1883.3446723194522,-2139.1107509690796,1883.3446723194522,-1498.4904736407757,1955.3553133654868,-2139.1107509690796,1883.3446723194522
5,-642.1205085615856,1281.2405557681705,-2.7999545816742715,2.5994481072937683,-582.2674034595586,1099.048934726468,-2139.1107509690796,1883.3446723194522,-2139.1107509690796,1883.3446723194522,-2139.1107509690796,1883.3446723194522,-2139.1107509690796,1883.3446723194522,-2139.1107509690796,1883.3446723194522,-2139.1107509690796,1883.3446723194522,-2139.1107509690796,1883.3446723194522,-2053.88330630185,1842.3962374765786,-2139.1107509690796,1883.3446723194522,-2139.1107509690796,1883.3446723194522,-1498.4904575613416,1955.355285013572,-2139.1107509690796,1883.3446723194522
6,-642.1205060163758,1281.2405570407755,-2.7999521406941565,2.599449327785863,-582.2674034595586,1099.048934726468,-2139.1107509690796,1883.3446723194522,-2139.1107509690796,1883.3446723194522,-2139.1107509690796,1883.3446723194522,-2139.1107509690796,1883.3446723194522,-2139.1107509690796,1883.3446723194522,-2139.1107509690796,1883.3446723194522,-2139.1107509690796,1883.3446723194522,-2053.88330630185,1842.3962374765786,-2139.1107509690796,1883.3446723194522,-2139.1107509690796,1883.3446723194522,-1498.4904575613416,1955.355285013572,-2139.1107509690796,1883.3446723194522
7,-642.1205060163758,1281.2405570407755,-2.799949491016795,2.5994506526229797,-582.2674034595586,1099.048934726468,-2139.1107509690796,1883.3446723194522,-2139.1107509690796,1883.3446723194522,-2139.1107509690796,1883.3446723194522,-2139.1107509690796,1883.3446723194522,-2139.1107509690796,1883.3446723194522,-2139.1107509690796,1883.3446723194522,-2139.1107509690796,1883.3446723194522,-2053.88330630185,1842.3962374765786,-2139.1107509690796,1883.3446723194522,-2139.1107509690796,1883.3446723194522,-1498.4904575613416,1955.355285013572,-2139.1107509690796,1883.3446723194522
8,-556.893061349146,1110.785667706316,-1.5002261275147384,6.019657435027105e-06,-582.2674034595586,1099.048934726468,-2139.1107509690796,1883.3446723194522,-2139.1107509690796,1883.3446723194522,-2139.1107509690796,1883.3446723194522,-2139.1107509690796,1883.3446723194522,-2139.1107509690796,1883.3446723194522,-2139.1107348896453,1883.344648352912,-2139.1107509690796,1883.3446723194522,-2053.88330630185,1842.3962374765786,-1150.1602268240608,1380.8803000035691,-2139.1107509690796,1883.3446723194522,-1498.4904575613416,1955.355285013572,-2139.1107509690796,1883.3446723194522
9,-552.9982698706594,1102.9960903461185,-1.5002261275147384,6.019657435027105e-06,-582.2674034595586,1099.048934726468,-2139.1107509690796,1883.3446723194522,-2139.1107509690796,1883.3446723194522,-2139.1107509690796,1883.3446723194522,-2139.1107509690796,1883.3446723194522,-2139.1107509690796,1883.3446723194522,-2139.1107348896453,1883.344648352912,-2026.5071751748771,1879.915587276793,-2053.88330630185,1842.3962374765786,-1150.1602268240608,1380.8803000035691,-2139.1107509690796,1883.3446723194522,-1498.4904575613416,1955.355285013572,-1499.7901446034916,1954.3617803753257
