Run,Method,Time_seconds,Best_LML,Best_Iteration
1,RBF-BO,138.66682410240173,-1.5002207303576511,17
1,HyperKappa-BO,76.91116547584534,-1.5002207303576511,10
1,Random Search,88.0763897895813,-1.5002207303576511,48
1,LLM-GA_unrestricted_p0.05,471.5112853050232,-1.5002335343314985,0
1,LLM-GA_unrestricted_p0.1,463.644300699234,-1.5002335343314985,0
1,LLM-GA_unrestricted_p0.3,557.9305307865143,-1.5002335343314985,0
1,LLM-GA_unrestricted_p0.5,500.12609219551086,-1.5002335343314985,0
1,LLM-GA_unrestricted_p0.7,448.54834270477295,-1.5002335343314985,0
1,LLM-GA_unrestricted_p0.9,548.7616987228394,-1.5002335343314985,0
1,LLM-GA_depth3_p0.05,428.52768063545227,-1.5002335343314985,0
1,LLM-GA_depth3_p0.1,396.4975426197052,-1.5002335343314985,0
1,LLM-GA_depth3_p0.3,371.20557832717896,-1.5002335343314985,0
1,LLM-GA_depth3_p0.5,459.52915024757385,-1.5002335343314985,0
1,LLM-GA_depth3_p0.7,493.52088046073914,-1.5002335343314985,0
1,LLM-GA_depth3_p0.9,554.5802788734436,-1.5002335343314985,0
2,RBF-BO,106.52670431137085,-1.5002207303576511,17
2,HyperKappa-BO,88.17605876922607,-1.5002207303576511,6
2,Random Search,108.9032096862793,-1.50023345640698,28
2,LLM-GA_unrestricted_p0.05,220.37701678276062,-121.5697230083921,43
2,LLM-GA_unrestricted_p0.1,234.49873304367065,-121.58039102650491,0
2,LLM-GA_unrestricted_p0.3,272.79232001304626,-121.58039102650491,0
2,LLM-GA_unrestricted_p0.5,314.5401964187622,-121.58039102650491,0
2,LLM-GA_unrestricted_p0.7,334.0502290725708,-121.58039102650491,0
2,LLM-GA_unrestricted_p0.9,314.10267186164856,-121.58039102650491,0
2,LLM-GA_depth3_p0.05,154.23552536964417,-7.998588269986833,27
2,LLM-GA_depth3_p0.1,194.1747705936432,-1.50023345640698,31
2,LLM-GA_depth3_p0.3,198.7639675140381,-1.50023345640698,13
2,LLM-GA_depth3_p0.5,263.02465867996216,-121.58039102650491,0
2,LLM-GA_depth3_p0.7,321.59130907058716,-121.58039102650491,0
2,LLM-GA_depth3_p0.9,273.60607647895813,-7.998588269986833,24
3,RBF-BO,107.90243029594421,-1.5002207303576511,15
3,HyperKappa-BO,56.94733023643494,-1.5002207303576511,13
3,Random Search,59.169029712677,-1.5002339787444585,4
3,LLM-GA_unrestricted_p0.05,241.11144518852234,-2421.6186560051347,0
3,LLM-GA_unrestricted_p0.1,239.82396626472473,-1858.6007770341216,50
3,LLM-GA_unrestricted_p0.3,294.94657349586487,-2421.6186560051347,0
3,LLM-GA_unrestricted_p0.5,315.6546354293823,-2421.6186560051347,0
3,LLM-GA_unrestricted_p0.7,384.42174005508423,-2421.6186560051347,0
3,LLM-GA_unrestricted_p0.9,373.78400564193726,-2421.6186560051347,0
3,LLM-GA_depth3_p0.05,223.30630230903625,-1858.6007770341216,9
3,LLM-GA_depth3_p0.1,219.57113075256348,-2421.6186560051347,0
3,LLM-GA_depth3_p0.3,248.89200162887573,-2421.6186560051347,0
3,LLM-GA_depth3_p0.5,270.6621959209442,-1858.6007770341216,32
3,LLM-GA_depth3_p0.7,326.20802330970764,-2421.6186560051347,0
3,LLM-GA_depth3_p0.9,321.57976388931274,-1858.6007770341216,14
4,RBF-BO,125.42065715789795,-1.5002207303576511,27
4,HyperKappa-BO,68.27318453788757,-1.5002207303576511,7
4,Random Search,73.91626787185669,-1.5002207303576511,20
4,LLM-GA_unrestricted_p0.05,434.1445620059967,-3204.6016200979266,0
4,LLM-GA_unrestricted_p0.1,414.25458121299744,-3204.6016200979266,0
4,LLM-GA_unrestricted_p0.3,432.2169213294983,-1858.6007770341216,36
4,LLM-GA_unrestricted_p0.5,507.5883593559265,-3204.6016200979266,0
4,LLM-GA_unrestricted_p0.7,499.8997061252594,-3204.6016200979266,0
4,LLM-GA_unrestricted_p0.9,455.10503911972046,-1858.6007770341216,34
4,LLM-GA_depth3_p0.05,473.56847524642944,-3204.6016200979266,0
4,LLM-GA_depth3_p0.1,658.5263936519623,-2778.464396761778,3
4,LLM-GA_depth3_p0.3,449.7366783618927,-3204.6016200979266,0
4,LLM-GA_depth3_p0.5,471.3409671783447,-3204.6016200979266,0
4,LLM-GA_depth3_p0.7,319.561252117157,-1.50023345640698,4
4,LLM-GA_depth3_p0.9,339.8721070289612,-1.50023345640698,18
5,RBF-BO,125.939444065094,-1.5002207303576511,6
5,HyperKappa-BO,84.57797503471375,-1.5002207303576511,11
5,Random Search,56.95154666900635,-1.500222262855706,13
5,LLM-GA_unrestricted_p0.05,377.52542638778687,-4946.2528541815,0
5,LLM-GA_unrestricted_p0.1,385.2100293636322,-4946.2528541815,0
5,LLM-GA_unrestricted_p0.3,363.1693880558014,-4946.2528541815,0
5,LLM-GA_unrestricted_p0.5,365.5273480415344,-4946.2528541815,0
5,LLM-GA_unrestricted_p0.7,514.1545479297638,-4946.2528541815,0
5,LLM-GA_unrestricted_p0.9,404.90585803985596,-1858.6007770341216,17
5,LLM-GA_depth3_p0.05,219.50283241271973,-1.50023345640698,24
5,LLM-GA_depth3_p0.1,249.01037669181824,-4946.25277378433,22
5,LLM-GA_depth3_p0.3,260.55375838279724,-1.50023345640698,8
5,LLM-GA_depth3_p0.5,304.6887528896332,-4946.2528541815,0
5,LLM-GA_depth3_p0.7,333.6790120601654,-1858.6007770341216,11
5,LLM-GA_depth3_p0.9,408.5628504753113,-1858.6007770341216,16
