iteration,RBF_BO,HyperKappa_BO,Random,LLM-GA_unrestricted_p0.05,LLM-GA_unrestricted_p0.1,LLM-GA_unrestricted_p0.3,LLM-GA_unrestricted_p0.5,LLM-GA_unrestricted_p0.7,LLM-GA_unrestricted_p0.9,LLM-GA_depth3_p0.05,LLM-GA_depth3_p0.1,LLM-GA_depth3_p0.3,LLM-GA_depth3_p0.5,LLM-GA_depth3_p0.7,LLM-GA_depth3_p0.9
0,-1.5002335343314985,-1.5002335343314985,-1.5002335343314985,-1.5002335343314985,-1.5002335343314985,-1.5002335343314985,-1.5002335343314985,-1.5002335343314985,-1.5002335343314985,-1.5002335343314985,-1.5002335343314985,-1.5002335343314985,-1.5002335343314985,-1.5002335343314985,-1.5002335343314985
1,-1.5002335343314985,-1.5002329352582244,-1.5002335343314985,-1.5002335343314985,-1.5002335343314985,-1.5002335343314985,-1.5002335343314985,-1.5002335343314985,-1.5002335343314985,-1.5002335343314985,-1.5002335343314985,-1.5002335343314985,-1.5002335343314985,-1.5002335343314985,-1.5002335343314985
2,-1.50023345640698,-1.5002329352582244,-1.5002335343314985,-1.5002335343314985,-1.5002335343314985,-1.5002335343314985,-1.5002335343314985,-1.5002335343314985,-1.5002335343314985,-1.5002335343314985,-1.5002335343314985,-1.5002335343314985,-1.5002335343314985,-1.5002335343314985,-1.5002335343314985
3,-1.50023345640698,-1.5002329352582244,-1.5002335343314985,-1.5002335343314985,-1.5002335343314985,-1.5002335343314985,-1.5002335343314985,-1.5002335343314985,-1.5002335343314985,-1.5002335343314985,-1.5002335343314985,-1.5002335343314985,-1.5002335343314985,-1.5002335343314985,-1.5002335343314985
4,-1.50023345640698,-1.5002329352582244,-1.5002335343314985,-1.5002335343314985,-1.5002335343314985,-1.5002335343314985,-1.5002335343314985,-1.5002335343314985,-1.5002335343314985,-1.5002335343314985,-1.5002335343314985,-1.5002335343314985,-1.5002335343314985,-1.5002335343314985,-1.5002335343314985
5,-1.50023345640698,-1.5002329352582244,-1.5002335343314985,-1.5002335343314985,-1.5002335343314985,-1.5002335343314985,-1.5002335343314985,-1.5002335343314985,-1.5002335343314985,-1.5002335343314985,-1.5002335343314985,-1.5002335343314985,-1.5002335343314985,-1.5002335343314985,-1.5002335343314985
6,-1.50023345640698,-1.5002329352582244,-1.5002335343314985,-1.5002335343314985,-1.5002335343314985,-1.5002335343314985,-1.5002335343314985,-1.5002335343314985,-1.5002335343314985,-1.5002335343314985,-1.5002335343314985,-1.5002335343314985,-1.5002335343314985,-1.5002335343314985,-1.5002335343314985
7,-1.50023345640698,-1.5002329352582244,-1.5002335343314985,-1.5002335343314985,-1.5002335343314985,-1.5002335343314985,-1.5002335343314985,-1.5002335343314985,-1.5002335343314985,-1.5002335343314985,-1.5002335343314985,-1.5002335343314985,-1.5002335343314985,-1.5002335343314985,-1.5002335343314985
8,-1.50023345640698,-1.5002329352582244,-1.5002335343314985,-1.5002335343314985,-1.5002335343314985,-1.5002335343314985,-1.5002335343314985,-1.5002335343314985,-1.5002335343314985,-1.5002335343314985,-1.5002335343314985,-1.5002335343314985,-1.5002335343314985,-1.5002335343314985,-1.5002335343314985
9,-1.500222262855706,-1.5002329352582244,-1.5002335343314985,-1.5002335343314985,-1.5002335343314985,-1.5002335343314985,-1.5002335343314985,-1.5002335343314985,-1.5002335343314985,-1.5002335343314985,-1.5002335343314985,-1.5002335343314985,-1.5002335343314985,-1.5002335343314985,-1.5002335343314985
10,-1.500222262855706,-1.5002207303576511,-1.5002335343314985,-1.5002335343314985,-1.5002335343314985,-1.5002335343314985,-1.5002335343314985,-1.5002335343314985,-1.5002335343314985,-1.5002335343314985,-1.5002335343314985,-1.5002335343314985,-1.5002335343314985,-1.5002335343314985,-1.5002335343314985
11,-1.500222262855706,-1.5002207303576511,-1.5002335343314985,-1.5002335343314985,-1.5002335343314985,-1.5002335343314985,-1.5002335343314985,-1.5002335343314985,-1.5002335343314985,-1.5002335343314985,-1.5002335343314985,-1.5002335343314985,-1.5002335343314985,-1.5002335343314985,-1.5002335343314985
12,-1.500222262855706,-1.5002207303576511,-1.5002335343314985,-1.5002335343314985,-1.5002335343314985,-1.5002335343314985,-1.5002335343314985,-1.5002335343314985,-1.5002335343314985,-1.5002335343314985,-1.5002335343314985,-1.5002335343314985,-1.5002335343314985,-1.5002335343314985,-1.5002335343314985
13,-1.500222262855706,-1.5002207303576511,-1.5002335343314985,-1.5002335343314985,-1.5002335343314985,-1.5002335343314985,-1.5002335343314985,-1.5002335343314985,-1.5002335343314985,-1.5002335343314985,-1.5002335343314985,-1.5002335343314985,-1.5002335343314985,-1.5002335343314985,-1.5002335343314985
14,-1.500222262855706,-1.5002207303576511,-1.5002335343314985,-1.5002335343314985,-1.5002335343314985,-1.5002335343314985,-1.5002335343314985,-1.5002335343314985,-1.5002335343314985,-1.5002335343314985,-1.5002335343314985,-1.5002335343314985,-1.5002335343314985,-1.5002335343314985,-1.5002335343314985
15,-1.500222262855706,-1.5002207303576511,-1.5002335343314985,-1.5002335343314985,-1.5002335343314985,-1.5002335343314985,-1.5002335343314985,-1.5002335343314985,-1.5002335343314985,-1.5002335343314985,-1.5002335343314985,-1.5002335343314985,-1.5002335343314985,-1.5002335343314985,-1.5002335343314985
16,-1.500222262855706,-1.5002207303576511,-1.5002335343314985,-1.5002335343314985,-1.5002335343314985,-1.5002335343314985,-1.5002335343314985,-1.5002335343314985,-1.5002335343314985,-1.5002335343314985,-1.5002335343314985,-1.5002335343314985,-1.5002335343314985,-1.5002335343314985,-1.5002335343314985
17,-1.5002207303576511,-1.5002207303576511,-1.5002335343314985,-1.5002335343314985,-1.5002335343314985,-1.5002335343314985,-1.5002335343314985,-1.5002335343314985,-1.5002335343314985,-1.5002335343314985,-1.5002335343314985,-1.5002335343314985,-1.5002335343314985,-1.5002335343314985,-1.5002335343314985
18,-1.5002207303576511,-1.5002207303576511,-1.5002335343314985,-1.5002335343314985,-1.5002335343314985,-1.5002335343314985,-1.5002335343314985,-1.5002335343314985,-1.5002335343314985,-1.5002335343314985,-1.5002335343314985,-1.5002335343314985,-1.5002335343314985,-1.5002335343314985,-1.5002335343314985
