Method,Time_seconds,Best_LML,Best_Iteration
RBF-BO,138.66682410240173,-1.5002207303576511,17
HyperKappa-BO,76.91116547584534,-1.5002207303576511,10
Random Search,88.0763897895813,-1.5002207303576511,48
LLM-GA_unrestricted_p0.05,471.5112853050232,-1.5002335343314985,0
LLM-GA_unrestricted_p0.1,463.644300699234,-1.5002335343314985,0
LLM-GA_unrestricted_p0.3,557.9305307865143,-1.5002335343314985,0
LLM-GA_unrestricted_p0.5,500.12609219551086,-1.5002335343314985,0
LLM-GA_unrestricted_p0.7,448.54834270477295,-1.5002335343314985,0
LLM-GA_unrestricted_p0.9,548.7616987228394,-1.5002335343314985,0
LLM-GA_depth3_p0.05,428.52768063545227,-1.5002335343314985,0
LLM-GA_depth3_p0.1,396.4975426197052,-1.5002335343314985,0
LLM-GA_depth3_p0.3,371.20557832717896,-1.5002335343314985,0
LLM-GA_depth3_p0.5,459.52915024757385,-1.5002335343314985,0
LLM-GA_depth3_p0.7,493.52088046073914,-1.5002335343314985,0
LLM-GA_depth3_p0.9,554.5802788734436,-1.5002335343314985,0
