Random Search - Run 5
================================================================================

[Random] iter=01 → idx=127, kernel=(PER * RQ), LML=-4946.319
[Random] iter=02 → idx=136, kernel=(PER + (RQ * RQ)), LML=-4946.291
[Random] iter=03 → idx=51, kernel=((RQ * SE) + PER), LML=-4946.354
[Random] iter=04 → idx=33, kernel=((PER + SE) + PER), LML=-8.292
[Random] iter=05 → idx=64, kernel=((RQ + RQ) + RQ), LML=-4946.341
[Random] iter=06 → idx=170, kernel=(RQ * SE), LML=-4946.342
[Random] iter=07 → idx=31, kernel=((PER + SE) * RQ), LML=-4946.342
[Random] iter=08 → idx=120, kernel=(PER * (SE * PER)), LML=-4946.326
[Random] iter=09 → idx=54, kernel=((RQ + PER) * PER), LML=-4946.340
[Random] iter=10 → idx=202, kernel=(SE * (RQ + RQ)), LML=-4946.342
[Random] iter=11 → idx=59, kernel=((RQ + PER) + SE), LML=-4946.293
[Random] iter=12 → idx=17, kernel=((PER * SE) + SE), LML=-4946.331
[Random] iter=13 → idx=147, kernel=(PER + PER), LML=-1.500
[Random] iter=14 → idx=39, kernel=((RQ * PER) + PER), LML=-2779.827
[Random] iter=15 → idx=36, kernel=((RQ * PER) * PER), LML=-3204.610
[Random] iter=16 → idx=52, kernel=((RQ * SE) + RQ), LML=-4946.333
[Random] iter=17 → idx=236, kernel=SE, LML=-7.999
[Random] iter=18 → idx=72, kernel=((SE * PER) * PER), LML=-4946.326
[Random] iter=19 → idx=116, kernel=(PER * (RQ * SE)), LML=-4946.329
[Random] iter=20 → idx=2, kernel=((PER * PER) * SE), LML=-4946.326
[Random] iter=21 → idx=218, kernel=(SE + (PER + SE)), LML=-2421.638
[Random] iter=22 → idx=197, kernel=(SE * (PER + SE)), LML=-4946.343
[Random] iter=23 → idx=151, kernel=(RQ * (PER * RQ)), LML=-4946.342
[Random] iter=24 → idx=231, kernel=(SE + PER), LML=-1858.601
[Random] iter=25 → idx=29, kernel=((PER + RQ) + SE), LML=-4946.302
[Random] iter=26 → idx=106, kernel=((SE + SE) + RQ), LML=-4946.337
[Random] iter=27 → idx=217, kernel=(SE + (PER + RQ)), LML=-4946.309
[Random] iter=28 → idx=204, kernel=(SE * (SE * PER)), LML=-4946.341
[Random] iter=29 → idx=104, kernel=((SE + SE) * SE), LML=-121.582
[Random] iter=30 → idx=41, kernel=((RQ * PER) + SE), LML=-4946.335
[Random] iter=31 → idx=209, kernel=(SE * (SE + SE)), LML=-121.582
[Random] iter=32 → idx=141, kernel=(PER + (SE * PER)), LML=-4946.330
[Random] iter=33 → idx=8, kernel=((PER * RQ) * SE), LML=-4946.329
[Random] iter=34 → idx=177, kernel=(RQ + (RQ * PER)), LML=-4946.327
[Random] iter=35 → idx=87, kernel=((SE * SE) + PER), LML=-4946.253
[Random] iter=36 → idx=199, kernel=(SE * (RQ * RQ)), LML=-4946.342
[Random] iter=37 → idx=111, kernel=(PER * (PER + PER)), LML=-36.514
[Random] iter=38 → idx=99, kernel=((SE + RQ) + PER), LML=-4946.309
[Random] iter=39 → idx=235, kernel=RQ, LML=-4946.337
[Random] iter=40 → idx=148, kernel=(PER + RQ), LML=-4946.340
[Random] iter=41 → idx=68, kernel=((RQ + SE) * SE), LML=-4946.332
[Random] iter=42 → idx=78, kernel=((SE * RQ) * PER), LML=-4946.329
[Random] iter=43 → idx=70, kernel=((RQ + SE) + RQ), LML=-4946.342
[Random] iter=44 → idx=124, kernel=(PER * (SE + RQ)), LML=-4946.341
[Random] iter=45 → idx=122, kernel=(PER * (SE * SE)), LML=-4946.345
[Random] iter=46 → idx=159, kernel=(RQ * (RQ + PER)), LML=-4946.344
[Random] iter=47 → idx=73, kernel=((SE * PER) * RQ), LML=-4946.329
[Random] iter=48 → idx=219, kernel=(SE + (RQ * PER)), LML=-4946.334
[Random] iter=49 → idx=61, kernel=((RQ + RQ) * RQ), LML=-4946.342
[Random] iter=50 → idx=144, kernel=(PER + (SE + PER)), LML=-8.292
