RBF Bayesian Optimization - Run 5
================================================================================

[RBF-BO] iter=01 → idx=234, kernel=PER, LML=-1.500
[RBF-BO] iter=02 → idx=0, kernel=((PER * PER) * PER), LML=-1.500
[RBF-BO] iter=03 → idx=129, kernel=(PER + (PER * PER)), LML=-1.500
[RBF-BO] iter=04 → idx=18, kernel=((PER + PER) * PER), LML=-36.512
[RBF-BO] iter=05 → idx=3, kernel=((PER * PER) + PER), LML=-1.500
[RBF-BO] iter=06 → idx=126, kernel=(PER * PER), LML=-1.500
[RBF-BO] iter=07 → idx=111, kernel=(PER * (PER + PER)), LML=-36.514
[RBF-BO] iter=08 → idx=108, kernel=(PER * (PER * PER)), LML=-1.500
[RBF-BO] iter=09 → idx=147, kernel=(PER + PER), LML=-1.500
[RBF-BO] iter=10 → idx=21, kernel=((PER + PER) + PER), LML=-1.500
[RBF-BO] iter=11 → idx=132, kernel=(PER + (PER + PER)), LML=-1.500
[RBF-BO] iter=12 → idx=181, kernel=(RQ + (RQ + RQ)), LML=-4946.341
[RBF-BO] iter=13 → idx=86, kernel=((SE * SE) * SE), LML=-121.580
[RBF-BO] iter=14 → idx=110, kernel=(PER * (PER * SE)), LML=-4946.326
[RBF-BO] iter=15 → idx=171, kernel=(RQ + (PER * PER)), LML=-4946.281
[RBF-BO] iter=16 → idx=206, kernel=(SE * (SE * SE)), LML=-121.580
[RBF-BO] iter=17 → idx=39, kernel=((RQ * PER) + PER), LML=-2779.827
[RBF-BO] iter=18 → idx=207, kernel=(SE * (SE + PER)), LML=-4946.343
[RBF-BO] iter=19 → idx=50, kernel=((RQ * SE) * SE), LML=-4946.342
[RBF-BO] iter=20 → idx=112, kernel=(PER * (PER + RQ)), LML=-4946.323
[RBF-BO] iter=21 → idx=68, kernel=((RQ + SE) * SE), LML=-4946.332
[RBF-BO] iter=22 → idx=209, kernel=(SE * (SE + SE)), LML=-121.582
[RBF-BO] iter=23 → idx=109, kernel=(PER * (PER * RQ)), LML=-3204.602
[RBF-BO] iter=24 → idx=236, kernel=SE, LML=-7.999
[RBF-BO] iter=25 → idx=185, kernel=(RQ + (SE * SE)), LML=-4946.337
[RBF-BO] iter=26 → idx=71, kernel=((RQ + SE) + SE), LML=-4946.332
[RBF-BO] iter=27 → idx=163, kernel=(RQ * (SE * RQ)), LML=-4946.342
[RBF-BO] iter=28 → idx=28, kernel=((PER + RQ) + RQ), LML=-4946.284
[RBF-BO] iter=29 → idx=233, kernel=(SE + SE), LML=-2452.974
[RBF-BO] iter=30 → idx=212, kernel=(SE * SE), LML=-2455.768
[RBF-BO] iter=31 → idx=226, kernel=(SE + (SE * RQ)), LML=-4946.330
[RBF-BO] iter=32 → idx=224, kernel=(SE + (RQ + SE)), LML=-4946.334
[RBF-BO] iter=33 → idx=107, kernel=((SE + SE) + SE), LML=-121.583
[RBF-BO] iter=34 → idx=134, kernel=(PER + (PER + SE)), LML=-8.292
[RBF-BO] iter=35 → idx=93, kernel=((SE + PER) + PER), LML=-8.276
[RBF-BO] iter=36 → idx=33, kernel=((PER + SE) + PER), LML=-8.292
[RBF-BO] iter=37 → idx=75, kernel=((SE * PER) + PER), LML=-4946.347
[RBF-BO] iter=38 → idx=45, kernel=((RQ * RQ) + PER), LML=-4946.296
[RBF-BO] iter=39 → idx=144, kernel=(PER + (SE + PER)), LML=-8.292
[RBF-BO] iter=40 → idx=104, kernel=((SE + SE) * SE), LML=-121.582
[RBF-BO] iter=41 → idx=216, kernel=(SE + (PER + PER)), LML=-8.276
[RBF-BO] iter=42 → idx=76, kernel=((SE * PER) + RQ), LML=-4946.333
[RBF-BO] iter=43 → idx=149, kernel=(PER + SE), LML=-1891.264
[RBF-BO] iter=44 → idx=230, kernel=(SE + (SE + SE)), LML=-121.583
[RBF-BO] iter=45 → idx=65, kernel=((RQ + RQ) + SE), LML=-4946.341
[RBF-BO] iter=46 → idx=57, kernel=((RQ + PER) + PER), LML=-4946.306
[RBF-BO] iter=47 → idx=214, kernel=(SE + (PER * RQ)), LML=-4946.336
[RBF-BO] iter=48 → idx=46, kernel=((RQ * RQ) + RQ), LML=-4946.341
[RBF-BO] iter=49 → idx=105, kernel=((SE + SE) + PER), LML=-2421.619
[RBF-BO] iter=50 → idx=23, kernel=((PER + PER) + SE), LML=-8.292
