Method,Avg_Time_sec,Std_Time_sec,Avg_Best_LML,Std_Best_LML,Avg_Best_Iter,Std_Best_Iter
RBF-BO,120.89121198654175,12.141008502828747,-1.5002207303576511,0.0,16.4,6.681317235396026
HyperKappa-BO,74.97714281082153,11.314990088638414,-1.5002207303576511,0.0,9.4,2.5768197453450252
Random Search,77.40328874588013,19.33432893164512,-1.5002262317444894,6.139940538581907e-06,22.6,14.961283367412035
LLM-GA Unrestricted (p=0.05),348.93394713401796,101.24831028021435,-2139.108617365457,1883.3469579428117,8.6,17.2
LLM-GA Unrestricted (p=0.1),347.4863221168518,93.52126245054231,-2026.5071751748771,1879.915587276793,10.0,20.0
LLM-GA Unrestricted (p=0.3),384.211146736145,103.2550757896488,-1869.9105823563186,1806.4333463011953,7.2,14.4
LLM-GA Unrestricted (p=0.5),400.6873262882233,86.26008301161686,-2139.1107509690796,1883.3446723194522,0.0,0.0
LLM-GA Unrestricted (p=0.7),436.21491317749025,68.41433835442389,-2139.1107509690796,1883.3446723194522,0.0,0.0
LLM-GA Unrestricted (p=0.9),419.33185467720034,79.23093095702663,-1252.3801669268428,994.5385102166812,10.2,13.6
LLM-GA Depth≤3 (p=0.05),299.8281631946564,126.69193499888785,-1014.8402904785547,1309.5367726679922,12.0,11.541230437002806
LLM-GA Depth≤3 (p=0.1),343.55604286193847,172.4152140619894,-2029.867258708396,1868.0319527713368,11.2,12.859237924542807
LLM-GA Depth≤3 (p=0.3),305.83039684295653,91.36531874158098,-1126.1441953100414,1399.479293708583,4.2,5.3814496188294845
LLM-GA Depth≤3 (p=0.5),353.84914498329164,92.25886597258845,-2026.5071751748771,1879.915587276793,6.4,12.800000000000002
LLM-GA Depth≤3 (p=0.7),358.9120954036713,67.47906312474545,-880.9600582112998,1044.3147931125854,3.0,4.2895221179054435
LLM-GA Depth≤3 (p=0.9),379.6402153491974,97.60768588339185,-745.6401218657936,908.7316676466047,14.4,7.939773296511683
