iteration,RBF_BO_mean,RBF_BO_std,HyperKappa_BO_mean,HyperKappa_BO_std,Random_mean,Random_std,LLM-GA_unrestricted_p0.05_mean,LLM-GA_unrestricted_p0.05_std,LLM-GA_unrestricted_p0.1_mean,LLM-GA_unrestricted_p0.1_std,LLM-GA_unrestricted_p0.3_mean,LLM-GA_unrestricted_p0.3_std,LLM-GA_unrestricted_p0.5_mean,LLM-GA_unrestricted_p0.5_std,LLM-GA_unrestricted_p0.7_mean,LLM-GA_unrestricted_p0.7_std,LLM-GA_unrestricted_p0.9_mean,LLM-GA_unrestricted_p0.9_std,LLM-GA_depth3_p0.05_mean,LLM-GA_depth3_p0.05_std,LLM-GA_depth3_p0.1_mean,LLM-GA_depth3_p0.1_std,LLM-GA_depth3_p0.3_mean,LLM-GA_depth3_p0.3_std,LLM-GA_depth3_p0.5_mean,LLM-GA_depth3_p0.5_std,LLM-GA_depth3_p0.7_mean,LLM-GA_depth3_p0.7_std,LLM-GA_depth3_p0.9_mean,LLM-GA_depth3_p0.9_std
0,-1550.6154168499943,1715.9667757251905,-1550.6154168499943,1715.9667757251905,-1550.6154168499943,1715.9667757251905,-1550.6154168499943,1715.9667757251905,-1550.6154168499943,1715.9667757251905,-1550.6154168499943,1715.9667757251905,-1550.6154168499943,1715.9667757251905,-1550.6154168499943,1715.9667757251905,-1550.6154168499943,1715.9667757251905,-1550.6154168499943,1715.9667757251905,-1550.6154168499943,1715.9667757251905,-1550.6154168499943,1715.9667757251905,-1550.6154168499943,1715.9667757251905,-1550.6154168499943,1715.9667757251905,-1550.6154168499943,1715.9667757251905
1,-1525.9173628801839,1723.4522064482796,-1052.6238857841836,776.0720092910127,-1550.6154168499943,1715.9667757251905,-1550.6154168499943,1715.9667757251905,-1550.6154168499943,1715.9667757251905,-1550.6154168499943,1715.9667757251905,-1550.6154168499943,1715.9667757251905,-1550.6154168499943,1715.9667757251905,-1550.6154168499943,1715.9667757251905,-1550.6154168499943,1715.9667757251905,-1550.6154168499943,1715.9667757251905,-1033.175000218615,742.3384673123531,-1550.6154168499943,1715.9667757251905,-1550.6154168499943,1715.9667757251905,-1550.6154168499943,1715.9667757251905
2,-946.8092948393744,1086.2365967253613,-355.60212939470523,436.6853650713711,-1043.5987765187358,775.9774378754212,-1550.6154168499943,1715.9667757251905,-1550.6154168499943,1715.9667757251905,-1199.5338450291063,1042.5712433398967,-1550.6154168499943,1715.9667757251905,-998.4988342708563,683.5563315610626,-998.4988342708563,683.5563315610626,-1185.8004634889658,1044.521530733571,-998.4988348372277,683.5563325049794,-1033.175000218615,742.3384673123531,-1185.8004634889658,1044.521530733571,-984.7654527307157,682.4938887144582,-965.4292987290725,688.1899785710207
3,-756.0462162702378,1149.881206072098,-1.5002149787991066,2.1750231721171876e-05,-1043.5987765187358,775.9774378754212,-998.4988342708563,683.5563315610626,-1550.6154168499943,1715.9667757251905,-998.4988339832992,683.556331081819,-998.4988342708563,683.5563315610626,-998.2214704938517,683.6346823551372,-998.4988342708563,683.5563315610626,-984.7654524431588,682.4938882286822,-998.2214704938517,683.6346823551372,-998.4988342708563,683.5563315610626,-984.7654524431588,682.4938882286822,-984.4880889537111,682.5667808713116,-965.4292987290725,688.1899785710207
4,-589.6331694699542,834.3926417636679,-1.5001925789688688,2.5007260104909524e-05,-734.8912082006901,705.0981600236763,-998.4988342708563,683.5563315610626,-1550.6154168499943,1715.9667757251905,-998.4988339832992,683.556331081819,-998.4988342708563,683.5563315610626,-998.2214704938517,683.6346823551372,-998.4988342708563,683.5563315610626,-984.7654524431588,682.4938882286822,-998.2214704938517,683.6346823551372,-998.4988342708563,683.5563315610626,-759.0582682985614,386.17374912903733,-984.4880889537111,682.5667808713116,-739.9138013470066,385.09295120057965
5,-368.82594436258114,455.60780537577426,-1.5001925789688688,2.5007260104909524e-05,-734.8912082006901,705.0981600236763,-998.4988342708563,683.5563315610626,-1550.6154168499943,1715.9667757251905,-998.4988339832992,683.556331081819,-998.4988342708563,683.5563315610626,-998.2214704938517,683.6346823551372,-998.4988342708563,683.5563315610626,-984.7654524431588,682.4938882286822,-998.2214704938517,683.6346823551372,-998.4988342708563,683.5563315610626,-759.0582682985614,386.17374912903733,-951.6959171889318,686.4734395612453,-739.9138013470066,385.09295120057965
6,-162.38993341621944,321.7794608755,-1.5001925789688688,2.5007260104909524e-05,-734.8912082006901,705.0981600236763,-998.4988342708563,683.5563315610626,-998.4988348372277,683.5563325049794,-998.4988339832992,683.556331081819,-998.4988342708563,683.5563315610626,-998.2214704938517,683.6346823551372,-998.4988342708563,683.5563315610626,-984.7654524431588,682.4938882286822,-998.2214704938517,683.6346823551372,-998.4988342708563,683.5563315610626,-759.0582682985614,386.17374912903733,-565.5680584849339,466.636846347644,-739.9138013470066,385.09295120057965
7,-162.38993341621944,321.7794608755,-1.5001925789688688,2.5007260104909524e-05,-734.8912082006901,705.0981600236763,-998.4988342708563,683.5563315610626,-998.4988342708563,683.5563315610626,-998.4988339832992,683.556331081819,-998.4988342708563,683.5563315610626,-998.2214704938517,683.6346823551372,-998.4988342708563,683.5563315610626,-984.7654524431588,682.4938882286822,-772.7059731117859,396.0275233227409,-998.4988342708563,683.5563315610626,-759.0582682985614,386.17374912903733,-565.5680584849339,466.636846347644,-739.9138013470066,385.09295120057965
8,-162.38993341621944,321.7794608755,-1.5001823697976835,2.0418342373229593e-05,-734.8912082006901,705.0981600236763,-998.4988342708563,683.5563315610626,-998.4988342708563,683.5563315610626,-998.4988339832992,683.556331081819,-998.4988342708563,683.5563315610626,-998.2214704938517,683.6346823551372,-998.4988342708563,683.5563315610626,-984.7654524431588,682.4938882286822,-579.3014400250743,480.3283170556666,-965.706662506077,688.1253641780861,-759.0582682985614,386.17374912903733,-565.5680584849339,466.636846347644,-739.9138013470066,385.09295120057965
9,-162.389921089082,321.7794670390683,-1.5001823697976835,2.0418342373229593e-05,-734.8912082006901,705.0981600236763,-998.4988342708563,683.5563315610626,-998.4988342708563,683.5563315610626,-998.4988339832992,683.556331081819,-998.4988342708563,683.5563315610626,-998.2214704938517,683.6346823551372,-998.4988342708563,683.5563315610626,-984.7654524431588,682.4938882286822,-579.3014400250743,480.3283170556666,-965.706662506077,688.1253641780861,-759.0582682985614,386.17374912903733,-565.5680584849339,466.636846347644,-739.9138013470066,385.09295120057965
