HyperKappa Bayesian Optimization - Run 3
================================================================================

[HyperKappa-BO] iter=01 → idx=149, kernel=(PER + SE), LML=-1106.317
[HyperKappa-BO] iter=02 → idx=233, kernel=(SE + SE), LML=-967.561
[HyperKappa-BO] iter=03 → idx=147, kernel=(PER + PER), LML=-1.500
[HyperKappa-BO] iter=04 → idx=129, kernel=(PER + (PER * PER)), LML=-1.500
[HyperKappa-BO] iter=05 → idx=5, kernel=((PER * PER) + SE), LML=-1010.380
[HyperKappa-BO] iter=06 → idx=108, kernel=(PER * (PER * PER)), LML=-1.500
[HyperKappa-BO] iter=07 → idx=126, kernel=(PER * PER), LML=-1.500
[HyperKappa-BO] iter=08 → idx=120, kernel=(PER * (SE * PER)), LML=-2408.342
[HyperKappa-BO] iter=09 → idx=18, kernel=((PER + PER) * PER), LML=-1025.432
[HyperKappa-BO] iter=10 → idx=143, kernel=(PER + (SE * SE)), LML=-805.949
[HyperKappa-BO] iter=11 → idx=0, kernel=((PER * PER) * PER), LML=-1.500
[HyperKappa-BO] iter=12 → idx=41, kernel=((RQ * PER) + SE), LML=-2137.716
[HyperKappa-BO] iter=13 → idx=132, kernel=(PER + (PER + PER)), LML=-1.500
[HyperKappa-BO] iter=14 → idx=4, kernel=((PER * PER) + RQ), LML=-4946.282
[HyperKappa-BO] iter=15 → idx=206, kernel=(SE * (SE * SE)), LML=-968.523
[HyperKappa-BO] iter=16 → idx=15, kernel=((PER * SE) + PER), LML=-1659.761
[HyperKappa-BO] iter=17 → idx=21, kernel=((PER + PER) + PER), LML=-1.500
[HyperKappa-BO] iter=18 → idx=102, kernel=((SE + SE) * PER), LML=-1754.331
[HyperKappa-BO] iter=19 → idx=89, kernel=((SE * SE) + SE), LML=-4946.300
[HyperKappa-BO] iter=20 → idx=64, kernel=((RQ + RQ) + RQ), LML=-4946.273
[HyperKappa-BO] iter=21 → idx=215, kernel=(SE + (PER * SE)), LML=-4946.302
[HyperKappa-BO] iter=22 → idx=136, kernel=(PER + (RQ * RQ)), LML=-4946.285
[HyperKappa-BO] iter=23 → idx=74, kernel=((SE * PER) * SE), LML=-2969.817
[HyperKappa-BO] iter=24 → idx=234, kernel=PER, LML=-1.500
[HyperKappa-BO] iter=25 → idx=230, kernel=(SE + (SE + SE)), LML=-967.554
[HyperKappa-BO] iter=26 → idx=111, kernel=(PER * (PER + PER)), LML=-1033.680
[HyperKappa-BO] iter=27 → idx=80, kernel=((SE * RQ) * SE), LML=-4946.300
[HyperKappa-BO] iter=28 → idx=23, kernel=((PER + PER) + SE), LML=-814.901
[HyperKappa-BO] iter=29 → idx=19, kernel=((PER + PER) * RQ), LML=-4946.308
[HyperKappa-BO] iter=30 → idx=3, kernel=((PER * PER) + PER), LML=-1.500
[HyperKappa-BO] iter=31 → idx=35, kernel=((PER + SE) + SE), LML=-1221.512
[HyperKappa-BO] iter=32 → idx=9, kernel=((PER * RQ) + PER), LML=-1896.984
[HyperKappa-BO] iter=33 → idx=213, kernel=(SE + (PER * PER)), LML=-1203.700
[HyperKappa-BO] iter=34 → idx=58, kernel=((RQ + PER) + RQ), LML=-4946.283
[HyperKappa-BO] iter=35 → idx=150, kernel=(RQ * (PER * PER)), LML=-4436.009
[HyperKappa-BO] iter=36 → idx=174, kernel=(RQ + (PER + PER)), LML=-4946.283
[HyperKappa-BO] iter=37 → idx=104, kernel=((SE + SE) * SE), LML=-955.316
[HyperKappa-BO] iter=38 → idx=88, kernel=((SE * SE) + RQ), LML=-4946.296
[HyperKappa-BO] iter=39 → idx=214, kernel=(SE + (PER * RQ)), LML=-2137.716
[HyperKappa-BO] iter=40 → idx=177, kernel=(RQ + (RQ * PER)), LML=-4946.306
[HyperKappa-BO] iter=41 → idx=229, kernel=(SE + (SE + RQ)), LML=-4946.297
[HyperKappa-BO] iter=42 → idx=125, kernel=(PER * (SE + SE)), LML=-2372.028
[HyperKappa-BO] iter=43 → idx=192, kernel=(SE * (PER * PER)), LML=-2970.398
[HyperKappa-BO] iter=44 → idx=209, kernel=(SE * (SE + SE)), LML=-955.316
[HyperKappa-BO] iter=45 → idx=144, kernel=(PER + (SE + PER)), LML=-815.241
[HyperKappa-BO] iter=46 → idx=152, kernel=(RQ * (PER * SE)), LML=-2191.800
[HyperKappa-BO] iter=47 → idx=172, kernel=(RQ + (PER * RQ)), LML=-4946.303
[HyperKappa-BO] iter=48 → idx=115, kernel=(PER * (RQ * RQ)), LML=-4946.289
[HyperKappa-BO] iter=49 → idx=54, kernel=((RQ + PER) * PER), LML=-2580.897
[HyperKappa-BO] iter=50 → idx=93, kernel=((SE + PER) + PER), LML=-821.698
