Random Search - Run 5
================================================================================

[Random] iter=01 → idx=127, kernel=(PER * RQ), LML=-2311.097
[Random] iter=02 → idx=136, kernel=(PER + (RQ * RQ)), LML=-4946.285
[Random] iter=03 → idx=51, kernel=((RQ * SE) + PER), LML=-4946.298
[Random] iter=04 → idx=33, kernel=((PER + SE) + PER), LML=-815.241
[Random] iter=05 → idx=64, kernel=((RQ + RQ) + RQ), LML=-4946.273
[Random] iter=06 → idx=170, kernel=(RQ * SE), LML=-4946.300
[Random] iter=07 → idx=31, kernel=((PER + SE) * RQ), LML=-3353.505
[Random] iter=08 → idx=120, kernel=(PER * (SE * PER)), LML=-2408.342
[Random] iter=09 → idx=54, kernel=((RQ + PER) * PER), LML=-2580.897
[Random] iter=10 → idx=202, kernel=(SE * (RQ + RQ)), LML=-4901.823
[Random] iter=11 → idx=59, kernel=((RQ + PER) + SE), LML=-4946.302
[Random] iter=12 → idx=17, kernel=((PER * SE) + SE), LML=-3996.654
[Random] iter=13 → idx=147, kernel=(PER + PER), LML=-1.500
[Random] iter=14 → idx=39, kernel=((RQ * PER) + PER), LML=-2337.192
[Random] iter=15 → idx=36, kernel=((RQ * PER) * PER), LML=-4436.009
[Random] iter=16 → idx=52, kernel=((RQ * SE) + RQ), LML=-4946.297
[Random] iter=17 → idx=236, kernel=SE, LML=-967.564
[Random] iter=18 → idx=72, kernel=((SE * PER) * PER), LML=-2970.398
[Random] iter=19 → idx=116, kernel=(PER * (RQ * SE)), LML=-4946.301
[Random] iter=20 → idx=2, kernel=((PER * PER) * SE), LML=-2969.782
[Random] iter=21 → idx=218, kernel=(SE + (PER + SE)), LML=-1193.245
[Random] iter=22 → idx=197, kernel=(SE * (PER + SE)), LML=-4946.297
[Random] iter=23 → idx=151, kernel=(RQ * (PER * RQ)), LML=-4946.289
[Random] iter=24 → idx=231, kernel=(SE + PER), LML=-1010.139
[Random] iter=25 → idx=29, kernel=((PER + RQ) + SE), LML=-4946.305
[Random] iter=26 → idx=106, kernel=((SE + SE) + RQ), LML=-4946.297
[Random] iter=27 → idx=217, kernel=(SE + (PER + RQ)), LML=-4946.305
[Random] iter=28 → idx=204, kernel=(SE * (SE * PER)), LML=-2969.714
[Random] iter=29 → idx=104, kernel=((SE + SE) * SE), LML=-955.316
[Random] iter=30 → idx=41, kernel=((RQ * PER) + SE), LML=-2137.716
[Random] iter=31 → idx=209, kernel=(SE * (SE + SE)), LML=-955.316
[Random] iter=32 → idx=141, kernel=(PER + (SE * PER)), LML=-3581.862
[Random] iter=33 → idx=8, kernel=((PER * RQ) * SE), LML=-4946.301
[Random] iter=34 → idx=177, kernel=(RQ + (RQ * PER)), LML=-4946.306
[Random] iter=35 → idx=87, kernel=((SE * SE) + PER), LML=-804.562
[Random] iter=36 → idx=199, kernel=(SE * (RQ * RQ)), LML=-4946.287
[Random] iter=37 → idx=111, kernel=(PER * (PER + PER)), LML=-1033.680
[Random] iter=38 → idx=99, kernel=((SE + RQ) + PER), LML=-4946.306
[Random] iter=39 → idx=235, kernel=RQ, LML=-2651.061
[Random] iter=40 → idx=148, kernel=(PER + RQ), LML=-2826.427
[Random] iter=41 → idx=68, kernel=((RQ + SE) * SE), LML=-4946.308
[Random] iter=42 → idx=78, kernel=((SE * RQ) * PER), LML=-2191.722
[Random] iter=43 → idx=70, kernel=((RQ + SE) + RQ), LML=-4946.278
[Random] iter=44 → idx=124, kernel=(PER * (SE + RQ)), LML=-3142.029
[Random] iter=45 → idx=122, kernel=(PER * (SE * SE)), LML=-2969.769
[Random] iter=46 → idx=159, kernel=(RQ * (RQ + PER)), LML=-4946.299
[Random] iter=47 → idx=73, kernel=((SE * PER) * RQ), LML=-4946.307
[Random] iter=48 → idx=219, kernel=(SE + (RQ * PER)), LML=-2137.716
[Random] iter=49 → idx=61, kernel=((RQ + RQ) * RQ), LML=-4946.309
[Random] iter=50 → idx=144, kernel=(PER + (SE + PER)), LML=-815.241
