iteration,RBF_BO,HyperKappa_BO,Random,LLM-GA_unrestricted_p0.05,LLM-GA_unrestricted_p0.1,LLM-GA_unrestricted_p0.3,LLM-GA_unrestricted_p0.5,LLM-GA_unrestricted_p0.7,LLM-GA_unrestricted_p0.9,LLM-GA_depth3_p0.05,LLM-GA_depth3_p0.1,LLM-GA_depth3_p0.3,LLM-GA_depth3_p0.5,LLM-GA_depth3_p0.7,LLM-GA_depth3_p0.9
0,-805.948855167217,-805.948855167217,-805.948855167217,-805.948855167217,-805.948855167217,-805.948855167217,-805.948855167217,-805.948855167217,-805.948855167217,-805.948855167217,-805.948855167217,-805.948855167217,-805.948855167217,-805.948855167217,-805.948855167217
1,-805.948855167217,-805.948855167217,-805.948855167217,-805.948855167217,-805.948855167217,-805.948855167217,-805.948855167217,-805.948855167217,-805.948855167217,-805.948855167217,-805.948855167217,-805.948855167217,-805.948855167217,-805.948855167217,-805.948855167217
2,-805.948855167217,-1.50022320648243,-805.948855167217,-805.948855167217,-805.948855167217,-805.948855167217,-805.948855167217,-805.948855167217,-805.948855167217,-805.948855167217,-805.948855167217,-805.948855167217,-805.948855167217,-805.948855167217,-804.5620362821934
3,-805.948855167217,-1.50022320648243,-805.948855167217,-805.948855167217,-805.948855167217,-805.948855167217,-805.948855167217,-804.5620362821934,-805.948855167217,-805.948855167217,-804.5620362821934,-805.948855167217,-805.948855167217,-804.5620362821934,-804.5620362821934
4,-805.948855167217,-1.50022320648243,-805.948855167217,-805.948855167217,-805.948855167217,-805.948855167217,-805.948855167217,-804.5620362821934,-805.948855167217,-805.948855167217,-804.5620362821934,-805.948855167217,-805.948855167217,-804.5620362821934,-804.5620362821934
5,-805.948855167217,-1.50022320648243,-805.948855167217,-805.948855167217,-805.948855167217,-805.948855167217,-805.948855167217,-804.5620362821934,-805.948855167217,-805.948855167217,-804.5620362821934,-805.948855167217,-805.948855167217,-804.5620362821934,-804.5620362821934
6,-805.948855167217,-1.50022320648243,-805.948855167217,-805.948855167217,-805.948855167217,-805.948855167217,-805.948855167217,-804.5620362821934,-805.948855167217,-805.948855167217,-804.5620362821934,-805.948855167217,-805.948855167217,-804.5620362821934,-804.5620362821934
7,-805.948855167217,-1.50022320648243,-805.948855167217,-805.948855167217,-805.948855167217,-805.948855167217,-805.948855167217,-804.5620362821934,-805.948855167217,-805.948855167217,-804.5620362821934,-805.948855167217,-805.948855167217,-804.5620362821934,-804.5620362821934
8,-805.948855167217,-1.5001721606265028,-805.948855167217,-805.948855167217,-805.948855167217,-805.948855167217,-805.948855167217,-804.5620362821934,-805.948855167217,-805.948855167217,-804.5620362821934,-805.948855167217,-805.948855167217,-804.5620362821934,-804.5620362821934
9,-805.948855167217,-1.5001721606265028,-805.948855167217,-805.948855167217,-805.948855167217,-805.948855167217,-805.948855167217,-804.5620362821934,-805.948855167217,-805.948855167217,-804.5620362821934,-805.948855167217,-805.948855167217,-804.5620362821934,-804.5620362821934
10,-1.5002296725319524,-1.5001721606265028,-805.948855167217,-805.948855167217,-805.948855167217,-805.948855167217,-805.948855167217,-804.5620362821934,-805.948855167217,-805.948855167217,-804.5620362821934,-805.948855167217,-805.948855167217,-804.5620362821934,-804.5620362821934
11,-1.5002296725319524,-1.5001721606265028,-805.948855167217,-805.948855167217,-805.948855167217,-805.948855167217,-805.948855167217,-804.5620362821934,-805.948855167217,-805.948855167217,-804.5620362821934,-805.948855167217,-804.5620362821934,-804.5620362821934,-804.5620362821934
12,-1.5002296725319524,-1.5001721606265028,-805.948855167217,-805.948855167217,-805.948855167217,-805.948855167217,-805.948855167217,-804.5620362821934,-805.948855167217,-805.948855167217,-804.5620362821934,-805.948855167217,-804.5620362821934,-804.5620362821934,-804.5620362821934
13,-1.5002296725319524,-1.5001721606265028,-1.500233113921765,-805.948855167217,-805.948855167217,-805.948855167217,-805.948855167217,-804.5620362821934,-805.948855167217,-805.948855167217,-804.5620362821934,-805.948855167217,-804.5620362821934,-804.5620362821934,-804.5620362821934
14,-1.5002296725319524,-1.5001721606264788,-1.500233113921765,-805.948855167217,-805.948855167217,-805.948855167217,-805.948855167217,-804.5620362821934,-805.948855167217,-805.948855167217,-804.5620362821934,-805.948855167217,-804.5620362821934,-804.5620362821934,-804.5620362821934
15,-1.5002296725319524,-1.5001721606264788,-1.500233113921765,-805.948855167217,-805.948855167217,-805.948855167217,-805.948855167217,-804.5620362821934,-805.948855167217,-805.948855167217,-804.5620362821934,-805.948855167217,-804.5620362821934,-804.5620362821934,-804.5620362821934
16,-1.50022320648243,-1.5001721606264788,-1.500233113921765,-805.948855167217,-805.948855167217,-805.948855167217,-805.948855167217,-804.5620362821934,-805.948855167217,-805.948855167217,-804.5620362821934,-804.5620362821934,-804.5620362821934,-804.5620362821934,-804.5620362821934
17,-1.50022320648243,-1.5001721606264788,-1.500233113921765,-805.948855167217,-805.948855167217,-805.948855167217,-804.5620362821934,-804.5620362821934,-805.948855167217,-805.948855167217,-804.5620362821934,-804.5620362821934,-804.5620362821934,-804.5620362821934,-804.5620362821934
18,-1.50022320648243,-1.5001721606264788,-1.500233113921765,-805.948855167217,-805.948855167217,-805.948855167217,-804.5620362821934,-804.5620362821934,-805.948855167217,-805.948855167217,-804.5620362821934,-804.5620362821934,-804.5620362821934,-804.5620362821934,-804.5620362821934
19,-1.50022320648243,-1.5001721606264788,-1.500233113921765,-805.948855167217,-805.948855167217,-805.948855167217,-804.5620362821934,-804.5620362821934,-805.948855167217,-805.948855167217,-804.5620362821934,-804.5620362821934,-804.5620362821934,-804.5620362821934,-804.5620362821934
20,-1.50022320648243,-1.5001721606264788,-1.500233113921765,-805.948855167217,-805.948855167217,-805.948855167217,-804.5620362821934,-804.5620362821934,-805.948855167217,-805.948855167217,-804.5620362821934,-804.5620362821934,-804.5620362821934,-804.5620362821934,-804.5620362821934
21,-1.50022320648243,-1.5001721606264788,-1.500233113921765,-805.948855167217,-805.948855167217,-805.948855167217,-804.5620362821934,-804.5620362821934,-805.948855167217,-805.948855167217,-804.5620362821934,-804.5620362821934,-804.5620362821934,-804.5620362821934,-804.5620362821934
22,-1.50022320648243,-1.5001721606264788,-1.500233113921765,-805.948855167217,-805.948855167217,-805.948855167217,-804.5620362821934,-804.5620362821934,-805.948855167217,-805.948855167217,-804.5620362821934,-804.5620362821934,-804.5620362821934,-804.5620362821934,-804.5620362821934
23,-1.5001721606265028,-1.5001721606264788,-1.500233113921765,-805.948855167217,-805.948855167217,-805.948855167217,-804.5620362821934,-804.5620362821934,-805.948855167217,-804.5620362821934,-804.5620362821934,-804.5620362821934,-804.5620362821934,-804.5620362821934,-804.5620362821934
