Method,Time_seconds,Best_LML,Best_Iteration
RBF-BO,166.36518025398254,-1.5001721606264788,25
HyperKappa-BO,68.95611715316772,-1.5001721606264788,14
Random Search,65.99109268188477,-1.500233113921765,13
LLM-GA_unrestricted_p0.05,198.55850386619568,-805.948855167217,0
LLM-GA_unrestricted_p0.1,192.22211480140686,-805.948855167217,0
LLM-GA_unrestricted_p0.3,245.30063128471375,-625.9695633710406,46
LLM-GA_unrestricted_p0.5,259.4463577270508,-804.5620362821934,17
LLM-GA_unrestricted_p0.7,289.63450288772583,-804.5620362821934,3
LLM-GA_unrestricted_p0.9,295.1861684322357,-804.5620362821934,38
LLM-GA_depth3_p0.05,144.6753625869751,-804.5620362821934,23
LLM-GA_depth3_p0.1,156.95827984809875,-804.5620362821934,3
LLM-GA_depth3_p0.3,170.62525272369385,-804.5620362821934,16
LLM-GA_depth3_p0.5,221.34356212615967,-804.5620362821934,11
LLM-GA_depth3_p0.7,237.14044332504272,-804.5620362821934,3
LLM-GA_depth3_p0.9,252.78684973716736,-804.5620362821934,2
