Method,Avg_Time_sec,Std_Time_sec,Avg_Best_LML,Std_Best_LML,Avg_Best_Iter,Std_Best_Iter
RBF-BO,126.82449102401733,34.12438711901717,-1.5001721606264788,0.0,12.0,9.252026804976301
HyperKappa-BO,58.36803941726684,10.883192467029723,-1.5001721606264788,0.0,17.8,11.285388783732708
Random Search,53.68051381111145,11.554280265552517,-1.5002088690820385,2.997336418047812e-05,14.0,12.280065146407
LLM-GA Unrestricted (p=0.05),206.5413248538971,86.24994167405153,-998.4988342708563,683.5563315610626,0.6,1.2
LLM-GA Unrestricted (p=0.1),192.4429434299469,23.87331020426395,-930.296762143406,699.960135519971,4.6,6.3118935352238
LLM-GA Unrestricted (p=0.3),239.61665573120118,50.39864526244829,-840.3629311538749,617.7229265046062,16.4,16.95405556201819
LLM-GA Unrestricted (p=0.5),253.74042768478392,20.583230406597718,-930.0193983664014,700.0096272552817,6.6,7.059745037889117
LLM-GA Unrestricted (p=0.7),287.908066701889,39.626862211713544,-649.655141269702,345.9872862252305,23.0,18.793615937333612
LLM-GA Unrestricted (p=0.9),310.09693083763125,47.00152765820056,-704.5039009843356,385.6600188297902,20.4,17.22324011328879
LLM-GA Depth≤3 (p=0.05),155.6136249065399,19.445228383051006,-726.1804198068662,373.8217983803403,14.0,10.677078252031311
LLM-GA Depth≤3 (p=0.1),153.17718591690064,13.023500173223017,-565.5680584849339,466.636846347644,6.2,4.445222154178574
LLM-GA Depth≤3 (p=0.3),170.0969931602478,12.213642920797227,-726.1804198068662,373.8217983803403,10.8,6.241794613730894
LLM-GA Depth≤3 (p=0.5),196.39244604110718,18.724766801578525,-726.1804198068662,373.8217983803403,7.6,7.657675887630659
LLM-GA Depth≤3 (p=0.7),223.21565413475037,16.83993817409458,-565.5680584849339,466.636846347644,3.4,2.3323807579381204
LLM-GA Depth≤3 (p=0.9),243.6346580505371,18.25145172672714,-726.1804198068662,373.8217983803403,4.6,5.351635264103861
