iteration,RBF_BO_mean,RBF_BO_std,HyperKappa_BO_mean,HyperKappa_BO_std,Random_mean,Random_std,LLM-GA_unrestricted_p0.05_mean,LLM-GA_unrestricted_p0.05_std,LLM-GA_unrestricted_p0.1_mean,LLM-GA_unrestricted_p0.1_std,LLM-GA_unrestricted_p0.3_mean,LLM-GA_unrestricted_p0.3_std,LLM-GA_unrestricted_p0.5_mean,LLM-GA_unrestricted_p0.5_std,LLM-GA_unrestricted_p0.7_mean,LLM-GA_unrestricted_p0.7_std,LLM-GA_unrestricted_p0.9_mean,LLM-GA_unrestricted_p0.9_std,LLM-GA_depth3_p0.05_mean,LLM-GA_depth3_p0.05_std,LLM-GA_depth3_p0.1_mean,LLM-GA_depth3_p0.1_std,LLM-GA_depth3_p0.3_mean,LLM-GA_depth3_p0.3_std,LLM-GA_depth3_p0.5_mean,LLM-GA_depth3_p0.5_std,LLM-GA_depth3_p0.7_mean,LLM-GA_depth3_p0.7_std,LLM-GA_depth3_p0.9_mean,LLM-GA_depth3_p0.9_std
0,-1.289869111517453,3.142481562868251e-06,-1.289869111517453,3.142481562868251e-06,-1.289869111517453,3.142481562868251e-06,-1.289869111517453,3.142481562868251e-06,-1.289869111517453,3.142481562868251e-06,-1.289869111517453,3.142481562868251e-06,-1.289869111517453,3.142481562868251e-06,-1.289869111517453,3.142481562868251e-06,-1.289869111517453,3.142481562868251e-06,-1.289869111517453,3.142481562868251e-06,-1.289869111517453,3.142481562868251e-06,-1.289869111517453,3.142481562868251e-06,-1.289869111517453,3.142481562868251e-06,-1.289869111517453,3.142481562868251e-06,-1.289869111517453,3.142481562868251e-06
1,-1.289867664047927,2.9114433052691177e-06,-1.2898654011483486,1.3190089473310255e-06,-1.2898675497671428,1.8232519475163537e-06,-1.2898670725417976,2.8493931822131506e-06,-1.2898680677721472,2.507929878587819e-06,-1.289869111517453,3.142481562868251e-06,-1.2898676729067726,2.4631807686906564e-06,-1.2898685262170473,3.369871136174281e-06,-1.2898665475366957,2.0425858627570877e-06,-1.2898673761734905,2.952046067714787e-06,-1.2898673608860638,2.968400614132581e-06,-1.2898669813081214,2.8188555276349583e-06,-1.2898673761734905,2.952046067714787e-06,-1.2898674881753347,4.023135018718076e-06,-1.289865594084603,2.269533191278891e-06
2,-1.2898662978072226,1.2611218488578774e-06,-1.289864593448467,1.4157959466984619e-06,-1.2898672753871665,1.917322058687675e-06,-1.2898670725417976,2.8493931822131506e-06,-1.2898670725417976,2.8493931822131506e-06,-1.2898686034107096,3.5480856466770103e-06,-1.2898670141361115,2.843806774712474e-06,-1.2898678404028237,3.0226668782213075e-06,-1.289864885458573,1.406526370362061e-06,-1.2898663963146069,3.0166314548949682e-06,-1.2898673608860638,2.968400614132581e-06,-1.2898663963146069,3.0166314548949682e-06,-1.2898666842679427,2.8312712164657894e-06,-1.2898655340961902,3.200645921883302e-06,-1.2898655940845973,2.2695331873446842e-06
3,-1.2898662978072226,1.2611218488578774e-06,-1.2898640765001363,1.2372913853376328e-06,-1.289866055229203,2.254553372686734e-06,-1.2898670725417976,2.8493931822131506e-06,-1.2898670725417976,2.8493931822131506e-06,-1.28986760818036,3.935023315667001e-06,-1.2898670141361115,2.843806774712474e-06,-1.2898664244460285,1.9896781399419614e-06,-1.2898638480641034,6.69236369484407e-07,-1.2898663963146069,3.0166314548949682e-06,-1.2898673608860638,2.968400614132581e-06,-1.289866050518794,3.3271202742362404e-06,-1.2898661532784925,1.903836893110506e-06,-1.28986500310674,2.1520163564411656e-06,-1.2898655940845973,2.2695331873446842e-06
4,-1.289865525657228,1.4756316409919168e-06,-1.2898620688098699,4.4683742399350165e-06,-1.289866055229203,2.254553372686734e-06,-1.2898658906722897,1.5294745471888687e-06,-1.2898661292227445,1.6142396205597025e-06,-1.2898645815936622,1.4150931119655548e-06,-1.2898656751351356,1.4913909787553828e-06,-1.2898660166130835,1.5352277327591134e-06,-1.2898638480641034,6.69236369484407e-07,-1.289865214445099,1.3122086817585612e-06,-1.2898658325735004,2.082469833132106e-06,-1.289863728073713,6.712488134344136e-07,-1.2898661487818333,1.8965856909571715e-06,-1.2898640057836268,4.308142138144775e-07,-1.2898652670883703,1.8135793280018388e-06
5,-1.2898653222935121,1.7020965366015468e-06,-1.289859474073321,4.922816440873104e-06,-1.289866055229203,2.254553372686734e-06,-1.2898658906722897,1.5294745471888687e-06,-1.2898658906722897,1.5294745471888687e-06,-1.2898643406774932,1.4398703589020785e-06,-1.2898655848828848,1.5905251271957316e-06,-1.289865116017682,1.8796288574036304e-06,-1.2898621219084718,4.120994827204278e-06,-1.289865214445099,1.3122086817585612e-06,-1.2898658325735004,2.082469833132106e-06,-1.289863728073713,6.712488134344136e-07,-1.2898661487818333,1.8965856909571715e-06,-1.2898640057836268,4.308142138144775e-07,-1.2898647108662002,1.3499918571823389e-06
6,-1.2898647715058107,1.8083070587727061e-06,-1.289859474073321,4.922816440873104e-06,-1.289866055229203,2.254553372686734e-06,-1.2898658906722897,1.5294745471888687e-06,-1.2898658906722897,1.5294745471888687e-06,-1.2898643406774932,1.4398703589020785e-06,-1.2898655848828848,1.5905251271957316e-06,-1.2898649839421563,1.963291200859877e-06,-1.2898619899539503,4.063689843311886e-06,-1.2898648680020435,1.2949943558634184e-06,-1.2898649703550837,2.123349632167362e-06,-1.2898633822779004,7.582254926329111e-07,-1.2898661487818333,1.8965856909571715e-06,-1.2898639904962002,4.2353032015130674e-07,-1.2898644248404258,1.4254584662839342e-06
7,-1.2898647715058107,1.8083070587727061e-06,-1.289857333909448,4.7418396586779225e-06,-1.2898655915398043,1.755860003774214e-06,-1.2898656938148965,1.524670729524777e-06,-1.2898658906722897,1.5294745471888687e-06,-1.2898643406774932,1.4398703589020785e-06,-1.2898655848828848,1.5905251271957316e-06,-1.2898644417181082,1.7202782200297997e-06,-1.2898619899539503,4.063689843311886e-06,-1.2898648680020435,1.2949943558634184e-06,-1.2898649703550837,2.123349632167362e-06,-1.2898633822779004,7.582254926329111e-07,-1.289866133410367,1.9122414427310693e-06,-1.2898639904962002,4.2353032015130674e-07,-1.2898644248404258,1.4254584662839342e-06
8,-1.2898646441927206,1.6281688344399105e-06,-1.289857333909448,4.7418396586779225e-06,-1.2898655915398043,1.755860003774214e-06,-1.289864264932828,1.8137937491165149e-06,-1.2898655288577678,1.6745160222340017e-06,-1.2898643406774932,1.4398703589020785e-06,-1.2898655848828848,1.5905251271957316e-06,-1.2898637501194514,6.071842041839261e-07,-1.2898619899539503,4.063689843311886e-06,-1.2898648680020435,1.2949943558634184e-06,-1.2898649703550837,2.123349632167362e-06,-1.2898633822779004,7.582254926329111e-07,-1.289866133410367,1.9122414427310693e-06,-1.2898635094225706,6.466533941892374e-07,-1.2898644248404258,1.4254584662839342e-06
9,-1.2898646441927206,1.6281688344399105e-06,-1.289857333909448,4.7418396586779225e-06,-1.2898648263241381,1.6265175235913742e-06,-1.289864264932828,1.8137937491165149e-06,-1.2898655288577678,1.6745160222340017e-06,-1.2898636257720626,2.0906896114815245e-06,-1.2898655848828848,1.5905251271957316e-06,-1.2898637501194514,6.071842041839261e-07,-1.2898615078799185,3.908181787017896e-06,-1.2898648526305772,1.3027914289275755e-06,-1.2898646820948614,1.561273192547614e-06,-1.2898633822779004,7.582254926329111e-07,-1.2898658029860204,2.3228236425866436e-06,-1.2898635094225706,6.466533941892374e-07,-1.2898644248404258,1.4254584662839342e-06
