Run,Method,Time_seconds,Best_LML,Best_Iteration
1,RBF-BO,146.72554993629456,-1.2898534622135793,34
1,HyperKappa-BO,77.23592281341553,-1.2898534622135793,23
1,Random Search,65.29173111915588,-1.2898630383948757,23
1,LLM-GA_unrestricted_p0.05,243.71895217895508,-1.2897578132608414,33
1,LLM-GA_unrestricted_p0.1,262.6137180328369,-1.2898619628507015,20
1,LLM-GA_unrestricted_p0.3,296.3714108467102,-1.2898605889259889,9
1,LLM-GA_unrestricted_p0.5,433.3897514343262,-1.2898641634531425,2
1,LLM-GA_unrestricted_p0.7,434.3730034828186,-1.2898610490670672,41
1,LLM-GA_unrestricted_p0.9,428.6597878932953,-1.2898607721303161,28
1,LLM-GA_depth3_p0.05,196.53204560279846,-1.2898534622135793,14
1,LLM-GA_depth3_p0.1,208.41626477241516,-1.2898534622135793,11
1,LLM-GA_depth3_p0.3,181.5934247970581,-1.2898625109112118,18
1,LLM-GA_depth3_p0.5,219.34307193756104,-1.2897578132608414,10
1,LLM-GA_depth3_p0.7,282.56224036216736,-1.2898534622135793,19
1,LLM-GA_depth3_p0.9,330.6755440235138,-1.2898625109112118,20
2,RBF-BO,103.83737897872925,-1.2898534622135793,33
2,HyperKappa-BO,84.02051949501038,-1.2898534622135793,7
2,Random Search,75.29266858100891,-1.289864163032944,0
2,LLM-GA_unrestricted_p0.05,256.9820468425751,-1.2898637117716885,7
2,LLM-GA_unrestricted_p0.1,296.22347116470337,-1.289858824531276,40
2,LLM-GA_unrestricted_p0.3,265.09913396835327,-1.2898637117716885,5
2,LLM-GA_unrestricted_p0.5,346.92545533180237,-1.289858824531276,29
2,LLM-GA_unrestricted_p0.7,393.4677574634552,-1.2898635026553165,6
2,LLM-GA_unrestricted_p0.9,468.1217963695526,-1.289858824531276,24
2,LLM-GA_depth3_p0.05,166.75498414039612,-1.289863486643859,32
2,LLM-GA_depth3_p0.1,198.7289457321167,-1.289863486643859,34
2,LLM-GA_depth3_p0.3,181.8923864364624,-1.2898625109112118,49
2,LLM-GA_depth3_p0.5,279.56390738487244,-1.289864163032944,0
2,LLM-GA_depth3_p0.7,237.9711790084839,-1.289863486643859,8
2,LLM-GA_depth3_p0.9,341.04826045036316,-1.2897578132608414,40
3,RBF-BO,82.55341696739197,-1.2898610739712393,13
3,HyperKappa-BO,65.64818978309631,-1.2898534622135793,4
3,Random Search,61.55436086654663,-1.2898534622135793,36
3,LLM-GA_unrestricted_p0.05,274.5155520439148,-1.289864163032944,1
3,LLM-GA_unrestricted_p0.1,240.30545377731323,-1.289864163032944,2
3,LLM-GA_unrestricted_p0.3,300.691055059433,-1.2898592516097467,37
3,LLM-GA_unrestricted_p0.5,400.4991526603699,-1.289864163032944,42
3,LLM-GA_unrestricted_p0.7,462.54040718078613,-1.2898581393068083,32
3,LLM-GA_unrestricted_p0.9,460.7757992744446,-1.2897578132608414,29
3,LLM-GA_depth3_p0.05,161.00284957885742,-1.289862507235733,50
3,LLM-GA_depth3_p0.1,186.23784160614014,-1.289864163032944,17
3,LLM-GA_depth3_p0.3,250.38616013526917,-1.2897578132608414,18
3,LLM-GA_depth3_p0.5,292.373099565506,-1.2897578132608414,29
3,LLM-GA_depth3_p0.7,316.7764222621918,-1.2898625109112118,8
3,LLM-GA_depth3_p0.9,386.2510597705841,-1.289864163032944,17
4,RBF-BO,84.4663941860199,-1.2898610739712393,36
4,HyperKappa-BO,48.811103105545044,-1.2898534622135793,5
4,Random Search,66.04241919517517,-1.289862507235733,29
4,LLM-GA_unrestricted_p0.05,261.7695870399475,-1.2898619628787986,25
4,LLM-GA_unrestricted_p0.1,249.11333465576172,-1.2898610490670672,14
4,LLM-GA_unrestricted_p0.3,364.8470296859741,-1.2897578132608414,28
4,LLM-GA_unrestricted_p0.5,395.82979226112366,-1.2898635026553165,25
4,LLM-GA_unrestricted_p0.7,389.4577305316925,-1.2898626618808118,5
4,LLM-GA_unrestricted_p0.9,389.0469181537628,-1.2898538801330535,5
4,LLM-GA_depth3_p0.05,145.8277485370636,-1.2898625109112118,10
4,LLM-GA_depth3_p0.1,191.67730402946472,-1.2898598098300935,19
4,LLM-GA_depth3_p0.3,266.0291872024536,-1.2898608707240684,48
4,LLM-GA_depth3_p0.5,276.2304050922394,-1.289862507235733,12
4,LLM-GA_depth3_p0.7,265.9136481285095,-1.289863486643859,20
4,LLM-GA_depth3_p0.9,248.9899079799652,-1.2898625109112118,20
5,RBF-BO,74.88115048408508,-1.2898534622135793,26
5,HyperKappa-BO,39.43033790588379,-1.2898534622135793,10
5,Random Search,58.36882209777832,-1.2898631414532509,18
5,LLM-GA_unrestricted_p0.05,252.99784421920776,-1.2898608856666607,10
5,LLM-GA_unrestricted_p0.1,219.30898332595825,-1.2898618295201163,19
5,LLM-GA_unrestricted_p0.3,276.8399963378906,-1.289863500001788,16
5,LLM-GA_unrestricted_p0.5,301.1218330860138,-1.2898618295201163,22
5,LLM-GA_unrestricted_p0.7,400.53941082954407,-1.2898626618558529,17
5,LLM-GA_unrestricted_p0.9,334.0810823440552,-1.2898618295201163,9
5,LLM-GA_depth3_p0.05,180.38247561454773,-1.289862507235733,13
5,LLM-GA_depth3_p0.1,199.74423670768738,-1.28986067704041,23
5,LLM-GA_depth3_p0.3,209.7188732624054,-1.2898613263709324,36
5,LLM-GA_depth3_p0.5,287.27768564224243,-1.2898613263709324,20
5,LLM-GA_depth3_p0.7,311.53605818748474,-1.2898625109112118,10
5,LLM-GA_depth3_p0.9,351.2002203464508,-1.2898625109112118,12
