HyperKappa Bayesian Optimization - Run 1
================================================================================

[HyperKappa-BO] iter=01 → idx=235, kernel=RQ, LML=-1.290
[HyperKappa-BO] iter=02 → idx=171, kernel=(RQ + (PER * PER)), LML=-1.290
[HyperKappa-BO] iter=03 → idx=26, kernel=((PER + RQ) * SE), LML=-1.290
[HyperKappa-BO] iter=04 → idx=174, kernel=(RQ + (PER + PER)), LML=-1.290
[HyperKappa-BO] iter=05 → idx=130, kernel=(PER + (PER * RQ)), LML=-4946.329
[HyperKappa-BO] iter=06 → idx=88, kernel=((SE * SE) + RQ), LML=-1.290
[HyperKappa-BO] iter=07 → idx=132, kernel=(PER + (PER + PER)), LML=-1.500
[HyperKappa-BO] iter=08 → idx=111, kernel=(PER * (PER + PER)), LML=-1.293
[HyperKappa-BO] iter=09 → idx=46, kernel=((RQ * RQ) + RQ), LML=-1.290
[HyperKappa-BO] iter=10 → idx=206, kernel=(SE * (SE * SE)), LML=-1.290
[HyperKappa-BO] iter=11 → idx=87, kernel=((SE * SE) + PER), LML=-2.612
[HyperKappa-BO] iter=12 → idx=5, kernel=((PER * PER) + SE), LML=-2.612
[HyperKappa-BO] iter=13 → idx=233, kernel=(SE + SE), LML=-1.290
[HyperKappa-BO] iter=14 → idx=104, kernel=((SE + SE) * SE), LML=-1.290
[HyperKappa-BO] iter=15 → idx=149, kernel=(PER + SE), LML=-2.612
[HyperKappa-BO] iter=16 → idx=189, kernel=(RQ + PER), LML=-1.382
[HyperKappa-BO] iter=17 → idx=65, kernel=((RQ + RQ) + SE), LML=-1.290
[HyperKappa-BO] iter=18 → idx=228, kernel=(SE + (SE + PER)), LML=-2.612
[HyperKappa-BO] iter=19 → idx=177, kernel=(RQ + (RQ * PER)), LML=-4946.339
[HyperKappa-BO] iter=20 → idx=108, kernel=(PER * (PER * PER)), LML=-1.500
[HyperKappa-BO] iter=21 → idx=203, kernel=(SE * (RQ + SE)), LML=-1.290
[HyperKappa-BO] iter=22 → idx=18, kernel=((PER + PER) * PER), LML=-1.293
[HyperKappa-BO] iter=23 → idx=136, kernel=(PER + (RQ * RQ)), LML=-1.290
[HyperKappa-BO] iter=24 → idx=61, kernel=((RQ + RQ) * RQ), LML=-1.290
[HyperKappa-BO] iter=25 → idx=82, kernel=((SE * RQ) + RQ), LML=-10000000000.000
[HyperKappa-BO] iter=26 → idx=0, kernel=((PER * PER) * PER), LML=-1.500
[HyperKappa-BO] iter=27 → idx=1, kernel=((PER * PER) * RQ), LML=-4946.336
[HyperKappa-BO] iter=28 → idx=2, kernel=((PER * PER) * SE), LML=-4946.334
[HyperKappa-BO] iter=29 → idx=4, kernel=((PER * PER) + RQ), LML=-1.290
[HyperKappa-BO] iter=30 → idx=6, kernel=((PER * RQ) * PER), LML=-4946.335
[HyperKappa-BO] iter=31 → idx=7, kernel=((PER * RQ) * RQ), LML=-4946.344
[HyperKappa-BO] iter=32 → idx=8, kernel=((PER * RQ) * SE), LML=-4946.355
[HyperKappa-BO] iter=33 → idx=9, kernel=((PER * RQ) + PER), LML=-4946.340
[HyperKappa-BO] iter=34 → idx=10, kernel=((PER * RQ) + RQ), LML=-4946.338
[HyperKappa-BO] iter=35 → idx=11, kernel=((PER * RQ) + SE), LML=-4946.333
[HyperKappa-BO] iter=36 → idx=13, kernel=((PER * SE) * RQ), LML=-4946.345
[HyperKappa-BO] iter=37 → idx=14, kernel=((PER * SE) * SE), LML=-4946.328
[HyperKappa-BO] iter=38 → idx=15, kernel=((PER * SE) + PER), LML=-1.290
[HyperKappa-BO] iter=39 → idx=16, kernel=((PER * SE) + RQ), LML=-1.290
[HyperKappa-BO] iter=40 → idx=17, kernel=((PER * SE) + SE), LML=-4946.344
[HyperKappa-BO] iter=41 → idx=19, kernel=((PER + PER) * RQ), LML=-4946.337
[HyperKappa-BO] iter=42 → idx=20, kernel=((PER + PER) * SE), LML=-4946.329
[HyperKappa-BO] iter=43 → idx=21, kernel=((PER + PER) + PER), LML=-1.500
[HyperKappa-BO] iter=44 → idx=22, kernel=((PER + PER) + RQ), LML=-1.290
[HyperKappa-BO] iter=45 → idx=23, kernel=((PER + PER) + SE), LML=-4946.352
[HyperKappa-BO] iter=46 → idx=24, kernel=((PER + RQ) * PER), LML=-4946.336
[HyperKappa-BO] iter=47 → idx=25, kernel=((PER + RQ) * RQ), LML=-4946.341
[HyperKappa-BO] iter=48 → idx=27, kernel=((PER + RQ) + PER), LML=-1.290
[HyperKappa-BO] iter=49 → idx=28, kernel=((PER + RQ) + RQ), LML=-2.617
[HyperKappa-BO] iter=50 → idx=29, kernel=((PER + RQ) + SE), LML=-2.612
