Random Search - Run 1
================================================================================

[Random] iter=01 → idx=210, kernel=(SE * PER), LML=-4946.329
[Random] iter=02 → idx=107, kernel=((SE + SE) + SE), LML=-1.290
[Random] iter=03 → idx=172, kernel=(RQ + (PER * RQ)), LML=-4946.339
[Random] iter=04 → idx=35, kernel=((PER + SE) + SE), LML=-2.612
[Random] iter=05 → idx=39, kernel=((RQ * PER) + PER), LML=-4946.342
[Random] iter=06 → idx=40, kernel=((RQ * PER) + RQ), LML=-4946.338
[Random] iter=07 → idx=142, kernel=(PER + (SE * RQ)), LML=-2.612
[Random] iter=08 → idx=9, kernel=((PER * RQ) + PER), LML=-4946.340
[Random] iter=09 → idx=56, kernel=((RQ + PER) * SE), LML=-1.290
[Random] iter=10 → idx=28, kernel=((PER + RQ) + RQ), LML=-2.617
[Random] iter=11 → idx=95, kernel=((SE + PER) + SE), LML=-2.612
[Random] iter=12 → idx=112, kernel=(PER * (PER + RQ)), LML=-4946.336
[Random] iter=13 → idx=191, kernel=(RQ + SE), LML=-1.290
[Random] iter=14 → idx=143, kernel=(PER + (SE * SE)), LML=-2.612
[Random] iter=15 → idx=127, kernel=(PER * RQ), LML=-4946.343
[Random] iter=16 → idx=13, kernel=((PER * SE) * RQ), LML=-4946.345
[Random] iter=17 → idx=228, kernel=(SE + (SE + PER)), LML=-2.612
[Random] iter=18 → idx=109, kernel=(PER * (PER * RQ)), LML=-4946.336
[Random] iter=19 → idx=128, kernel=(PER * SE), LML=-4946.329
[Random] iter=20 → idx=174, kernel=(RQ + (PER + PER)), LML=-1.290
[Random] iter=21 → idx=198, kernel=(SE * (RQ * PER)), LML=-4946.347
[Random] iter=22 → idx=7, kernel=((PER * RQ) * RQ), LML=-4946.344
[Random] iter=23 → idx=27, kernel=((PER + RQ) + PER), LML=-1.290
[Random] iter=24 → idx=164, kernel=(RQ * (SE * SE)), LML=-1.290
[Random] iter=25 → idx=103, kernel=((SE + SE) * RQ), LML=-1.290
[Random] iter=26 → idx=221, kernel=(SE + (RQ * SE)), LML=-1.290
[Random] iter=27 → idx=90, kernel=((SE + PER) * PER), LML=-4946.348
[Random] iter=28 → idx=111, kernel=(PER * (PER + PER)), LML=-1.293
[Random] iter=29 → idx=220, kernel=(SE + (RQ * RQ)), LML=-1.290
[Random] iter=30 → idx=134, kernel=(PER + (PER + SE)), LML=-4946.352
[Random] iter=31 → idx=57, kernel=((RQ + PER) + PER), LML=-1.290
[Random] iter=32 → idx=232, kernel=(SE + RQ), LML=-1.290
[Random] iter=33 → idx=167, kernel=(RQ * (SE + SE)), LML=-1.290
[Random] iter=34 → idx=62, kernel=((RQ + RQ) * SE), LML=-1.290
[Random] iter=35 → idx=154, kernel=(RQ * (PER + RQ)), LML=-4946.341
[Random] iter=36 → idx=1, kernel=((PER * PER) * RQ), LML=-4946.336
[Random] iter=37 → idx=197, kernel=(SE * (PER + SE)), LML=-4946.349
[Random] iter=38 → idx=36, kernel=((RQ * PER) * PER), LML=-4946.344
[Random] iter=39 → idx=185, kernel=(RQ + (SE * SE)), LML=-1.290
[Random] iter=40 → idx=114, kernel=(PER * (RQ * PER)), LML=-4946.335
[Random] iter=41 → idx=71, kernel=((RQ + SE) + SE), LML=-1.290
[Random] iter=42 → idx=148, kernel=(PER + RQ), LML=-1.382
[Random] iter=43 → idx=213, kernel=(SE + (PER * PER)), LML=-2.612
[Random] iter=44 → idx=171, kernel=(RQ + (PER * PER)), LML=-1.290
[Random] iter=45 → idx=176, kernel=(RQ + (PER + SE)), LML=-2.612
[Random] iter=46 → idx=227, kernel=(SE + (SE * SE)), LML=-1.290
[Random] iter=47 → idx=75, kernel=((SE * PER) + PER), LML=-1.290
[Random] iter=48 → idx=125, kernel=(PER * (SE + SE)), LML=-4946.327
[Random] iter=49 → idx=116, kernel=(PER * (RQ * SE)), LML=-4946.355
[Random] iter=50 → idx=24, kernel=((PER + RQ) * PER), LML=-4946.336
