RBF Bayesian Optimization - Run 1
================================================================================

[RBF-BO] iter=01 → idx=234, kernel=PER, LML=-1.500
[RBF-BO] iter=02 → idx=149, kernel=(PER + SE), LML=-2.612
[RBF-BO] iter=03 → idx=207, kernel=(SE * (SE + PER)), LML=-4946.331
[RBF-BO] iter=04 → idx=0, kernel=((PER * PER) * PER), LML=-1.500
[RBF-BO] iter=05 → idx=71, kernel=((RQ + SE) + SE), LML=-1.290
[RBF-BO] iter=06 → idx=5, kernel=((PER * PER) + SE), LML=-2.612
[RBF-BO] iter=07 → idx=130, kernel=(PER + (PER * RQ)), LML=-4946.329
[RBF-BO] iter=08 → idx=235, kernel=RQ, LML=-1.290
[RBF-BO] iter=09 → idx=178, kernel=(RQ + (RQ * RQ)), LML=-1.290
[RBF-BO] iter=10 → idx=88, kernel=((SE * SE) + RQ), LML=-1.290
[RBF-BO] iter=11 → idx=86, kernel=((SE * SE) * SE), LML=-1.290
[RBF-BO] iter=12 → idx=64, kernel=((RQ + RQ) + RQ), LML=-1.290
[RBF-BO] iter=13 → idx=230, kernel=(SE + (SE + SE)), LML=-1.290
[RBF-BO] iter=14 → idx=4, kernel=((PER * PER) + RQ), LML=-1.290
[RBF-BO] iter=15 → idx=189, kernel=(RQ + PER), LML=-1.382
[RBF-BO] iter=16 → idx=111, kernel=(PER * (PER + PER)), LML=-1.293
[RBF-BO] iter=17 → idx=157, kernel=(RQ * (RQ * RQ)), LML=-1.290
[RBF-BO] iter=18 → idx=232, kernel=(SE + RQ), LML=-1.290
[RBF-BO] iter=19 → idx=58, kernel=((RQ + PER) + RQ), LML=-2.617
[RBF-BO] iter=20 → idx=147, kernel=(PER + PER), LML=-1.379
[RBF-BO] iter=21 → idx=129, kernel=(PER + (PER * PER)), LML=-1.500
[RBF-BO] iter=22 → idx=57, kernel=((RQ + PER) + PER), LML=-1.290
[RBF-BO] iter=23 → idx=148, kernel=(PER + RQ), LML=-1.382
[RBF-BO] iter=24 → idx=223, kernel=(SE + (RQ + RQ)), LML=-1.290
[RBF-BO] iter=25 → idx=63, kernel=((RQ + RQ) + PER), LML=-2.617
[RBF-BO] iter=26 → idx=171, kernel=(RQ + (PER * PER)), LML=-1.290
[RBF-BO] iter=27 → idx=61, kernel=((RQ + RQ) * RQ), LML=-1.290
[RBF-BO] iter=28 → idx=93, kernel=((SE + PER) + PER), LML=-4946.357
[RBF-BO] iter=29 → idx=168, kernel=(RQ * PER), LML=-4946.340
[RBF-BO] iter=30 → idx=30, kernel=((PER + SE) * PER), LML=-4946.331
[RBF-BO] iter=31 → idx=214, kernel=(SE + (PER * RQ)), LML=-4946.342
[RBF-BO] iter=32 → idx=218, kernel=(SE + (PER + SE)), LML=-2.612
[RBF-BO] iter=33 → idx=7, kernel=((PER * RQ) * RQ), LML=-4946.344
[RBF-BO] iter=34 → idx=136, kernel=(PER + (RQ * RQ)), LML=-1.290
[RBF-BO] iter=35 → idx=209, kernel=(SE * (SE + SE)), LML=-1.290
[RBF-BO] iter=36 → idx=174, kernel=(RQ + (PER + PER)), LML=-1.290
[RBF-BO] iter=37 → idx=6, kernel=((PER * RQ) * PER), LML=-4946.335
[RBF-BO] iter=38 → idx=143, kernel=(PER + (SE * SE)), LML=-2.612
[RBF-BO] iter=39 → idx=51, kernel=((RQ * SE) + PER), LML=-2.612
[RBF-BO] iter=40 → idx=227, kernel=(SE + (SE * SE)), LML=-1.290
[RBF-BO] iter=41 → idx=27, kernel=((PER + RQ) + PER), LML=-1.290
[RBF-BO] iter=42 → idx=173, kernel=(RQ + (PER * SE)), LML=-1.290
[RBF-BO] iter=43 → idx=213, kernel=(SE + (PER * PER)), LML=-2.612
[RBF-BO] iter=44 → idx=18, kernel=((PER + PER) * PER), LML=-1.293
[RBF-BO] iter=45 → idx=217, kernel=(SE + (PER + RQ)), LML=-2.612
[RBF-BO] iter=46 → idx=203, kernel=(SE * (RQ + SE)), LML=-1.290
[RBF-BO] iter=47 → idx=172, kernel=(RQ + (PER * RQ)), LML=-4946.339
[RBF-BO] iter=48 → idx=16, kernel=((PER * SE) + RQ), LML=-1.290
[RBF-BO] iter=49 → idx=154, kernel=(RQ * (PER + RQ)), LML=-4946.341
[RBF-BO] iter=50 → idx=146, kernel=(PER + (SE + SE)), LML=-2.612
