iteration,RBF_BO,HyperKappa_BO,Random,LLM-GA_unrestricted_p0.05,LLM-GA_unrestricted_p0.1,LLM-GA_unrestricted_p0.3,LLM-GA_unrestricted_p0.5,LLM-GA_unrestricted_p0.7,LLM-GA_unrestricted_p0.9,LLM-GA_depth3_p0.05,LLM-GA_depth3_p0.1,LLM-GA_depth3_p0.3,LLM-GA_depth3_p0.5,LLM-GA_depth3_p0.7,LLM-GA_depth3_p0.9
0,-1.2898674573064475,-1.2898674573064475,-1.2898674573064475,-1.2898674573064475,-1.2898674573064475,-1.2898674573064475,-1.2898674573064475,-1.2898674573064475,-1.2898674573064475,-1.2898674573064475,-1.2898674573064475,-1.2898674573064475,-1.2898674573064475,-1.2898674573064475,-1.2898674573064475
1,-1.2898674573064475,-1.289866820740997,-1.2898674573064475,-1.2898674573064475,-1.2898674573064475,-1.2898674573064475,-1.2898674573064475,-1.2898659721055536,-1.2898674573064475,-1.2898674573064475,-1.2898674573064475,-1.2898674573064475,-1.2898674573064475,-1.289864239890275,-1.2898631462143637
2,-1.2898674573064475,-1.2898631414532509,-1.2898660854065656,-1.2898674573064475,-1.2898674573064475,-1.2898649167727314,-1.2898641634531425,-1.2898659721055536,-1.2898641634531425,-1.2898674573064475,-1.2898674573064475,-1.2898674573064475,-1.2898659721055536,-1.2898631462143637,-1.2898631462143637
3,-1.2898674573064475,-1.2898631414532509,-1.2898660854065656,-1.2898674573064475,-1.2898674573064475,-1.2898649167727314,-1.2898641634531425,-1.2898641634531425,-1.2898641634531425,-1.2898674573064475,-1.2898674573064475,-1.2898674573064475,-1.2898659721055536,-1.2898631462143637,-1.2898631462143637
4,-1.2898674573064475,-1.2898631414532509,-1.2898660854065656,-1.2898674573064475,-1.2898674573064475,-1.2898649167727314,-1.2898641634531425,-1.2898641634531425,-1.2898641634531425,-1.2898674573064475,-1.2898674573064475,-1.289863486643859,-1.2898659721055536,-1.2898631462143637,-1.2898631462143637
5,-1.2898674573064475,-1.2898631414532509,-1.2898660854065656,-1.2898674573064475,-1.2898674573064475,-1.2898641634531425,-1.2898641634531425,-1.2898641634531425,-1.2898641634531425,-1.2898674573064475,-1.2898674573064475,-1.289863486643859,-1.2898659721055536,-1.2898631462143637,-1.2898631462143637
6,-1.2898674573064475,-1.2898631414532509,-1.2898660854065656,-1.2898674573064475,-1.2898674573064475,-1.2898641634531425,-1.2898641634531425,-1.2898641634531425,-1.2898641634531425,-1.2898674573064475,-1.2898631462143637,-1.289863486643859,-1.2898659721055536,-1.2898631462143637,-1.2898631462143637
7,-1.2898674573064475,-1.2898631414532509,-1.2898660854065656,-1.2898674573064475,-1.2898674573064475,-1.2898641634531425,-1.2898641634531425,-1.2898641634531425,-1.2898641634531425,-1.2898674573064475,-1.2898631462143637,-1.289863486643859,-1.2898659721055536,-1.2898631462143637,-1.2898631462143637
8,-1.289866820740997,-1.2898631414532509,-1.2898660854065656,-1.2898674573064475,-1.2898674573064475,-1.2898641634531425,-1.2898641634531425,-1.2898641634531425,-1.2898641634531425,-1.2898674573064475,-1.2898631462143637,-1.289863486643859,-1.2898659721055536,-1.2898631462143637,-1.2898631462143637
9,-1.289866820740997,-1.2898631414532509,-1.2898641632965007,-1.2898674573064475,-1.2898674573064475,-1.2898605889259889,-1.2898641634531425,-1.2898641634531425,-1.2898641634531425,-1.2898674573064475,-1.2898631462143637,-1.289863486643859,-1.2898659721055536,-1.2898631462143637,-1.2898631462143637
10,-1.289866679567714,-1.2898631414532509,-1.2898641632965007,-1.2898674573064475,-1.2898671648578182,-1.2898605889259889,-1.2898641634531425,-1.2898641634531425,-1.2898641634531425,-1.2898631462143637,-1.2898631462143637,-1.289863486643859,-1.2897578132608414,-1.2898631462143637,-1.2898631462143637
11,-1.2898663913852721,-1.2898631414532509,-1.2898641632965007,-1.2898674573064475,-1.2898671648578182,-1.2898605889259889,-1.2898641634531425,-1.2898641634531425,-1.2898641634531425,-1.2898631462143637,-1.2898534622135793,-1.289863486643859,-1.2897578132608414,-1.2898631462143637,-1.2898631462143637
12,-1.2898635006649122,-1.2898631414532509,-1.2898641632965007,-1.2898641634531425,-1.2898619628896586,-1.2898605889259889,-1.2898641634531425,-1.2898641634531425,-1.2898641634531425,-1.2898534622154632,-1.2898534622135793,-1.289863486643859,-1.2897578132608414,-1.2898631462143637,-1.2898631462143637
13,-1.2898635006649122,-1.2898631414532509,-1.2898641632965007,-1.2898641634531425,-1.2898619628896586,-1.2898605889259889,-1.2898641634531425,-1.2898641634531425,-1.2898641634531425,-1.2898534622154632,-1.2898534622135793,-1.289863486643859,-1.2897578132608414,-1.2898631462143637,-1.2898631462143637
14,-1.2898631462143637,-1.2898631414532509,-1.2898641632965007,-1.2898641634531425,-1.2898619628896586,-1.2898605889259889,-1.2898641634531425,-1.2898641634531425,-1.2898641634531425,-1.2898534622135793,-1.2898534622135793,-1.289863486643859,-1.2897578132608414,-1.2898631462143637,-1.2898631462143637
15,-1.2898631462143637,-1.2898631414532509,-1.2898641632965007,-1.2898641634531425,-1.2898619628896586,-1.2898605889259889,-1.2898641634531425,-1.2898641634531425,-1.2898641634531425,-1.2898534622135793,-1.2898534622135793,-1.289863486643859,-1.2897578132608414,-1.2898631462143637,-1.2898631462143637
16,-1.2898631462143637,-1.2898631414532509,-1.2898641632965007,-1.2898641634531425,-1.2898619628896586,-1.2898605889259889,-1.2898641634531425,-1.2898641634531425,-1.2898641634531425,-1.2898534622135793,-1.2898534622135793,-1.289863486643859,-1.2897578132608414,-1.2898631462143637,-1.2898631462143637
17,-1.2898631462143637,-1.2898631414532509,-1.2898641632965007,-1.2898641634531425,-1.2898619628896586,-1.2898605889259889,-1.2898641634531425,-1.2898641634531425,-1.2898641634531425,-1.2898534622135793,-1.2898534622135793,-1.289863486643859,-1.2897578132608414,-1.2898631462143637,-1.2898631462143637
18,-1.2898631462143637,-1.2898631414532509,-1.2898641632965007,-1.2898641634531425,-1.2898619628896586,-1.2898605889259889,-1.2898641634531425,-1.2898641634531425,-1.2898641634531425,-1.2898534622135793,-1.2898534622135793,-1.2898625109112118,-1.2897578132608414,-1.2898631462143637,-1.2898631462143637
19,-1.2898631462143637,-1.2898631414532509,-1.2898641632965007,-1.2898641634531425,-1.2898619628896586,-1.2898605889259889,-1.2898641634531425,-1.2898641634531425,-1.2898641634531425,-1.2898534622135793,-1.2898534622135793,-1.2898625109112118,-1.2897578132608414,-1.2898534622135793,-1.2898631462143637
20,-1.2898631462143637,-1.2898631414532509,-1.2898641632965007,-1.2898641634531425,-1.2898619628507015,-1.2898605889259889,-1.2898641634531425,-1.2898641634531425,-1.2898641634531425,-1.2898534622135793,-1.2898534622135793,-1.2898625109112118,-1.2897578132608414,-1.2898534622135793,-1.2898625109112118
21,-1.2898631462143637,-1.2898631414532509,-1.2898641632965007,-1.2898641634531425,-1.2898619628507015,-1.2898605889259889,-1.2898641634531425,-1.2898641634531425,-1.2898641634531425,-1.2898534622135793,-1.2898534622135793,-1.2898625109112118,-1.2897578132608414,-1.2898534622135793,-1.2898625109112118
22,-1.2898631462143637,-1.2898631414532509,-1.2898641632965007,-1.289864163032944,-1.2898619628507015,-1.2898605889259889,-1.2898641634531425,-1.2898641634531425,-1.2898641634531425,-1.2898534622135793,-1.2898534622135793,-1.2898625109112118,-1.2897578132608414,-1.2898534622135793,-1.2898625109112118
23,-1.2898631462143637,-1.2898534622135793,-1.2898630383948757,-1.289864163032944,-1.2898619628507015,-1.2898605889259889,-1.2898641634531425,-1.2898641634531425,-1.2898641634531425,-1.2898534622135793,-1.2898534622135793,-1.2898625109112118,-1.2897578132608414,-1.2898534622135793,-1.2898625109112118
