HyperKappa Bayesian Optimization - Run 2
================================================================================

[HyperKappa-BO] iter=01 → idx=5, kernel=((PER * PER) + SE), LML=-2.612
[HyperKappa-BO] iter=02 → idx=130, kernel=(PER + (PER * RQ)), LML=-4946.329
[HyperKappa-BO] iter=03 → idx=152, kernel=(RQ * (PER * SE)), LML=-4946.351
[HyperKappa-BO] iter=04 → idx=3, kernel=((PER * PER) + PER), LML=-1.500
[HyperKappa-BO] iter=05 → idx=215, kernel=(SE + (PER * SE)), LML=-4946.343
[HyperKappa-BO] iter=06 → idx=35, kernel=((PER + SE) + SE), LML=-2.612
[HyperKappa-BO] iter=07 → idx=136, kernel=(PER + (RQ * RQ)), LML=-1.290
[HyperKappa-BO] iter=08 → idx=43, kernel=((RQ * RQ) * RQ), LML=-1.290
[HyperKappa-BO] iter=09 → idx=120, kernel=(PER * (SE * PER)), LML=-4946.331
[HyperKappa-BO] iter=10 → idx=108, kernel=(PER * (PER * PER)), LML=-1.500
[HyperKappa-BO] iter=11 → idx=26, kernel=((PER + RQ) * SE), LML=-1.290
[HyperKappa-BO] iter=12 → idx=80, kernel=((SE * RQ) * SE), LML=-1.290
[HyperKappa-BO] iter=13 → idx=132, kernel=(PER + (PER + PER)), LML=-1.500
[HyperKappa-BO] iter=14 → idx=134, kernel=(PER + (PER + SE)), LML=-4946.352
[HyperKappa-BO] iter=15 → idx=19, kernel=((PER + PER) * RQ), LML=-4946.337
[HyperKappa-BO] iter=16 → idx=171, kernel=(RQ + (PER * PER)), LML=-1.290
[HyperKappa-BO] iter=17 → idx=20, kernel=((PER + PER) * SE), LML=-4946.329
[HyperKappa-BO] iter=18 → idx=36, kernel=((RQ * PER) * PER), LML=-4946.344
[HyperKappa-BO] iter=19 → idx=32, kernel=((PER + SE) * SE), LML=-4946.348
[HyperKappa-BO] iter=20 → idx=54, kernel=((RQ + PER) * PER), LML=-4946.336
[HyperKappa-BO] iter=21 → idx=213, kernel=(SE + (PER * PER)), LML=-2.612
[HyperKappa-BO] iter=22 → idx=18, kernel=((PER + PER) * PER), LML=-1.293
[HyperKappa-BO] iter=23 → idx=164, kernel=(RQ * (SE * SE)), LML=-1.290
[HyperKappa-BO] iter=24 → idx=11, kernel=((PER * RQ) + SE), LML=-4946.333
[HyperKappa-BO] iter=25 → idx=57, kernel=((RQ + PER) + PER), LML=-1.290
[HyperKappa-BO] iter=26 → idx=189, kernel=(RQ + PER), LML=-1.382
[HyperKappa-BO] iter=27 → idx=129, kernel=(PER + (PER * PER)), LML=-1.500
[HyperKappa-BO] iter=28 → idx=2, kernel=((PER * PER) * SE), LML=-4946.334
[HyperKappa-BO] iter=29 → idx=139, kernel=(PER + (RQ + RQ)), LML=-2.617
[HyperKappa-BO] iter=30 → idx=109, kernel=(PER * (PER * RQ)), LML=-4946.336
[HyperKappa-BO] iter=31 → idx=143, kernel=(PER + (SE * SE)), LML=-2.612
[HyperKappa-BO] iter=32 → idx=142, kernel=(PER + (SE * RQ)), LML=-2.612
[HyperKappa-BO] iter=33 → idx=25, kernel=((PER + RQ) * RQ), LML=-4946.341
[HyperKappa-BO] iter=34 → idx=165, kernel=(RQ * (SE + PER)), LML=-4946.346
[HyperKappa-BO] iter=35 → idx=137, kernel=(PER + (RQ * SE)), LML=-2.612
[HyperKappa-BO] iter=36 → idx=222, kernel=(SE + (RQ + PER)), LML=-2.612
[HyperKappa-BO] iter=37 → idx=39, kernel=((RQ * PER) + PER), LML=-4946.342
[HyperKappa-BO] iter=38 → idx=122, kernel=(PER * (SE * SE)), LML=-4946.328
[HyperKappa-BO] iter=39 → idx=15, kernel=((PER * SE) + PER), LML=-1.290
[HyperKappa-BO] iter=40 → idx=162, kernel=(RQ * (SE * PER)), LML=-4946.352
[HyperKappa-BO] iter=41 → idx=9, kernel=((PER * RQ) + PER), LML=-4946.340
[HyperKappa-BO] iter=42 → idx=0, kernel=((PER * PER) * PER), LML=-1.500
[HyperKappa-BO] iter=43 → idx=176, kernel=(RQ + (PER + SE)), LML=-2.612
[HyperKappa-BO] iter=44 → idx=234, kernel=PER, LML=-1.500
[HyperKappa-BO] iter=45 → idx=231, kernel=(SE + PER), LML=-2.612
[HyperKappa-BO] iter=46 → idx=13, kernel=((PER * SE) * RQ), LML=-4946.345
[HyperKappa-BO] iter=47 → idx=63, kernel=((RQ + RQ) + PER), LML=-2.617
[HyperKappa-BO] iter=48 → idx=110, kernel=(PER * (PER * SE)), LML=-4946.334
[HyperKappa-BO] iter=49 → idx=126, kernel=(PER * PER), LML=-1.500
[HyperKappa-BO] iter=50 → idx=146, kernel=(PER + (SE + SE)), LML=-2.612
