RBF Bayesian Optimization - Run 2
================================================================================

[RBF-BO] iter=01 → idx=5, kernel=((PER * PER) + SE), LML=-2.612
[RBF-BO] iter=02 → idx=3, kernel=((PER * PER) + PER), LML=-1.500
[RBF-BO] iter=03 → idx=33, kernel=((PER + SE) + PER), LML=-4946.352
[RBF-BO] iter=04 → idx=72, kernel=((SE * PER) * PER), LML=-4946.335
[RBF-BO] iter=05 → idx=4, kernel=((PER * PER) + RQ), LML=-1.290
[RBF-BO] iter=06 → idx=232, kernel=(SE + RQ), LML=-1.290
[RBF-BO] iter=07 → idx=13, kernel=((PER * SE) * RQ), LML=-4946.345
[RBF-BO] iter=08 → idx=144, kernel=(PER + (SE + PER)), LML=-4946.352
[RBF-BO] iter=09 → idx=108, kernel=(PER * (PER * PER)), LML=-1.500
[RBF-BO] iter=10 → idx=39, kernel=((RQ * PER) + PER), LML=-4946.342
[RBF-BO] iter=11 → idx=31, kernel=((PER + SE) * RQ), LML=-4946.355
[RBF-BO] iter=12 → idx=92, kernel=((SE + PER) * SE), LML=-4946.349
[RBF-BO] iter=13 → idx=11, kernel=((PER * RQ) + SE), LML=-4946.333
[RBF-BO] iter=14 → idx=181, kernel=(RQ + (RQ + RQ)), LML=-1.290
[RBF-BO] iter=15 → idx=139, kernel=(PER + (RQ + RQ)), LML=-2.617
[RBF-BO] iter=16 → idx=152, kernel=(RQ * (PER * SE)), LML=-4946.351
[RBF-BO] iter=17 → idx=141, kernel=(PER + (SE * PER)), LML=-1.290
[RBF-BO] iter=18 → idx=130, kernel=(PER + (PER * RQ)), LML=-4946.329
[RBF-BO] iter=19 → idx=86, kernel=((SE * SE) * SE), LML=-1.290
[RBF-BO] iter=20 → idx=19, kernel=((PER + PER) * RQ), LML=-4946.337
[RBF-BO] iter=21 → idx=43, kernel=((RQ * RQ) * RQ), LML=-1.290
[RBF-BO] iter=22 → idx=6, kernel=((PER * RQ) * PER), LML=-4946.335
[RBF-BO] iter=23 → idx=234, kernel=PER, LML=-1.500
[RBF-BO] iter=24 → idx=26, kernel=((PER + RQ) * SE), LML=-1.290
[RBF-BO] iter=25 → idx=129, kernel=(PER + (PER * PER)), LML=-1.500
[RBF-BO] iter=26 → idx=171, kernel=(RQ + (PER * PER)), LML=-1.290
[RBF-BO] iter=27 → idx=17, kernel=((PER * SE) + SE), LML=-4946.344
[RBF-BO] iter=28 → idx=155, kernel=(RQ * (PER + SE)), LML=-4946.349
[RBF-BO] iter=29 → idx=216, kernel=(SE + (PER + PER)), LML=-4946.357
[RBF-BO] iter=30 → idx=64, kernel=((RQ + RQ) + RQ), LML=-1.290
[RBF-BO] iter=31 → idx=215, kernel=(SE + (PER * SE)), LML=-4946.343
[RBF-BO] iter=32 → idx=182, kernel=(RQ + (RQ + SE)), LML=-1.290
[RBF-BO] iter=33 → idx=136, kernel=(PER + (RQ * RQ)), LML=-1.290
[RBF-BO] iter=34 → idx=62, kernel=((RQ + RQ) * SE), LML=-1.290
[RBF-BO] iter=35 → idx=189, kernel=(RQ + PER), LML=-1.382
[RBF-BO] iter=36 → idx=14, kernel=((PER * SE) * SE), LML=-4946.328
[RBF-BO] iter=37 → idx=230, kernel=(SE + (SE + SE)), LML=-1.290
[RBF-BO] iter=38 → idx=190, kernel=(RQ + RQ), LML=-1.290
[RBF-BO] iter=39 → idx=167, kernel=(RQ * (SE + SE)), LML=-1.290
[RBF-BO] iter=40 → idx=15, kernel=((PER * SE) + PER), LML=-1.290
[RBF-BO] iter=41 → idx=93, kernel=((SE + PER) + PER), LML=-4946.357
[RBF-BO] iter=42 → idx=207, kernel=(SE * (SE + PER)), LML=-4946.331
[RBF-BO] iter=43 → idx=165, kernel=(RQ * (SE + PER)), LML=-4946.346
[RBF-BO] iter=44 → idx=132, kernel=(PER + (PER + PER)), LML=-1.500
[RBF-BO] iter=45 → idx=176, kernel=(RQ + (PER + SE)), LML=-2.612
[RBF-BO] iter=46 → idx=150, kernel=(RQ * (PER * PER)), LML=-4946.344
[RBF-BO] iter=47 → idx=122, kernel=(PER * (SE * SE)), LML=-4946.328
[RBF-BO] iter=48 → idx=20, kernel=((PER + PER) * SE), LML=-4946.329
[RBF-BO] iter=49 → idx=32, kernel=((PER + SE) * SE), LML=-4946.348
[RBF-BO] iter=50 → idx=103, kernel=((SE + SE) * RQ), LML=-1.290
