RBF Bayesian Optimization - Run 3
================================================================================

[RBF-BO] iter=01 → idx=107, kernel=((SE + SE) + SE), LML=-1.290
[RBF-BO] iter=02 → idx=206, kernel=(SE * (SE * SE)), LML=-1.290
[RBF-BO] iter=03 → idx=175, kernel=(RQ + (PER + RQ)), LML=-2.617
[RBF-BO] iter=04 → idx=236, kernel=SE, LML=-1.290
[RBF-BO] iter=05 → idx=86, kernel=((SE * SE) * SE), LML=-1.290
[RBF-BO] iter=06 → idx=58, kernel=((RQ + PER) + RQ), LML=-2.617
[RBF-BO] iter=07 → idx=184, kernel=(RQ + (SE * RQ)), LML=-1.290
[RBF-BO] iter=08 → idx=230, kernel=(SE + (SE + SE)), LML=-1.290
[RBF-BO] iter=09 → idx=63, kernel=((RQ + RQ) + PER), LML=-2.617
[RBF-BO] iter=10 → idx=185, kernel=(RQ + (SE * SE)), LML=-1.290
[RBF-BO] iter=11 → idx=80, kernel=((SE * RQ) * SE), LML=-1.290
[RBF-BO] iter=12 → idx=139, kernel=(PER + (RQ + RQ)), LML=-2.617
[RBF-BO] iter=13 → idx=61, kernel=((RQ + RQ) * RQ), LML=-1.290
[RBF-BO] iter=14 → idx=181, kernel=(RQ + (RQ + RQ)), LML=-1.290
[RBF-BO] iter=15 → idx=227, kernel=(SE + (SE * SE)), LML=-1.290
[RBF-BO] iter=16 → idx=53, kernel=((RQ * SE) + SE), LML=-1.290
[RBF-BO] iter=17 → idx=180, kernel=(RQ + (RQ + PER)), LML=-2.617
[RBF-BO] iter=18 → idx=205, kernel=(SE * (SE * RQ)), LML=-1.290
[RBF-BO] iter=19 → idx=89, kernel=((SE * SE) + SE), LML=-1.290
[RBF-BO] iter=20 → idx=64, kernel=((RQ + RQ) + RQ), LML=-1.290
[RBF-BO] iter=21 → idx=157, kernel=(RQ * (RQ * RQ)), LML=-1.290
[RBF-BO] iter=22 → idx=226, kernel=(SE + (SE * RQ)), LML=-1.290
[RBF-BO] iter=23 → idx=28, kernel=((PER + RQ) + RQ), LML=-2.617
[RBF-BO] iter=24 → idx=233, kernel=(SE + SE), LML=-1.290
[RBF-BO] iter=25 → idx=235, kernel=RQ, LML=-1.290
[RBF-BO] iter=26 → idx=190, kernel=(RQ + RQ), LML=-1.290
[RBF-BO] iter=27 → idx=221, kernel=(SE + (RQ * SE)), LML=-1.290
[RBF-BO] iter=28 → idx=43, kernel=((RQ * RQ) * RQ), LML=-1.290
[RBF-BO] iter=29 → idx=70, kernel=((RQ + SE) + RQ), LML=-1.290
[RBF-BO] iter=30 → idx=164, kernel=(RQ * (SE * SE)), LML=-1.290
[RBF-BO] iter=31 → idx=47, kernel=((RQ * RQ) + SE), LML=-1.290
[RBF-BO] iter=32 → idx=46, kernel=((RQ * RQ) + RQ), LML=-1.290
[RBF-BO] iter=33 → idx=85, kernel=((SE * SE) * RQ), LML=-1.290
[RBF-BO] iter=34 → idx=44, kernel=((RQ * RQ) * SE), LML=-1.290
[RBF-BO] iter=35 → idx=220, kernel=(SE + (RQ * RQ)), LML=-1.290
[RBF-BO] iter=36 → idx=188, kernel=(RQ + (SE + SE)), LML=-1.290
[RBF-BO] iter=37 → idx=163, kernel=(RQ * (SE * RQ)), LML=-1.290
[RBF-BO] iter=38 → idx=50, kernel=((RQ * SE) * SE), LML=-1.290
[RBF-BO] iter=39 → idx=88, kernel=((SE * SE) + RQ), LML=-1.290
[RBF-BO] iter=40 → idx=35, kernel=((PER + SE) + SE), LML=-2.612
[RBF-BO] iter=41 → idx=232, kernel=(SE + RQ), LML=-1.290
[RBF-BO] iter=42 → idx=94, kernel=((SE + PER) + RQ), LML=-2.612
[RBF-BO] iter=43 → idx=82, kernel=((SE * RQ) + RQ), LML=-1.290
[RBF-BO] iter=44 → idx=158, kernel=(RQ * (RQ * SE)), LML=-1.290
[RBF-BO] iter=45 → idx=104, kernel=((SE + SE) * SE), LML=-1.290
[RBF-BO] iter=46 → idx=101, kernel=((SE + RQ) + SE), LML=-1.290
[RBF-BO] iter=47 → idx=179, kernel=(RQ + (RQ * SE)), LML=-1.290
[RBF-BO] iter=48 → idx=160, kernel=(RQ * (RQ + RQ)), LML=-1.290
[RBF-BO] iter=49 → idx=182, kernel=(RQ + (RQ + SE)), LML=-1.290
[RBF-BO] iter=50 → idx=65, kernel=((RQ + RQ) + SE), LML=-1.290
