HyperKappa Bayesian Optimization - Run 4
================================================================================

[HyperKappa-BO] iter=01 → idx=233, kernel=(SE + SE), LML=-1.290
[HyperKappa-BO] iter=02 → idx=143, kernel=(PER + (SE * SE)), LML=-2.612
[HyperKappa-BO] iter=03 → idx=34, kernel=((PER + SE) + RQ), LML=-2.612
[HyperKappa-BO] iter=04 → idx=41, kernel=((RQ * PER) + SE), LML=-4946.345
[HyperKappa-BO] iter=05 → idx=136, kernel=(PER + (RQ * RQ)), LML=-1.290
[HyperKappa-BO] iter=06 → idx=57, kernel=((RQ + PER) + PER), LML=-1.290
[HyperKappa-BO] iter=07 → idx=189, kernel=(RQ + PER), LML=-1.382
[HyperKappa-BO] iter=08 → idx=126, kernel=(PER * PER), LML=-1.500
[HyperKappa-BO] iter=09 → idx=0, kernel=((PER * PER) * PER), LML=-1.500
[HyperKappa-BO] iter=10 → idx=235, kernel=RQ, LML=-1.290
[HyperKappa-BO] iter=11 → idx=63, kernel=((RQ + RQ) + PER), LML=-2.617
[HyperKappa-BO] iter=12 → idx=229, kernel=(SE + (SE + RQ)), LML=-1.290
[HyperKappa-BO] iter=13 → idx=3, kernel=((PER * PER) + PER), LML=-1.500
[HyperKappa-BO] iter=14 → idx=18, kernel=((PER + PER) * PER), LML=-1.293
[HyperKappa-BO] iter=15 → idx=43, kernel=((RQ * RQ) * RQ), LML=-1.290
[HyperKappa-BO] iter=16 → idx=161, kernel=(RQ * (RQ + SE)), LML=-1.290
[HyperKappa-BO] iter=17 → idx=32, kernel=((PER + SE) * SE), LML=-4946.348
[HyperKappa-BO] iter=18 → idx=149, kernel=(PER + SE), LML=-2.612
[HyperKappa-BO] iter=19 → idx=224, kernel=(SE + (RQ + SE)), LML=-1.290
[HyperKappa-BO] iter=20 → idx=206, kernel=(SE * (SE * SE)), LML=-1.290
[HyperKappa-BO] iter=21 → idx=182, kernel=(RQ + (RQ + SE)), LML=-1.290
[HyperKappa-BO] iter=22 → idx=23, kernel=((PER + PER) + SE), LML=-4946.352
[HyperKappa-BO] iter=23 → idx=64, kernel=((RQ + RQ) + RQ), LML=-1.290
[HyperKappa-BO] iter=24 → idx=82, kernel=((SE * RQ) + RQ), LML=-1.290
[HyperKappa-BO] iter=25 → idx=28, kernel=((PER + RQ) + RQ), LML=-2.617
[HyperKappa-BO] iter=26 → idx=178, kernel=(RQ + (RQ * RQ)), LML=-1.290
[HyperKappa-BO] iter=27 → idx=129, kernel=(PER + (PER * PER)), LML=-1.500
[HyperKappa-BO] iter=28 → idx=45, kernel=((RQ * RQ) + PER), LML=-1.290
[HyperKappa-BO] iter=29 → idx=163, kernel=(RQ * (SE * RQ)), LML=-1.290
[HyperKappa-BO] iter=30 → idx=171, kernel=(RQ + (PER * PER)), LML=-1.290
[HyperKappa-BO] iter=31 → idx=108, kernel=(PER * (PER * PER)), LML=-1.500
[HyperKappa-BO] iter=32 → idx=132, kernel=(PER + (PER + PER)), LML=-1.500
[HyperKappa-BO] iter=33 → idx=112, kernel=(PER * (PER + RQ)), LML=-4946.336
[HyperKappa-BO] iter=34 → idx=174, kernel=(RQ + (PER + PER)), LML=-1.290
[HyperKappa-BO] iter=35 → idx=146, kernel=(PER + (SE + SE)), LML=-2.612
[HyperKappa-BO] iter=36 → idx=89, kernel=((SE * SE) + SE), LML=-1.290
[HyperKappa-BO] iter=37 → idx=46, kernel=((RQ * RQ) + RQ), LML=-1.290
[HyperKappa-BO] iter=38 → idx=190, kernel=(RQ + RQ), LML=-1.290
[HyperKappa-BO] iter=39 → idx=169, kernel=(RQ * RQ), LML=-1.290
[HyperKappa-BO] iter=40 → idx=88, kernel=((SE * SE) + RQ), LML=-1.290
[HyperKappa-BO] iter=41 → idx=130, kernel=(PER + (PER * RQ)), LML=-4946.329
[HyperKappa-BO] iter=42 → idx=226, kernel=(SE + (SE * RQ)), LML=-1.290
[HyperKappa-BO] iter=43 → idx=111, kernel=(PER * (PER + PER)), LML=-1.293
[HyperKappa-BO] iter=44 → idx=65, kernel=((RQ + RQ) + SE), LML=-1.290
[HyperKappa-BO] iter=45 → idx=50, kernel=((RQ * SE) * SE), LML=-1.290
[HyperKappa-BO] iter=46 → idx=4, kernel=((PER * PER) + RQ), LML=-1.290
[HyperKappa-BO] iter=47 → idx=81, kernel=((SE * RQ) + PER), LML=-2.612
[HyperKappa-BO] iter=48 → idx=185, kernel=(RQ + (SE * SE)), LML=-1.290
[HyperKappa-BO] iter=49 → idx=80, kernel=((SE * RQ) * SE), LML=-1.290
[HyperKappa-BO] iter=50 → idx=83, kernel=((SE * RQ) + SE), LML=-1.290
