Random Search - Run 4
================================================================================

[Random] iter=01 → idx=50, kernel=((RQ * SE) * SE), LML=-1.290
[Random] iter=02 → idx=143, kernel=(PER + (SE * SE)), LML=-2.612
[Random] iter=03 → idx=215, kernel=(SE + (PER * SE)), LML=-4946.343
[Random] iter=04 → idx=9, kernel=((PER * RQ) + PER), LML=-4946.340
[Random] iter=05 → idx=192, kernel=(SE * (PER * PER)), LML=-4946.335
[Random] iter=06 → idx=175, kernel=(RQ + (PER + RQ)), LML=-2.617
[Random] iter=07 → idx=235, kernel=RQ, LML=-1.290
[Random] iter=08 → idx=128, kernel=(PER * SE), LML=-4946.329
[Random] iter=09 → idx=203, kernel=(SE * (RQ + SE)), LML=-1.290
[Random] iter=10 → idx=201, kernel=(SE * (RQ + PER)), LML=-1.290
[Random] iter=11 → idx=170, kernel=(RQ * SE), LML=-1.290
[Random] iter=12 → idx=120, kernel=(PER * (SE * PER)), LML=-4946.331
[Random] iter=13 → idx=2, kernel=((PER * PER) * SE), LML=-4946.334
[Random] iter=14 → idx=90, kernel=((SE + PER) * PER), LML=-4946.348
[Random] iter=15 → idx=123, kernel=(PER * (SE + PER)), LML=-4946.325
[Random] iter=16 → idx=212, kernel=(SE * SE), LML=-1.290
[Random] iter=17 → idx=217, kernel=(SE + (PER + RQ)), LML=-2.612
[Random] iter=18 → idx=126, kernel=(PER * PER), LML=-1.500
[Random] iter=19 → idx=213, kernel=(SE + (PER * PER)), LML=-2.612
[Random] iter=20 → idx=169, kernel=(RQ * RQ), LML=-1.290
[Random] iter=21 → idx=197, kernel=(SE * (PER + SE)), LML=-4946.349
[Random] iter=22 → idx=195, kernel=(SE * (PER + PER)), LML=-4946.324
[Random] iter=23 → idx=46, kernel=((RQ * RQ) + RQ), LML=-1.290
[Random] iter=24 → idx=236, kernel=SE, LML=-1.290
[Random] iter=25 → idx=184, kernel=(RQ + (SE * RQ)), LML=-1.290
[Random] iter=26 → idx=230, kernel=(SE + (SE + SE)), LML=-1.290
[Random] iter=27 → idx=29, kernel=((PER + RQ) + SE), LML=-2.612
[Random] iter=28 → idx=27, kernel=((PER + RQ) + PER), LML=-1.290
[Random] iter=29 → idx=67, kernel=((RQ + SE) * RQ), LML=-1.290
[Random] iter=30 → idx=211, kernel=(SE * RQ), LML=-1.290
[Random] iter=31 → idx=43, kernel=((RQ * RQ) * RQ), LML=-1.290
[Random] iter=32 → idx=53, kernel=((RQ * SE) + SE), LML=-1.290
[Random] iter=33 → idx=40, kernel=((RQ * PER) + RQ), LML=-4946.338
[Random] iter=34 → idx=18, kernel=((PER + PER) * PER), LML=-1.293
[Random] iter=35 → idx=138, kernel=(PER + (RQ + PER)), LML=-1.290
[Random] iter=36 → idx=80, kernel=((SE * RQ) * SE), LML=-1.290
[Random] iter=37 → idx=62, kernel=((RQ + RQ) * SE), LML=-1.290
[Random] iter=38 → idx=14, kernel=((PER * SE) * SE), LML=-4946.328
[Random] iter=39 → idx=189, kernel=(RQ + PER), LML=-1.382
[Random] iter=40 → idx=24, kernel=((PER + RQ) * PER), LML=-4946.336
[Random] iter=41 → idx=113, kernel=(PER * (PER + SE)), LML=-4946.326
[Random] iter=42 → idx=44, kernel=((RQ * RQ) * SE), LML=-1.290
[Random] iter=43 → idx=39, kernel=((RQ * PER) + PER), LML=-4946.342
[Random] iter=44 → idx=198, kernel=(SE * (RQ * PER)), LML=-4946.347
[Random] iter=45 → idx=84, kernel=((SE * SE) * PER), LML=-4946.329
[Random] iter=46 → idx=58, kernel=((RQ + PER) + RQ), LML=-2.617
[Random] iter=47 → idx=125, kernel=(PER * (SE + SE)), LML=-4946.327
[Random] iter=48 → idx=8, kernel=((PER * RQ) * SE), LML=-4946.355
[Random] iter=49 → idx=209, kernel=(SE * (SE + SE)), LML=-1.290
[Random] iter=50 → idx=81, kernel=((SE * RQ) + PER), LML=-2.612
