RBF Bayesian Optimization - Run 4
================================================================================

[RBF-BO] iter=01 → idx=53, kernel=((RQ * SE) + SE), LML=-1.290
[RBF-BO] iter=02 → idx=108, kernel=(PER * (PER * PER)), LML=-1.500
[RBF-BO] iter=03 → idx=129, kernel=(PER + (PER * PER)), LML=-1.500
[RBF-BO] iter=04 → idx=233, kernel=(SE + SE), LML=-1.290
[RBF-BO] iter=05 → idx=18, kernel=((PER + PER) * PER), LML=-1.293
[RBF-BO] iter=06 → idx=224, kernel=(SE + (RQ + SE)), LML=-1.290
[RBF-BO] iter=07 → idx=229, kernel=(SE + (SE + RQ)), LML=-1.290
[RBF-BO] iter=08 → idx=126, kernel=(PER * PER), LML=-1.500
[RBF-BO] iter=09 → idx=101, kernel=((SE + RQ) + SE), LML=-1.290
[RBF-BO] iter=10 → idx=115, kernel=(PER * (RQ * RQ)), LML=-4946.344
[RBF-BO] iter=11 → idx=86, kernel=((SE * SE) * SE), LML=-1.290
[RBF-BO] iter=12 → idx=181, kernel=(RQ + (RQ + RQ)), LML=-1.290
[RBF-BO] iter=13 → idx=46, kernel=((RQ * RQ) + RQ), LML=-1.290
[RBF-BO] iter=14 → idx=104, kernel=((SE + SE) * SE), LML=-1.290
[RBF-BO] iter=15 → idx=234, kernel=PER, LML=-1.500
[RBF-BO] iter=16 → idx=89, kernel=((SE * SE) + SE), LML=-1.290
[RBF-BO] iter=17 → idx=111, kernel=(PER * (PER + PER)), LML=-1.293
[RBF-BO] iter=18 → idx=147, kernel=(PER + PER), LML=-1.379
[RBF-BO] iter=19 → idx=0, kernel=((PER * PER) * PER), LML=-1.500
[RBF-BO] iter=20 → idx=88, kernel=((SE * SE) + RQ), LML=-1.290
[RBF-BO] iter=21 → idx=178, kernel=(RQ + (RQ * RQ)), LML=-1.290
[RBF-BO] iter=22 → idx=236, kernel=SE, LML=-1.290
[RBF-BO] iter=23 → idx=212, kernel=(SE * SE), LML=-1.290
[RBF-BO] iter=24 → idx=206, kernel=(SE * (SE * SE)), LML=-1.290
[RBF-BO] iter=25 → idx=43, kernel=((RQ * RQ) * RQ), LML=-1.290
[RBF-BO] iter=26 → idx=4, kernel=((PER * PER) + RQ), LML=-1.290
[RBF-BO] iter=27 → idx=214, kernel=(SE + (PER * RQ)), LML=-4946.342
[RBF-BO] iter=28 → idx=139, kernel=(PER + (RQ + RQ)), LML=-2.617
[RBF-BO] iter=29 → idx=133, kernel=(PER + (PER + RQ)), LML=-1.290
[RBF-BO] iter=30 → idx=160, kernel=(RQ * (RQ + RQ)), LML=-1.290
[RBF-BO] iter=31 → idx=132, kernel=(PER + (PER + PER)), LML=-1.500
[RBF-BO] iter=32 → idx=49, kernel=((RQ * SE) * RQ), LML=-1.290
[RBF-BO] iter=33 → idx=169, kernel=(RQ * RQ), LML=-1.290
[RBF-BO] iter=34 → idx=64, kernel=((RQ + RQ) + RQ), LML=-1.290
[RBF-BO] iter=35 → idx=79, kernel=((SE * RQ) * RQ), LML=-1.290
[RBF-BO] iter=36 → idx=61, kernel=((RQ + RQ) * RQ), LML=-1.290
[RBF-BO] iter=37 → idx=209, kernel=(SE * (SE + SE)), LML=-1.290
[RBF-BO] iter=38 → idx=107, kernel=((SE + SE) + SE), LML=-1.290
[RBF-BO] iter=39 → idx=161, kernel=(RQ * (RQ + SE)), LML=-1.290
[RBF-BO] iter=40 → idx=3, kernel=((PER * PER) + PER), LML=-1.500
[RBF-BO] iter=41 → idx=163, kernel=(RQ * (SE * RQ)), LML=-1.290
[RBF-BO] iter=42 → idx=83, kernel=((SE * RQ) + SE), LML=-1.290
[RBF-BO] iter=43 → idx=170, kernel=(RQ * SE), LML=-1.290
[RBF-BO] iter=44 → idx=235, kernel=RQ, LML=-1.290
[RBF-BO] iter=45 → idx=185, kernel=(RQ + (SE * SE)), LML=-1.290
[RBF-BO] iter=46 → idx=230, kernel=(SE + (SE + SE)), LML=-1.290
[RBF-BO] iter=47 → idx=98, kernel=((SE + RQ) * SE), LML=-1.290
[RBF-BO] iter=48 → idx=184, kernel=(RQ + (SE * RQ)), LML=-1.290
[RBF-BO] iter=49 → idx=50, kernel=((RQ * SE) * SE), LML=-1.290
[RBF-BO] iter=50 → idx=22, kernel=((PER + PER) + RQ), LML=-1.290
