Random Search - Run 5
================================================================================

[Random] iter=01 → idx=71, kernel=((RQ + SE) + SE), LML=-1.290
[Random] iter=02 → idx=168, kernel=(RQ * PER), LML=-4946.340
[Random] iter=03 → idx=52, kernel=((RQ * SE) + RQ), LML=-1.290
[Random] iter=04 → idx=33, kernel=((PER + SE) + PER), LML=-4946.352
[Random] iter=05 → idx=65, kernel=((RQ + RQ) + SE), LML=-1.290
[Random] iter=06 → idx=133, kernel=(PER + (PER + RQ)), LML=-1.290
[Random] iter=07 → idx=31, kernel=((PER + SE) * RQ), LML=-4946.355
[Random] iter=08 → idx=120, kernel=(PER * (SE * PER)), LML=-4946.331
[Random] iter=09 → idx=55, kernel=((RQ + PER) * RQ), LML=-4946.341
[Random] iter=10 → idx=202, kernel=(SE * (RQ + RQ)), LML=-1.290
[Random] iter=11 → idx=60, kernel=((RQ + RQ) * PER), LML=-4946.345
[Random] iter=12 → idx=17, kernel=((PER * SE) + SE), LML=-4946.344
[Random] iter=13 → idx=128, kernel=(PER * SE), LML=-4946.329
[Random] iter=14 → idx=39, kernel=((RQ * PER) + PER), LML=-4946.342
[Random] iter=15 → idx=36, kernel=((RQ * PER) * PER), LML=-4946.344
[Random] iter=16 → idx=53, kernel=((RQ * SE) + SE), LML=-1.290
[Random] iter=17 → idx=236, kernel=SE, LML=-1.290
[Random] iter=18 → idx=171, kernel=(RQ + (PER * PER)), LML=-1.290
[Random] iter=19 → idx=184, kernel=(RQ + (SE * RQ)), LML=-1.290
[Random] iter=20 → idx=2, kernel=((PER * PER) * SE), LML=-4946.334
[Random] iter=21 → idx=218, kernel=(SE + (PER + SE)), LML=-2.612
[Random] iter=22 → idx=163, kernel=(RQ * (SE * RQ)), LML=-1.290
[Random] iter=23 → idx=151, kernel=(RQ * (PER * RQ)), LML=-4946.346
[Random] iter=24 → idx=174, kernel=(RQ + (PER + PER)), LML=-1.290
[Random] iter=25 → idx=29, kernel=((PER + RQ) + SE), LML=-2.612
[Random] iter=26 → idx=106, kernel=((SE + SE) + RQ), LML=-1.290
[Random] iter=27 → idx=231, kernel=(SE + PER), LML=-2.612
[Random] iter=28 → idx=204, kernel=(SE * (SE * PER)), LML=-4946.329
[Random] iter=29 → idx=104, kernel=((SE + SE) * SE), LML=-1.290
[Random] iter=30 → idx=41, kernel=((RQ * PER) + SE), LML=-4946.345
[Random] iter=31 → idx=145, kernel=(PER + (SE + RQ)), LML=-2.612
[Random] iter=32 → idx=121, kernel=(PER * (SE * RQ)), LML=-4946.345
[Random] iter=33 → idx=8, kernel=((PER * RQ) * SE), LML=-4946.355
[Random] iter=34 → idx=69, kernel=((RQ + SE) + PER), LML=-2.612
[Random] iter=35 → idx=74, kernel=((SE * PER) * SE), LML=-4946.328
[Random] iter=36 → idx=188, kernel=(RQ + (SE + SE)), LML=-1.290
[Random] iter=37 → idx=91, kernel=((SE + PER) * RQ), LML=-4946.353
[Random] iter=38 → idx=99, kernel=((SE + RQ) + PER), LML=-2.612
[Random] iter=39 → idx=113, kernel=(PER * (PER + SE)), LML=-4946.326
[Random] iter=40 → idx=200, kernel=(SE * (RQ * SE)), LML=-1.290
[Random] iter=41 → idx=226, kernel=(SE + (SE * RQ)), LML=-1.290
[Random] iter=42 → idx=79, kernel=((SE * RQ) * RQ), LML=-1.290
[Random] iter=43 → idx=167, kernel=(RQ * (SE + SE)), LML=-1.290
[Random] iter=44 → idx=124, kernel=(PER * (SE + RQ)), LML=-4946.351
[Random] iter=45 → idx=110, kernel=(PER * (PER * SE)), LML=-4946.334
[Random] iter=46 → idx=117, kernel=(PER * (RQ + PER)), LML=-4946.335
[Random] iter=47 → idx=73, kernel=((SE * PER) * RQ), LML=-4946.350
[Random] iter=48 → idx=206, kernel=(SE * (SE * SE)), LML=-1.290
[Random] iter=49 → idx=62, kernel=((RQ + RQ) * SE), LML=-1.290
[Random] iter=50 → idx=100, kernel=((SE + RQ) + RQ), LML=-1.290
