RBF Bayesian Optimization - Run 5
================================================================================

[RBF-BO] iter=01 → idx=175, kernel=(RQ + (PER + RQ)), LML=-2.617
[RBF-BO] iter=02 → idx=107, kernel=((SE + SE) + SE), LML=-1.290
[RBF-BO] iter=03 → idx=148, kernel=(PER + RQ), LML=-1.382
[RBF-BO] iter=04 → idx=160, kernel=(RQ * (RQ + RQ)), LML=-1.290
[RBF-BO] iter=05 → idx=189, kernel=(RQ + PER), LML=-1.382
[RBF-BO] iter=06 → idx=104, kernel=((SE + SE) * SE), LML=-1.290
[RBF-BO] iter=07 → idx=218, kernel=(SE + (PER + SE)), LML=-2.612
[RBF-BO] iter=08 → idx=235, kernel=RQ, LML=-1.290
[RBF-BO] iter=09 → idx=206, kernel=(SE * (SE * SE)), LML=-1.290
[RBF-BO] iter=10 → idx=149, kernel=(PER + SE), LML=-2.612
[RBF-BO] iter=11 → idx=227, kernel=(SE + (SE * SE)), LML=-1.290
[RBF-BO] iter=12 → idx=53, kernel=((RQ * SE) + SE), LML=-1.290
[RBF-BO] iter=13 → idx=47, kernel=((RQ * RQ) + SE), LML=-1.290
[RBF-BO] iter=14 → idx=64, kernel=((RQ + RQ) + RQ), LML=-1.290
[RBF-BO] iter=15 → idx=231, kernel=(SE + PER), LML=-2.612
[RBF-BO] iter=16 → idx=86, kernel=((SE * SE) * SE), LML=-1.290
[RBF-BO] iter=17 → idx=226, kernel=(SE + (SE * RQ)), LML=-1.290
[RBF-BO] iter=18 → idx=58, kernel=((RQ + PER) + RQ), LML=-2.617
[RBF-BO] iter=19 → idx=120, kernel=(PER * (SE * PER)), LML=-4946.331
[RBF-BO] iter=20 → idx=80, kernel=((SE * RQ) * SE), LML=-1.290
[RBF-BO] iter=21 → idx=45, kernel=((RQ * RQ) + PER), LML=-1.290
[RBF-BO] iter=22 → idx=89, kernel=((SE * SE) + SE), LML=-1.290
[RBF-BO] iter=23 → idx=63, kernel=((RQ + RQ) + PER), LML=-2.617
[RBF-BO] iter=24 → idx=178, kernel=(RQ + (RQ * RQ)), LML=-1.290
[RBF-BO] iter=25 → idx=205, kernel=(SE * (SE * RQ)), LML=-1.290
[RBF-BO] iter=26 → idx=136, kernel=(PER + (RQ * RQ)), LML=-1.290
[RBF-BO] iter=27 → idx=10, kernel=((PER * RQ) + RQ), LML=-4946.338
[RBF-BO] iter=28 → idx=95, kernel=((SE + PER) + SE), LML=-2.612
[RBF-BO] iter=29 → idx=228, kernel=(SE + (SE + PER)), LML=-2.612
[RBF-BO] iter=30 → idx=212, kernel=(SE * SE), LML=-1.290
[RBF-BO] iter=31 → idx=105, kernel=((SE + SE) + PER), LML=-2.612
[RBF-BO] iter=32 → idx=25, kernel=((PER + RQ) * RQ), LML=-4946.341
[RBF-BO] iter=33 → idx=43, kernel=((RQ * RQ) * RQ), LML=-1.290
[RBF-BO] iter=34 → idx=21, kernel=((PER + PER) + PER), LML=-1.500
[RBF-BO] iter=35 → idx=87, kernel=((SE * SE) + PER), LML=-2.612
[RBF-BO] iter=36 → idx=111, kernel=(PER * (PER + PER)), LML=-1.293
[RBF-BO] iter=37 → idx=3, kernel=((PER * PER) + PER), LML=-1.500
[RBF-BO] iter=38 → idx=233, kernel=(SE + SE), LML=-1.290
[RBF-BO] iter=39 → idx=147, kernel=(PER + PER), LML=-1.379
[RBF-BO] iter=40 → idx=46, kernel=((RQ * RQ) + RQ), LML=-1.290
[RBF-BO] iter=41 → idx=18, kernel=((PER + PER) * PER), LML=-1.293
[RBF-BO] iter=42 → idx=108, kernel=(PER * (PER * PER)), LML=-1.500
[RBF-BO] iter=43 → idx=34, kernel=((PER + SE) + RQ), LML=-2.612
[RBF-BO] iter=44 → idx=232, kernel=(SE + RQ), LML=-1.290
[RBF-BO] iter=45 → idx=157, kernel=(RQ * (RQ * RQ)), LML=-1.290
[RBF-BO] iter=46 → idx=65, kernel=((RQ + RQ) + SE), LML=-1.290
[RBF-BO] iter=47 → idx=129, kernel=(PER + (PER * PER)), LML=-1.500
[RBF-BO] iter=48 → idx=144, kernel=(PER + (SE + PER)), LML=-4946.352
[RBF-BO] iter=49 → idx=51, kernel=((RQ * SE) + PER), LML=-2.612
[RBF-BO] iter=50 → idx=88, kernel=((SE * SE) + RQ), LML=-1.290
