Method,Time_seconds,Best_LML,Best_Iteration
RBF-BO,74.88115048408508,-1.2898534622135793,26
HyperKappa-BO,39.43033790588379,-1.2898534622135793,10
Random Search,58.36882209777832,-1.2898631414532509,18
LLM-GA_unrestricted_p0.05,252.99784421920776,-1.2898608856666607,10
LLM-GA_unrestricted_p0.1,219.30898332595825,-1.2898618295201163,19
LLM-GA_unrestricted_p0.3,276.8399963378906,-1.289863500001788,16
LLM-GA_unrestricted_p0.5,301.1218330860138,-1.2898618295201163,22
LLM-GA_unrestricted_p0.7,400.53941082954407,-1.2898626618558529,17
LLM-GA_unrestricted_p0.9,334.0810823440552,-1.2898618295201163,9
LLM-GA_depth3_p0.05,180.38247561454773,-1.289862507235733,13
LLM-GA_depth3_p0.1,199.74423670768738,-1.28986067704041,23
LLM-GA_depth3_p0.3,209.7188732624054,-1.2898613263709324,36
LLM-GA_depth3_p0.5,287.27768564224243,-1.2898613263709324,20
LLM-GA_depth3_p0.7,311.53605818748474,-1.2898625109112118,10
LLM-GA_depth3_p0.9,351.2002203464508,-1.2898625109112118,12
