Method,Avg_Time_sec,Std_Time_sec,Avg_Best_LML,Std_Best_LML,Avg_Best_Iter,Std_Best_Iter
RBF-BO,98.49277811050415,25.93559976270321,-1.2898565069166432,3.7289844625213572e-06,28.4,8.404760555780278
HyperKappa-BO,63.02921462059021,16.783242512452368,-1.2898534622135793,0.0,9.8,6.910861017268398
Random Search,65.31000037193299,5.700442431930123,-1.2898612624660764,3.936780272538398e-06,21.2,12.188519188154071
LLM-GA Unrestricted (p=0.05),257.99679646492007,10.168375606819508,-1.2898417073221868,4.196370990015501e-05,15.2,11.906300852909773
LLM-GA Unrestricted (p=0.1),253.5129921913147,25.57623312697818,-1.289861565800421,1.7178116116075445e-06,19.0,12.296340919151518
LLM-GA Unrestricted (p=0.3),300.76972517967226,34.55510182464788,-1.2898409731140106,4.1614785571937346e-05,19.0,11.916375287812984
LLM-GA Unrestricted (p=0.5),375.5531969547272,46.34238572871414,-1.289862496638559,2.024679220611916e-06,24.0,12.946041866145807
LLM-GA Unrestricted (p=0.7),416.0756618976593,28.123911440874625,-1.2898616029531715,1.9055239080944799e-06,20.2,14.2464030548065
LLM-GA Unrestricted (p=0.9),416.1370768070221,49.636494291265166,-1.2898386239151207,4.049746279281347e-05,19.0,10.019980039900279
LLM-GA Depth≤3 (p=0.05),170.10002069473268,17.248024857797247,-1.2898608948480232,3.735577837869637e-06,23.8,15.210522673465237
LLM-GA Depth≤3 (p=0.1),196.96091856956483,7.549817199172007,-1.2898603197521772,3.800355799396168e-06,20.8,7.652450587883596
LLM-GA Depth≤3 (p=0.3),217.92400636672974,34.79486413762662,-1.2898410064356534,4.160163217319607e-05,33.8,13.687950905814938
LLM-GA Depth≤3 (p=0.5),270.95763392448424,26.423093401252302,-1.2898207246322584,5.1374824764139424e-05,14.2,9.765244492586962
LLM-GA Depth≤3 (p=0.7),282.95190958976747,29.239943665946143,-1.2898610914647441,3.839502464366899e-06,13.0,5.366563145999495
LLM-GA Depth≤3 (p=0.9),331.6329985141754,45.35516084221655,-1.289841901805484,4.20491410253325e-05,21.8,9.558242516278817
