iteration,RBF_BO_mean,RBF_BO_std,HyperKappa_BO_mean,HyperKappa_BO_std,Random_mean,Random_std,LLM-GA_unrestricted_p0.05_mean,LLM-GA_unrestricted_p0.05_std,LLM-GA_unrestricted_p0.1_mean,LLM-GA_unrestricted_p0.1_std,LLM-GA_unrestricted_p0.3_mean,LLM-GA_unrestricted_p0.3_std,LLM-GA_unrestricted_p0.5_mean,LLM-GA_unrestricted_p0.5_std,LLM-GA_unrestricted_p0.7_mean,LLM-GA_unrestricted_p0.7_std,LLM-GA_unrestricted_p0.9_mean,LLM-GA_unrestricted_p0.9_std,LLM-GA_depth3_p0.05_mean,LLM-GA_depth3_p0.05_std,LLM-GA_depth3_p0.1_mean,LLM-GA_depth3_p0.1_std,LLM-GA_depth3_p0.3_mean,LLM-GA_depth3_p0.3_std,LLM-GA_depth3_p0.5_mean,LLM-GA_depth3_p0.5_std,LLM-GA_depth3_p0.7_mean,LLM-GA_depth3_p0.7_std,LLM-GA_depth3_p0.9_mean,LLM-GA_depth3_p0.9_std
0,-2455.432254284786,1495.9330269389984,-2455.432254284786,1495.9330269389984,-2455.432254284786,1495.9330269389984,-2455.432254284786,1495.9330269389984,-2455.432254284786,1495.9330269389984,-2455.432254284786,1495.9330269389984,-2455.432254284786,1495.9330269389984,-2455.432254284786,1495.9330269389984,-2455.432254284786,1495.9330269389984,-2455.432254284786,1495.9330269389984,-2455.432254284786,1495.9330269389984,-2455.432254284786,1495.9330269389984,-2455.432254284786,1495.9330269389984,-2455.432254284786,1495.9330269389984,-2455.432254284786,1495.9330269389984
1,-1612.8296684380905,879.8739369063085,-261.1965618003345,519.3926935812628,-1932.7907832343014,1020.5675770927771,-2047.802442351791,1057.01276453044,-2047.802442351791,1057.01276453044,-2047.802442351791,1057.01276453044,-2047.8024422761105,1057.0127644904026,-2047.802442351791,1057.01276453044,-2047.8024422761105,1057.0127644904026,-2442.7369787948282,1477.451244207825,-2442.7369787948282,1477.451244207825,-2442.7369787948282,1477.451244207825,-2442.7369787948282,1477.451244207825,-2275.9662276459744,1257.254233011162,-2442.7369787948282,1477.451244207825
2,-1229.800937909869,1062.2066809854682,-261.1965618003345,519.3926935812628,-1802.938745845036,971.9000666662126,-2047.802442351791,1057.01276453044,-2047.802442351791,1057.01276453044,-2047.802442351791,1057.01276453044,-2047.8024422761105,1057.0127644904026,-2047.802442351791,1057.01276453044,-1864.250614675168,959.6621345677258,-2259.367203235522,1259.815927418875,-2047.802442351791,1057.01276453044,-2047.802442351791,1057.01276453044,-2031.2034179413386,1056.4796999709554,-1932.7904453016356,1020.567544261843,-2416.8747441501005,1440.452107310963
3,-807.113557276831,1046.2646800246748,-1.500218762644497,3.004788666684781e-05,-1802.938745845036,971.9000666662126,-2047.802442351791,1057.01276453044,-2047.802442351791,1057.01276453044,-2047.8024422761105,1057.0127644904026,-1979.2626116496426,1006.1983353213037,-2047.8024422761105,1057.0127644904026,-1752.4112708355128,966.1650843681371,-2259.367203235522,1259.815927418875,-2047.802442351791,1057.01276453044,-2047.802442351791,1057.01276453044,-2031.2034179413386,1056.4796999709554,-1932.7904453016356,1020.567544261843,-2416.8747441501005,1440.452107310963
4,-608.1942114043388,743.8023309577773,-1.5002037378895479,3.680033181273625e-05,-1416.8986611415478,1032.8109558279552,-2047.802442351791,1057.01276453044,-2047.802442351791,1057.01276453044,-1802.2645642430584,916.9167915938332,-1979.2626116496426,1006.1983353213037,-1932.7904453016356,1020.567544261843,-1752.4112708355128,966.1650843681371,-2259.367203235522,1259.815927418875,-2047.802442351791,1057.01276453044,-2047.802442351791,1057.01276453044,-2031.2034179413386,1056.4796999709554,-1932.7904453016356,1020.567544261843,-2047.8024422761105,1057.0127644904026
5,-294.2385296681747,585.4766709411746,-1.5002037378895479,3.680033181273625e-05,-1416.8986611415478,1032.8109558279552,-2047.802442351791,1057.01276453044,-2047.802442351791,1057.01276453044,-1802.2645642430584,916.9167915938332,-1979.2626116496426,1006.1983353213037,-1932.7904453016356,1020.567544261843,-1752.4112708355128,966.1650843681371,-2259.367203235522,1259.815927418875,-2047.802442351791,1057.01276453044,-2047.802442351791,1057.01276453044,-2031.2034179413386,1056.4796999709554,-1932.7904453016356,1020.567544261843,-2047.8024422761105,1057.0127644904026
6,-294.2385296681747,585.4766709411746,-1.5002037313939889,3.679502773321308e-05,-1416.8986611415478,1032.8109558279552,-2047.802442351791,1057.01276453044,-1979.2626117253233,1006.1983353685184,-1802.2645642430584,916.9167915938332,-1909.5399474287672,971.7741561524523,-1820.9511014619807,1034.124059046082,-1752.4112708355128,966.1650843681371,-2239.5463292798113,1236.8115466127272,-2047.802442351791,1057.01276453044,-2047.802442351791,1057.01276453044,-2031.2034179413386,1056.4796999709554,-1932.7904453016356,1020.567544261843,-2047.8024422761105,1057.0127644904026
7,-294.2385296681747,585.4766709411746,-1.5001586668724858,5.005616295930241e-15,-827.2588294629713,806.1006572258007,-2047.802442351791,1057.01276453044,-1909.5399475044476,971.7741562067695,-1802.2645642430584,916.9167915938332,-1909.5399474287672,971.7741561524523,-1744.1862978934291,959.0034560720583,-1752.4112708355128,966.1650843681371,-2239.5463292798113,1236.8115466127272,-2047.802442351791,1057.01276453044,-2047.802442351791,1057.01276453044,-2022.9784446638853,1052.1160251223425,-1932.7904453016356,1020.567544261843,-2039.5774688326578,1052.7809891230115
8,-263.7393597992527,524.4783312033309,-1.5001586668724858,5.005616295930241e-15,-827.2588294629713,806.1006572258007,-1871.9872280091804,961.1376244257906,-1909.5399475044476,971.7741562067695,-1802.2645642430584,916.9167915938332,-1909.5399474287672,971.7741561524523,-1744.1862978934291,959.0034560720583,-1752.4112708355128,966.1650843681371,-2022.9784446638853,1052.1160251223425,-2047.802442351791,1057.01276453044,-2047.802442351791,1057.01276453044,-2022.9784446638853,1052.1160251223425,-1932.7904453016356,1020.567544261843,-2039.5774688326578,1052.7809891230115
9,-263.7393597992527,524.4783312033309,-1.5001586668724858,5.005616295930241e-15,-827.2588294629713,806.1006572258007,-1871.9872280091804,961.1376244257906,-1682.0508310489845,917.2506054113081,-1802.2645642430584,916.9167915938332,-1909.5399474287672,971.7741561524523,-1744.1862978934291,959.0034560720583,-1752.4112708355128,966.1650843681371,-2022.9784446638853,1052.1160251223425,-2047.802442351791,1057.01276453044,-2047.802442351791,1057.01276453044,-2022.9784446638853,1052.1160251223425,-1932.7904453016356,1020.567544261843,-2039.5774688326578,1052.7809891230115
