Run,Method,Time_seconds,Best_LML,Best_Iteration
1,RBF-BO,136.09979510307312,-1.5001586668724798,0
1,HyperKappa-BO,47.58356213569641,-1.5001586668724798,0
1,Random Search,58.431692600250244,-1.5001586668724798,0
1,LLM-GA_unrestricted_p0.05,244.6997447013855,-1.5001586668724798,0
1,LLM-GA_unrestricted_p0.1,260.05021834373474,-1.5001586668724798,0
1,LLM-GA_unrestricted_p0.3,238.46132922172546,-1.5001586668724798,0
1,LLM-GA_unrestricted_p0.5,309.426913022995,-1.5001586668724798,0
1,LLM-GA_unrestricted_p0.7,383.6170244216919,-1.5001586668724798,0
1,LLM-GA_unrestricted_p0.9,396.1825234889984,-1.5001586668724798,0
1,LLM-GA_depth3_p0.05,173.27356219291687,-1.5001586668724798,0
1,LLM-GA_depth3_p0.1,227.6436767578125,-1.5001586668724798,0
1,LLM-GA_depth3_p0.3,274.50707483291626,-1.5001586668724798,0
1,LLM-GA_depth3_p0.5,342.48932337760925,-1.5001586668724798,0
1,LLM-GA_depth3_p0.7,312.06172132492065,-1.5001586668724798,0
1,LLM-GA_depth3_p0.9,375.09680438041687,-1.5001586668724798,0
2,RBF-BO,119.41373491287231,-1.5001586668724798,16
2,HyperKappa-BO,51.91917324066162,-1.5001586668724798,17
2,Random Search,46.77769160270691,-1.5002297283030455,28
2,LLM-GA_unrestricted_p0.05,285.96923089027405,-2281.716500865778,42
2,LLM-GA_unrestricted_p0.1,260.77115058898926,-2607.0002349888473,43
2,LLM-GA_unrestricted_p0.3,259.66959619522095,-2258.3869138844693,4
2,LLM-GA_unrestricted_p0.5,227.0813853740692,-1472.7435309181978,13
2,LLM-GA_unrestricted_p0.7,267.92838430404663,-1472.7435309181978,6
2,LLM-GA_unrestricted_p0.9,282.25850009918213,-1472.7435309181978,3
2,LLM-GA_depth3_p0.05,151.672545671463,-1.5002297283030455,23
2,LLM-GA_depth3_p0.1,194.09678030014038,-2607.0002349888473,38
2,LLM-GA_depth3_p0.3,207.71194458007812,-2565.875367771585,42
2,LLM-GA_depth3_p0.5,241.56321549415588,-1.5002297283030455,42
2,LLM-GA_depth3_p0.7,244.34436297416687,-2031.9402501164732,2
2,LLM-GA_depth3_p0.9,296.315336227417,-2565.875367771585,7
3,RBF-BO,154.0932478904724,-1.5001586668724798,18
3,HyperKappa-BO,49.96315884590149,-1.5001586668724798,12
3,Random Search,45.61912703514099,-1.5002337906472258,39
3,LLM-GA_unrestricted_p0.05,198.98520922660828,-2565.875367771585,0
3,LLM-GA_unrestricted_p0.1,181.41807556152344,-1472.7435309181978,16
3,LLM-GA_unrestricted_p0.3,210.2160930633545,-1472.7435309181978,36
3,LLM-GA_unrestricted_p0.5,253.38624501228333,-2258.3869134205556,26
3,LLM-GA_unrestricted_p0.7,324.6233139038086,-2258.3869134205556,24
3,LLM-GA_unrestricted_p0.9,286.7218759059906,-1472.7435309181978,12
3,LLM-GA_depth3_p0.05,185.04018354415894,-2565.875367771585,0
3,LLM-GA_depth3_p0.1,194.33816242218018,-1379.7680116887727,15
3,LLM-GA_depth3_p0.3,235.26410913467407,-1379.7680116887727,16
3,LLM-GA_depth3_p0.5,237.12843346595764,-1.5002297283030455,30
3,LLM-GA_depth3_p0.7,270.79159474372864,-1379.7680116887727,19
3,LLM-GA_depth3_p0.9,299.826078414917,-2565.875367771585,0
4,RBF-BO,131.30076098442078,-1.5001586668724798,18
4,HyperKappa-BO,48.96628713607788,-1.5001586668724798,11
4,Random Search,45.077341079711914,-1.5002297283030455,7
4,LLM-GA_unrestricted_p0.05,165.07953476905823,-1472.7435309181978,11
4,LLM-GA_unrestricted_p0.1,242.0415484905243,-2258.3869138844693,7
4,LLM-GA_unrestricted_p0.3,250.5123462677002,-2070.623319060302,4
4,LLM-GA_unrestricted_p0.5,276.50735998153687,-2258.3869138844693,6
4,LLM-GA_unrestricted_p0.7,271.42914605140686,-1472.7435309181978,23
4,LLM-GA_unrestricted_p0.9,354.4291980266571,-2070.6233147585353,47
4,LLM-GA_depth3_p0.05,172.1993749141693,-1.5002297283030455,21
4,LLM-GA_depth3_p0.1,178.6188838481903,-1312.6960222059124,49
4,LLM-GA_depth3_p0.3,239.6737654209137,-2031.9402501164732,34
4,LLM-GA_depth3_p0.5,260.56870436668396,-2031.9402501164732,24
4,LLM-GA_depth3_p0.7,311.65617084503174,-1472.7435309181978,49
4,LLM-GA_depth3_p0.9,279.1268255710602,-1379.7680116887727,19
5,RBF-BO,142.64890384674072,-1.5001586668724798,9
5,HyperKappa-BO,48.221923828125,-1.5001586668724798,4
5,Random Search,40.85105347633362,-1.500233947330675,13
5,LLM-GA_unrestricted_p0.05,186.38562488555908,-2114.937061832062,0
5,LLM-GA_unrestricted_p0.1,167.00427174568176,-1472.7435309181978,9
5,LLM-GA_unrestricted_p0.3,219.3709533214569,-2114.937061832062,0
5,LLM-GA_unrestricted_p0.5,269.61749267578125,-2114.937061832062,0
5,LLM-GA_unrestricted_p0.7,282.3328330516815,-1472.7435309181978,40
5,LLM-GA_unrestricted_p0.9,306.08547616004944,-2114.937061832062,0
5,LLM-GA_depth3_p0.05,143.85313940048218,-2031.941939779802,2
5,LLM-GA_depth3_p0.1,164.27530479431152,-2114.937061832062,0
5,LLM-GA_depth3_p0.3,217.0719871520996,-2114.937061832062,0
5,LLM-GA_depth3_p0.5,207.8340620994568,-1379.7680116887727,29
5,LLM-GA_depth3_p0.7,256.8080530166626,-1299.9819489628585,22
5,LLM-GA_depth3_p0.9,278.83504033088684,-1379.7680116887727,20
