HyperKappa Bayesian Optimization - Run 2
================================================================================

[HyperKappa-BO] iter=01 → idx=149, kernel=(PER + SE), LML=-1299.982
[HyperKappa-BO] iter=02 → idx=144, kernel=(PER + (SE + PER)), LML=-1459.421
[HyperKappa-BO] iter=03 → idx=21, kernel=((PER + PER) + PER), LML=-1.500
[HyperKappa-BO] iter=04 → idx=192, kernel=(SE * (PER * PER)), LML=-1916.645
[HyperKappa-BO] iter=05 → idx=111, kernel=(PER * (PER + PER)), LML=-1.500
[HyperKappa-BO] iter=06 → idx=0, kernel=((PER * PER) * PER), LML=-1.500
[HyperKappa-BO] iter=07 → idx=129, kernel=(PER + (PER * PER)), LML=-1.500
[HyperKappa-BO] iter=08 → idx=143, kernel=(PER + (SE * SE)), LML=-1770.250
[HyperKappa-BO] iter=09 → idx=18, kernel=((PER + PER) * PER), LML=-1.500
[HyperKappa-BO] iter=10 → idx=227, kernel=(SE + (SE * SE)), LML=-4210.982
[HyperKappa-BO] iter=11 → idx=5, kernel=((PER * PER) + SE), LML=-1635.947
[HyperKappa-BO] iter=12 → idx=234, kernel=PER, LML=-1.500
[HyperKappa-BO] iter=13 → idx=108, kernel=(PER * (PER * PER)), LML=-1.500
[HyperKappa-BO] iter=14 → idx=147, kernel=(PER + PER), LML=-1.500
[HyperKappa-BO] iter=15 → idx=126, kernel=(PER * PER), LML=-1.500
[HyperKappa-BO] iter=16 → idx=132, kernel=(PER + (PER + PER)), LML=-1.500
[HyperKappa-BO] iter=17 → idx=3, kernel=((PER * PER) + PER), LML=-1.500
[HyperKappa-BO] iter=18 → idx=14, kernel=((PER * SE) * SE), LML=-2114.937
[HyperKappa-BO] iter=19 → idx=15, kernel=((PER * SE) + PER), LML=-2521.414
[HyperKappa-BO] iter=20 → idx=125, kernel=(PER * (SE + SE)), LML=-2095.483
[HyperKappa-BO] iter=21 → idx=214, kernel=(SE + (PER * RQ)), LML=-4452.362
[HyperKappa-BO] iter=22 → idx=24, kernel=((PER + RQ) * PER), LML=-3238.852
[HyperKappa-BO] iter=23 → idx=4, kernel=((PER * PER) + RQ), LML=-3381.890
[HyperKappa-BO] iter=24 → idx=206, kernel=(SE * (SE * SE)), LML=-1419.706
[HyperKappa-BO] iter=25 → idx=64, kernel=((RQ + RQ) + RQ), LML=-2639.547
[HyperKappa-BO] iter=26 → idx=136, kernel=(PER + (RQ * RQ)), LML=-3423.386
[HyperKappa-BO] iter=27 → idx=230, kernel=(SE + (SE + SE)), LML=-641.931
[HyperKappa-BO] iter=28 → idx=43, kernel=((RQ * RQ) * RQ), LML=-2807.516
[HyperKappa-BO] iter=29 → idx=36, kernel=((RQ * PER) * PER), LML=-1960.792
[HyperKappa-BO] iter=30 → idx=233, kernel=(SE + SE), LML=-1405.887
[HyperKappa-BO] iter=31 → idx=120, kernel=(PER * (SE * PER)), LML=-1916.644
[HyperKappa-BO] iter=32 → idx=19, kernel=((PER + PER) * RQ), LML=-4021.691
[HyperKappa-BO] iter=33 → idx=224, kernel=(SE + (RQ + SE)), LML=-3505.002
[HyperKappa-BO] iter=34 → idx=88, kernel=((SE * SE) + RQ), LML=-4562.039
[HyperKappa-BO] iter=35 → idx=215, kernel=(SE + (PER * SE)), LML=-4470.698
[HyperKappa-BO] iter=36 → idx=152, kernel=(RQ * (PER * SE)), LML=-2070.623
[HyperKappa-BO] iter=37 → idx=213, kernel=(SE + (PER * PER)), LML=-1312.696
[HyperKappa-BO] iter=38 → idx=174, kernel=(RQ + (PER + PER)), LML=-3569.893
[HyperKappa-BO] iter=39 → idx=209, kernel=(SE * (SE + SE)), LML=-1420.445
[HyperKappa-BO] iter=40 → idx=156, kernel=(RQ * (RQ * PER)), LML=-3020.246
[HyperKappa-BO] iter=41 → idx=2, kernel=((PER * PER) * SE), LML=-1916.615
[HyperKappa-BO] iter=42 → idx=9, kernel=((PER * RQ) + PER), LML=-3648.026
[HyperKappa-BO] iter=43 → idx=172, kernel=(RQ + (PER * RQ)), LML=-3595.774
[HyperKappa-BO] iter=44 → idx=189, kernel=(RQ + PER), LML=-3437.066
[HyperKappa-BO] iter=45 → idx=20, kernel=((PER + PER) * SE), LML=-2019.162
[HyperKappa-BO] iter=46 → idx=177, kernel=(RQ + (RQ * PER)), LML=-3595.774
[HyperKappa-BO] iter=47 → idx=212, kernel=(SE * SE), LML=-1420.056
[HyperKappa-BO] iter=48 → idx=109, kernel=(PER * (PER * RQ)), LML=-2949.699
[HyperKappa-BO] iter=49 → idx=23, kernel=((PER + PER) + SE), LML=-1419.822
[HyperKappa-BO] iter=50 → idx=80, kernel=((SE * RQ) * SE), LML=-3332.979
