Random Search - Run 2
================================================================================

[Random] iter=01 → idx=128, kernel=(PER * SE), LML=-2031.942
[Random] iter=02 → idx=217, kernel=(SE + (PER + RQ)), LML=-4756.024
[Random] iter=03 → idx=193, kernel=(SE * (PER * RQ)), LML=-2070.623
[Random] iter=04 → idx=215, kernel=(SE + (PER * SE)), LML=-4470.698
[Random] iter=05 → idx=185, kernel=(RQ + (SE * SE)), LML=-4562.024
[Random] iter=06 → idx=25, kernel=((PER + RQ) * RQ), LML=-4271.558
[Random] iter=07 → idx=205, kernel=(SE * (SE * RQ)), LML=-3332.979
[Random] iter=08 → idx=57, kernel=((RQ + PER) + PER), LML=-3569.893
[Random] iter=09 → idx=194, kernel=(SE * (PER * SE)), LML=-2114.937
[Random] iter=10 → idx=69, kernel=((RQ + SE) + PER), LML=-4645.149
[Random] iter=11 → idx=146, kernel=(PER + (SE + SE)), LML=-1570.450
[Random] iter=12 → idx=121, kernel=(PER * (SE * RQ)), LML=-2070.623
[Random] iter=13 → idx=36, kernel=((RQ * PER) * PER), LML=-1960.792
[Random] iter=14 → idx=125, kernel=(PER * (SE + SE)), LML=-2095.483
[Random] iter=15 → idx=68, kernel=((RQ + SE) * SE), LML=-3701.933
[Random] iter=16 → idx=188, kernel=(RQ + (SE + SE)), LML=-3505.002
[Random] iter=17 → idx=120, kernel=(PER * (SE * PER)), LML=-1916.644
[Random] iter=18 → idx=130, kernel=(PER + (PER * RQ)), LML=-3378.989
[Random] iter=19 → idx=38, kernel=((RQ * PER) * SE), LML=-2070.623
[Random] iter=20 → idx=30, kernel=((PER + SE) * PER), LML=-2521.034
[Random] iter=21 → idx=203, kernel=(SE * (RQ + SE)), LML=-3701.933
[Random] iter=22 → idx=228, kernel=(SE + (SE + PER)), LML=-1571.279
[Random] iter=23 → idx=97, kernel=((SE + RQ) * RQ), LML=-4568.772
[Random] iter=24 → idx=149, kernel=(PER + SE), LML=-1299.982
[Random] iter=25 → idx=88, kernel=((SE * SE) + RQ), LML=-4562.039
[Random] iter=26 → idx=48, kernel=((RQ * SE) * PER), LML=-2070.623
[Random] iter=27 → idx=178, kernel=(RQ + (RQ * RQ)), LML=-4605.273
[Random] iter=28 → idx=234, kernel=PER, LML=-1.500
[Random] iter=29 → idx=79, kernel=((SE * RQ) * RQ), LML=-3330.231
[Random] iter=30 → idx=24, kernel=((PER + RQ) * PER), LML=-3238.852
[Random] iter=31 → idx=161, kernel=(RQ * (RQ + SE)), LML=-4429.113
[Random] iter=32 → idx=127, kernel=(PER * RQ), LML=-3493.074
[Random] iter=33 → idx=43, kernel=((RQ * RQ) * RQ), LML=-2807.516
[Random] iter=34 → idx=108, kernel=(PER * (PER * PER)), LML=-1.500
[Random] iter=35 → idx=90, kernel=((SE + PER) * PER), LML=-2551.009
[Random] iter=36 → idx=159, kernel=(RQ * (RQ + PER)), LML=-4653.317
[Random] iter=37 → idx=117, kernel=(PER * (RQ + PER)), LML=-3413.387
[Random] iter=38 → idx=231, kernel=(SE + PER), LML=-1472.744
[Random] iter=39 → idx=107, kernel=((SE + SE) + SE), LML=-641.931
[Random] iter=40 → idx=204, kernel=(SE * (SE * PER)), LML=-2114.937
[Random] iter=41 → idx=106, kernel=((SE + SE) + RQ), LML=-3505.002
[Random] iter=42 → idx=80, kernel=((SE * RQ) * SE), LML=-3332.979
[Random] iter=43 → idx=187, kernel=(RQ + (SE + RQ)), LML=-3242.190
[Random] iter=44 → idx=32, kernel=((PER + SE) * SE), LML=-4782.989
[Random] iter=45 → idx=33, kernel=((PER + SE) + PER), LML=-1459.421
[Random] iter=46 → idx=62, kernel=((RQ + RQ) * SE), LML=-3332.078
[Random] iter=47 → idx=122, kernel=(PER * (SE * SE)), LML=-2114.937
[Random] iter=48 → idx=82, kernel=((SE * RQ) + RQ), LML=-4534.394
[Random] iter=49 → idx=37, kernel=((RQ * PER) * RQ), LML=-3020.219
[Random] iter=50 → idx=156, kernel=(RQ * (RQ * PER)), LML=-3020.246
