iteration,RBF_BO,HyperKappa_BO,Random,LLM-GA_unrestricted_p0.05,LLM-GA_unrestricted_p0.1,LLM-GA_unrestricted_p0.3,LLM-GA_unrestricted_p0.5,LLM-GA_unrestricted_p0.7,LLM-GA_unrestricted_p0.9,LLM-GA_depth3_p0.05,LLM-GA_depth3_p0.1,LLM-GA_depth3_p0.3,LLM-GA_depth3_p0.5,LLM-GA_depth3_p0.7,LLM-GA_depth3_p0.9
0,-2949.6993881211856,-2949.6993881211856,-2949.6993881211856,-2949.6993881211856,-2949.6993881211856,-2949.6993881211856,-2949.6993881211856,-2949.6993881211856,-2949.6993881211856,-2949.6993881211856,-2949.6993881211856,-2949.6993881211856,-2949.6993881211856,-2949.6993881211856,-2949.6993881211856
1,-1916.6438823694102,-1.5002337906472258,-2949.6993881211856,-2949.6993881211856,-2949.6993881211856,-2949.6993881211856,-2949.6993881211856,-2949.6993881211856,-2949.6993881211856,-2949.6993881211856,-2949.6993881211856,-2949.6993881211856,-2949.6993881211856,-2949.6993881211856,-2949.6993881211856
2,-1.5002297283030455,-1.5002337906472258,-2949.6993881211856,-2949.6993881211856,-2949.6993881211856,-2949.6993881211856,-2949.6993881211856,-2949.6993881211856,-2607.0002349888473,-2949.6993881211856,-2949.6993881211856,-2949.6993881211856,-2949.6993881211856,-2949.6993881211856,-2949.6993881211856
3,-1.5002297283030455,-1.5002337906472258,-2949.6993881211856,-2949.6993881211856,-2949.6993881211856,-2949.6993881211856,-2607.0002349888473,-2949.6993881211856,-2607.0002349888473,-2949.6993881211856,-2949.6993881211856,-2949.6993881211856,-2949.6993881211856,-2949.6993881211856,-2949.6993881211856
4,-1.5002297283030455,-1.5002337906472258,-2949.6993881211856,-2949.6993881211856,-2949.6993881211856,-2070.623319060302,-2607.0002349888473,-2949.6993881211856,-2607.0002349888473,-2949.6993881211856,-2949.6993881211856,-2949.6993881211856,-2949.6993881211856,-2949.6993881211856,-2949.6993881211856
5,-1.5002297283030455,-1.5002337906472258,-2949.6993881211856,-2949.6993881211856,-2949.6993881211856,-2070.623319060302,-2607.0002349888473,-2949.6993881211856,-2607.0002349888473,-2949.6993881211856,-2949.6993881211856,-2949.6993881211856,-2949.6993881211856,-2949.6993881211856,-2949.6993881211856
6,-1.5002297283030455,-1.500233774408328,-2949.6993881211856,-2949.6993881211856,-2607.0002349888473,-2070.623319060302,-2258.3869138844693,-2949.6993881211856,-2607.0002349888473,-2949.6993881211856,-2949.6993881211856,-2949.6993881211856,-2949.6993881211856,-2949.6993881211856,-2949.6993881211856
7,-1.5002297283030455,-1.50015866687249,-1.5002297283030455,-2949.6993881211856,-2258.3869138844693,-2070.623319060302,-2258.3869138844693,-2565.875370278429,-2607.0002349888473,-2949.6993881211856,-2949.6993881211856,-2949.6993881211856,-2949.6993881211856,-2949.6993881211856,-2949.6993881211856
8,-1.5002297283030455,-1.50015866687249,-1.5002297283030455,-2070.6233164081336,-2258.3869138844693,-2070.623319060302,-2258.3869138844693,-2565.875370278429,-2607.0002349888473,-2949.6993881211856,-2949.6993881211856,-2949.6993881211856,-2949.6993881211856,-2949.6993881211856,-2949.6993881211856
9,-1.5002297283030455,-1.50015866687249,-1.5002297283030455,-2070.6233164081336,-2258.3869138844693,-2070.623319060302,-2258.3869138844693,-2565.875370278429,-2607.0002349888473,-2949.6993881211856,-2949.6993881211856,-2949.6993881211856,-2949.6993881211856,-2949.6993881211856,-2949.6993881211856
10,-1.5002297283030455,-1.50015866687249,-1.5002297283030455,-2070.6233164081336,-2258.3869138844693,-2070.623319060302,-2258.3869138844693,-2565.875370278429,-2607.0002349888473,-2949.6993881211856,-2949.6993881211856,-2949.6993881211856,-2949.6993881211856,-2949.6993881211856,-2949.6993881211856
11,-1.5002297283030455,-1.5001586668724798,-1.5002297283030455,-1472.7435309181978,-2258.3869138844693,-2070.623319060302,-2258.3869138844693,-2565.875370278429,-2607.0002349888473,-2949.6993881211856,-2607.0002349888473,-2949.6993881211856,-2949.6993881211856,-2949.6993881211856,-2949.6993881211856
