Random Search - Run 5
================================================================================

[Random] iter=01 → idx=127, kernel=(PER * RQ), LML=-3493.074
[Random] iter=02 → idx=136, kernel=(PER + (RQ * RQ)), LML=-3423.386
[Random] iter=03 → idx=51, kernel=((RQ * SE) + PER), LML=-3648.715
[Random] iter=04 → idx=33, kernel=((PER + SE) + PER), LML=-1459.421
[Random] iter=05 → idx=64, kernel=((RQ + RQ) + RQ), LML=-2639.547
[Random] iter=06 → idx=170, kernel=(RQ * SE), LML=-3553.879
[Random] iter=07 → idx=31, kernel=((PER + SE) * RQ), LML=-2607.000
[Random] iter=08 → idx=120, kernel=(PER * (SE * PER)), LML=-1916.644
[Random] iter=09 → idx=54, kernel=((RQ + PER) * PER), LML=-3335.127
[Random] iter=10 → idx=202, kernel=(SE * (RQ + RQ)), LML=-3332.078
[Random] iter=11 → idx=59, kernel=((RQ + PER) + SE), LML=-4552.386
[Random] iter=12 → idx=17, kernel=((PER * SE) + SE), LML=-4739.775
[Random] iter=13 → idx=147, kernel=(PER + PER), LML=-1.500
[Random] iter=14 → idx=39, kernel=((RQ * PER) + PER), LML=-3480.324
[Random] iter=15 → idx=36, kernel=((RQ * PER) * PER), LML=-1960.792
[Random] iter=16 → idx=52, kernel=((RQ * SE) + RQ), LML=-4581.070
[Random] iter=17 → idx=236, kernel=SE, LML=-1379.768
[Random] iter=18 → idx=72, kernel=((SE * PER) * PER), LML=-1916.645
[Random] iter=19 → idx=116, kernel=(PER * (RQ * SE)), LML=-2070.623
[Random] iter=20 → idx=2, kernel=((PER * PER) * SE), LML=-1916.615
[Random] iter=21 → idx=218, kernel=(SE + (PER + SE)), LML=-1465.192
[Random] iter=22 → idx=163, kernel=(RQ * (SE * RQ)), LML=-3335.375
[Random] iter=23 → idx=151, kernel=(RQ * (PER * RQ)), LML=-3020.219
[Random] iter=24 → idx=217, kernel=(SE + (PER + RQ)), LML=-4756.024
[Random] iter=25 → idx=29, kernel=((PER + RQ) + SE), LML=-4614.666
[Random] iter=26 → idx=106, kernel=((SE + SE) + RQ), LML=-3505.002
[Random] iter=27 → idx=200, kernel=(SE * (RQ * SE)), LML=-3332.979
[Random] iter=28 → idx=204, kernel=(SE * (SE * PER)), LML=-2114.937
[Random] iter=29 → idx=104, kernel=((SE + SE) * SE), LML=-1420.445
[Random] iter=30 → idx=41, kernel=((RQ * PER) + SE), LML=-4450.183
[Random] iter=31 → idx=145, kernel=(PER + (SE + RQ)), LML=-4482.747
[Random] iter=32 → idx=153, kernel=(RQ * (PER + PER)), LML=-4021.445
[Random] iter=33 → idx=8, kernel=((PER * RQ) * SE), LML=-2070.623
[Random] iter=34 → idx=177, kernel=(RQ + (RQ * PER)), LML=-3595.774
[Random] iter=35 → idx=87, kernel=((SE * SE) + PER), LML=-1740.140
[Random] iter=36 → idx=188, kernel=(RQ + (SE + SE)), LML=-3505.002
[Random] iter=37 → idx=111, kernel=(PER * (PER + PER)), LML=-1.500
[Random] iter=38 → idx=99, kernel=((SE + RQ) + PER), LML=-4615.704
[Random] iter=39 → idx=165, kernel=(RQ * (SE + PER)), LML=-2607.000
[Random] iter=40 → idx=209, kernel=(SE * (SE + SE)), LML=-1420.445
[Random] iter=41 → idx=68, kernel=((RQ + SE) * SE), LML=-3701.933
[Random] iter=42 → idx=78, kernel=((SE * RQ) * PER), LML=-2070.623
[Random] iter=43 → idx=70, kernel=((RQ + SE) + RQ), LML=-3242.190
[Random] iter=44 → idx=124, kernel=(PER * (SE + RQ)), LML=-3725.413
[Random] iter=45 → idx=122, kernel=(PER * (SE * SE)), LML=-2114.937
[Random] iter=46 → idx=172, kernel=(RQ + (PER * RQ)), LML=-3595.774
[Random] iter=47 → idx=73, kernel=((SE * PER) * RQ), LML=-2070.623
[Random] iter=48 → idx=206, kernel=(SE * (SE * SE)), LML=-1419.706
[Random] iter=49 → idx=61, kernel=((RQ + RQ) * RQ), LML=-3475.647
[Random] iter=50 → idx=149, kernel=(PER + SE), LML=-1299.982
