Method,Time_seconds,Best_LML,Best_Iteration
RBF-BO,142.64890384674072,-1.5001586668724798,9
HyperKappa-BO,48.221923828125,-1.5001586668724798,4
Random Search,40.85105347633362,-1.500233947330675,13
LLM-GA_unrestricted_p0.05,186.38562488555908,-2114.937061832062,0
LLM-GA_unrestricted_p0.1,167.00427174568176,-1472.7435309181978,9
LLM-GA_unrestricted_p0.3,219.3709533214569,-2114.937061832062,0
LLM-GA_unrestricted_p0.5,269.61749267578125,-2114.937061832062,0
LLM-GA_unrestricted_p0.7,282.3328330516815,-1472.7435309181978,40
LLM-GA_unrestricted_p0.9,306.08547616004944,-2114.937061832062,0
LLM-GA_depth3_p0.05,143.85313940048218,-2031.941939779802,2
LLM-GA_depth3_p0.1,164.27530479431152,-2114.937061832062,0
LLM-GA_depth3_p0.3,217.0719871520996,-2114.937061832062,0
LLM-GA_depth3_p0.5,207.8340620994568,-1379.7680116887727,29
LLM-GA_depth3_p0.7,256.8080530166626,-1299.9819489628585,22
LLM-GA_depth3_p0.9,278.83504033088684,-1379.7680116887727,20
