Method,Avg_Time_sec,Std_Time_sec,Avg_Best_LML,Std_Best_LML,Avg_Best_Iter,Std_Best_Iter
RBF-BO,136.71128854751586,11.543317378715374,-1.5001586668724798,0.0,12.2,6.939740629158989
HyperKappa-BO,49.33082103729248,1.5175552634235892,-1.5001586668724798,0.0,8.8,6.04648658313239
Random Search,47.35138115882874,5.8911568296214085,-1.5002171722912943,2.9311303597561148e-05,17.4,14.207040508142432
LLM-GA Unrestricted (p=0.05),216.22386889457704,43.53969712505601,-1687.3545240108992,916.0845679966626,10.6,16.267759526130202
LLM-GA Unrestricted (p=0.1),222.2570529460907,40.05939898741761,-1562.474873875317,897.5602806248628,15.0,14.89966442575134
LLM-GA Unrestricted (p=0.3),235.6460636138916,18.534426429236344,-1583.6381968723806,835.4851552389372,8.8,13.717142559585797
LLM-GA Unrestricted (p=0.5),267.20387921333315,27.114226506533758,-1621.1909157444315,860.3786969585848,9.0,9.757048734120374
LLM-GA Unrestricted (p=0.7),305.9861403465271,43.76289751874808,-1335.6235329684046,733.182530571268,18.6,14.221111067704943
LLM-GA Unrestricted (p=0.9),325.13551473617554,43.77841325483477,-1426.5095194187732,764.6884213023488,12.4,17.85049018934774
LLM-GA Depth≤3 (p=0.05),165.20776114463806,15.142567256756593,-920.4635851349731,1138.0900793548753,9.2,10.49571341072154
LLM-GA Depth≤3 (p=0.1),191.79456162452698,21.108468220318297,-1483.1802978764936,882.8615841646484,20.4,19.945926902503178
LLM-GA Depth≤3 (p=0.3),234.84577622413636,23.015887934678485,-1618.804170015153,892.9259399025844,18.4,17.22324011328879
LLM-GA Depth≤3 (p=0.5),257.9167477607727,45.535526464883745,-683.2417759857449,860.0524490653709,25.0,13.827508813954884
LLM-GA Depth≤3 (p=0.7),279.1323805809021,28.001031743720983,-1237.186780070635,669.0760985391654,18.4,17.647662734764626
LLM-GA Depth≤3 (p=0.9),305.84001698493955,35.68263712395585,-1578.5573835175176,950.3407308140361,9.2,8.795453370918407
