iteration,RBF_BO_mean,RBF_BO_std,HyperKappa_BO_mean,HyperKappa_BO_std,Random_mean,Random_std,LLM-GA_unrestricted_p0.05_mean,LLM-GA_unrestricted_p0.05_std,LLM-GA_unrestricted_p0.1_mean,LLM-GA_unrestricted_p0.1_std,LLM-GA_unrestricted_p0.3_mean,LLM-GA_unrestricted_p0.3_std,LLM-GA_unrestricted_p0.5_mean,LLM-GA_unrestricted_p0.5_std,LLM-GA_unrestricted_p0.7_mean,LLM-GA_unrestricted_p0.7_std,LLM-GA_unrestricted_p0.9_mean,LLM-GA_unrestricted_p0.9_std,LLM-GA_depth3_p0.05_mean,LLM-GA_depth3_p0.05_std,LLM-GA_depth3_p0.1_mean,LLM-GA_depth3_p0.1_std,LLM-GA_depth3_p0.3_mean,LLM-GA_depth3_p0.3_std,LLM-GA_depth3_p0.5_mean,LLM-GA_depth3_p0.5_std,LLM-GA_depth3_p0.7_mean,LLM-GA_depth3_p0.7_std,LLM-GA_depth3_p0.9_mean,LLM-GA_depth3_p0.9_std
0,-3957.3711523316842,1977.9354609330628,-3957.3711523316842,1977.9354609330628,-3957.3711523316842,1977.9354609330628,-3957.3711523316842,1977.9354609330628,-3957.3711523316842,1977.9354609330628,-3957.3711523316842,1977.9354609330628,-3957.3711523316842,1977.9354609330628,-3957.3711523316842,1977.9354609330628,-3957.3711523316842,1977.9354609330628,-3957.3711523316842,1977.9354609330628,-3957.3711523316842,1977.9354609330628,-3957.3711523316842,1977.9354609330628,-3957.3711523316842,1977.9354609330628,-3957.3711523316842,1977.9354609330628,-3957.3711523316842,1977.9354609330628
1,-3957.3711523316842,1977.9354609330628,-3037.901287291503,2339.9188028615595,-3957.3711523316842,1977.9354609330628,-3957.3711412652506,1977.9354553997275,-3957.3711523316842,1977.9354609330628,-3957.3701798888806,1977.9349747024464,-3957.3710147700235,1977.9353921508591,-3957.3711412652506,1977.9354553997275,-3957.3711523316842,1977.9354609330628,-3957.368186194828,1977.9339778412852,-3957.3711523316842,1977.9354609330628,-3957.3681861994896,1977.933977843616,-3957.3711523316842,1977.9354609330628,-3957.3711523316842,1977.9354609330628,-3957.3654035388768,1977.9325864821492
2,-3957.370419184571,1977.9351048641545,-2048.9432319420334,2369.121860781495,-3257.091309488654,2118.6442039557855,-3957.3711412652506,1977.9354553997275,-3957.3710258364576,1977.935397684195,-3957.3700533936526,1977.9349114535014,-3957.3710147700235,1977.9353921508591,-3957.369815838784,1977.934792674853,-3957.3711412652506,1977.9354553997275,-3957.3681861730065,1977.9339778303743,-3957.3689838219034,1977.9343766608745,-3957.3681861994896,1977.933977843616,-3957.3698269087663,1977.9347982099719,-3957.368186194828,1977.9339778412852,-3957.364020512016,1977.9318949562658
3,-3957.370419184571,1977.9351048641545,-1979.4392762968405,2422.470715509437,-3257.091309488654,2118.6442039557855,-3957.3711412652506,1977.9354553997275,-3957.368059699601,1977.9339145921806,-3957.3700533936526,1977.9349114535014,-3957.3710147700235,1977.9353921508591,-3957.3616978381033,1977.9307336436248,-3957.369815842332,1977.934792676627,-3957.3681861730065,1977.9339778303743,-3957.3678965437166,1977.9338330097955,-3957.368186194828,1977.9339778412852,-3957.3687396305795,1977.934254559472,-3957.366860768361,1977.9333151139354,-3957.364020512016,1977.9318949562658
4,-3957.3704079769122,1977.9350992602037,-1979.4384271688746,2422.469677682664,-3037.9024471089215,2339.919742143602,-3957.3709008813807,1977.9353352052842,-3957.368059699601,1977.9339145921806,-3957.3698130097837,1977.9347912588928,-3957.3707743861537,1977.9352719563967,-3957.3616978381033,1977.9307336436248,-3957.369815842332,1977.934792676627,-3957.3653459199368,1977.932557676722,-3957.363177425153,1977.9314734040752,-3957.368186194828,1977.9339778412852,-3957.3687396305795,1977.934254559472,-3957.3626374884307,1977.9312034308123,-3957.3626374884307,1977.9312034308123
5,-3957.3704079769122,1977.9350992602037,-990.4692095015255,1977.9379871170468,-3037.9014604760387,2339.918937438494,-3957.3709008813807,1977.9353352052842,-3957.368059699601,1977.9339145921806,-3957.367231051682,1977.9335002588991,-3957.368192434877,1977.9339809613837,-3957.3616978381033,1977.9307336436248,-3957.368916993821,1977.9343432428004,-3957.3653459199368,1977.932557676722,-3957.363177425153,1977.9314734040752,-3957.368186194828,1977.9339778412852,-3957.367955602942,1977.933862536914,-3957.3626374884307,1977.9312034308123,-3957.3626374884307,1977.9312034308123
6,-2968.383053751903,2422.449688380519,-990.4692095015255,1977.9379871170468,-3037.901359796785,2339.918855323825,-3957.3709008813807,1977.9353352052842,-3957.368059699601,1977.9339145921806,-3957.365352168158,1977.932560800918,-3957.368192434877,1977.9339809613837,-3957.3616978381033,1977.9307336436248,-3957.368916993821,1977.9343432428004,-3957.3653459199368,1977.932557676722,-3957.363177425153,1977.9314734040752,-3957.368186194828,1977.9339778412852,-3957.367955602942,1977.933862536914,-3957.3626374884307,1977.9312034308123,-3957.3626374884307,1977.9312034308123
7,-2968.383053751903,2422.449688380519,-990.4692095015255,1977.9379871170468,-3037.901359796785,2339.918855323825,-3957.3709008813807,1977.9353352052842,-3957.3660536880097,1977.9329115654857,-3957.364693701238,1977.9322315588392,-3957.3666137776163,1977.9331916153906,-3957.3616978381033,1977.9307336436248,-3957.368916993821,1977.9343432428004,-3957.3653459199368,1977.932557676722,-3957.362637481606,1977.9312034273999,-3957.366728961795,1977.9332492089454,-3957.367955602942,1977.933862536914,-3957.3626374884307,1977.9312034308123,-3957.3626374884307,1977.9312034308123
8,-2968.383053751903,2422.449688380519,-71.00417039005097,139.00791825639527,-3037.901359796785,2339.918855323825,-3957.370779457153,1977.935274491945,-3957.3660536880097,1977.9329115654857,-3957.3626374747814,1977.9312034239877,-3957.3666137776163,1977.9331916153906,-3957.3616978381033,1977.9307336436248,-3957.368916993821,1977.9343432428004,-3957.3653459199368,1977.932557676722,-3957.362637481606,1977.9312034273999,-3957.366728961795,1977.9332492089454,-3957.367955602942,1977.933862536914,-3957.3626374884307,1977.9312034308123,-3957.3626374884307,1977.9312034308123
9,-1979.4110938883473,2422.43619924897,-71.00417039005097,139.00791825639527,-3037.901359796785,2339.918855323825,-3957.370779457153,1977.935274491945,-3957.3579430600903,1977.928856261913,-3957.3626374747814,1977.9312034239877,-3957.3640205152915,1977.9318949579038,-3957.3616978381033,1977.9307336436248,-3957.368916993821,1977.9343432428004,-3957.3653459199368,1977.932557676722,-3957.362637481606,1977.9312034273999,-3957.366728961795,1977.9332492089454,-3957.367955602942,1977.933862536914,-3957.3626374884307,1977.9312034308123,-3957.3626374884307,1977.9312034308123
