Run,Method,Time_seconds,Best_LML,Best_Iteration
1,RBF-BO,77.88561248779297,-1.5002099522799428,2
1,HyperKappa-BO,49.74323010444641,-1.5002099522799428,4
1,Random Search,37.84154534339905,-1.5002309751956702,22
1,LLM-GA_unrestricted_p0.05,189.1836588382721,-1.5002309751956735,0
1,LLM-GA_unrestricted_p0.1,170.38445711135864,-1.5002309751956735,0
1,LLM-GA_unrestricted_p0.3,203.48731470108032,-1.5002309751956735,0
1,LLM-GA_unrestricted_p0.5,229.86319160461426,-1.5002309751956735,0
1,LLM-GA_unrestricted_p0.7,261.1380293369293,-1.5002309751956735,0
1,LLM-GA_unrestricted_p0.9,321.2156038284302,-1.5002309751956735,0
1,LLM-GA_depth3_p0.05,145.78415703773499,-1.5002309751956735,0
1,LLM-GA_depth3_p0.1,158.62213611602783,-1.5002309751956735,0
1,LLM-GA_depth3_p0.3,179.99664974212646,-1.5002309751956735,0
1,LLM-GA_depth3_p0.5,204.5700900554657,-1.5002309751956735,0
1,LLM-GA_depth3_p0.7,236.23998427391052,-1.5002309751956735,0
1,LLM-GA_depth3_p0.9,252.87338972091675,-1.5002309751956735,0
2,RBF-BO,67.73944568634033,-1.5002099522799428,18
2,HyperKappa-BO,43.025320053100586,-1.5002099522799428,12
2,Random Search,31.670503854751587,-1.5002099522799428,28
2,LLM-GA_unrestricted_p0.05,131.1848702430725,-4946.3587260022605,0
2,LLM-GA_unrestricted_p0.1,157.01048183441162,-4946.345183735619,12
2,LLM-GA_unrestricted_p0.3,186.51456785202026,-4946.345183735619,5
2,LLM-GA_unrestricted_p0.5,209.10239005088806,-4946.343466369517,23
2,LLM-GA_unrestricted_p0.7,210.5672161579132,-4946.343466369517,50
2,LLM-GA_unrestricted_p0.9,257.88780212402344,-4946.343466369517,22
2,LLM-GA_depth3_p0.05,130.08375597000122,-4946.34788342038,29
2,LLM-GA_depth3_p0.1,136.70236229896545,-4946.345183735619,7
2,LLM-GA_depth3_p0.3,175.03643465042114,-4946.345183735619,12
2,LLM-GA_depth3_p0.5,173.70169186592102,-4946.343466369517,10
2,LLM-GA_depth3_p0.7,180.46140480041504,-1.5002099522799428,33
2,LLM-GA_depth3_p0.9,237.2060616016388,-4946.34518376974,4
3,RBF-BO,68.54388523101807,-1.5002099522799428,10
3,HyperKappa-BO,48.29493427276611,-1.5002099522799428,5
3,Random Search,32.79766035079956,-349.0200069028415,4
3,LLM-GA_unrestricted_p0.05,168.60234427452087,-4946.34518376974,29
3,LLM-GA_unrestricted_p0.1,161.55310201644897,-4946.34518376974,15
3,LLM-GA_unrestricted_p0.3,195.14884185791016,-4946.345183735619,6
3,LLM-GA_unrestricted_p0.5,228.29037404060364,-4946.34518376974,18
3,LLM-GA_unrestricted_p0.7,256.017235994339,-4946.345183735619,16
3,LLM-GA_unrestricted_p0.9,274.9191093444824,-4946.345183735619,31
3,LLM-GA_depth3_p0.05,134.95233845710754,-4946.345183735619,21
3,LLM-GA_depth3_p0.1,141.51550483703613,-4946.345183735619,4
3,LLM-GA_depth3_p0.3,153.3351697921753,-4946.34518376974,15
3,LLM-GA_depth3_p0.5,204.25523209571838,-4946.34518376974,28
3,LLM-GA_depth3_p0.7,215.0672583580017,-1.5002099522799428,22
3,LLM-GA_depth3_p0.9,239.00114488601685,-4946.345183735619,2
4,RBF-BO,92.35252213478088,-1.5002099522799428,11
4,HyperKappa-BO,41.185800552368164,-1.5002099522799428,11
4,Random Search,37.203794956207275,-1.5002202722789797,35
4,LLM-GA_unrestricted_p0.05,177.47107434272766,-4946.357110717103,29
4,LLM-GA_unrestricted_p0.1,172.83561658859253,-4946.304630630144,9
4,LLM-GA_unrestricted_p0.3,226.49032711982727,-4946.345183735619,8
4,LLM-GA_unrestricted_p0.5,249.33100581169128,-4946.34518376974,9
4,LLM-GA_unrestricted_p0.7,281.94054198265076,-4946.319369118448,3
4,LLM-GA_unrestricted_p0.9,312.26284766197205,-4946.34518376974,15
4,LLM-GA_depth3_p0.05,156.51564145088196,-1.5002099522799428,32
4,LLM-GA_depth3_p0.1,154.07994961738586,-4946.34518376974,4
4,LLM-GA_depth3_p0.3,200.55554485321045,-4946.345183735619,24
4,LLM-GA_depth3_p0.5,207.53840446472168,-4946.34518376974,13
4,LLM-GA_depth3_p0.7,228.09241938591003,-4946.345183735619,10
4,LLM-GA_depth3_p0.9,255.2841761112213,-4946.34518376974,1
5,RBF-BO,71.72690892219543,-1.5002099522799428,26
5,HyperKappa-BO,45.50728750228882,-1.5002099522799428,3
5,Random Search,30.391778230667114,-1.5002202722789797,13
5,LLM-GA_unrestricted_p0.05,150.02834367752075,-4946.277405191857,0
5,LLM-GA_unrestricted_p0.1,162.24483609199524,-4946.277405191857,0
5,LLM-GA_unrestricted_p0.3,187.88443326950073,-4946.277405191857,0
5,LLM-GA_unrestricted_p0.5,234.8158838748932,-4946.277405191857,0
5,LLM-GA_unrestricted_p0.7,269.8464481830597,-4946.277405191857,0
5,LLM-GA_unrestricted_p0.9,278.27837014198303,-4946.277405191857,0
5,LLM-GA_depth3_p0.05,136.43326783180237,-1.5002099522799428,11
5,LLM-GA_depth3_p0.1,145.07451367378235,-1.5002099522799428,11
5,LLM-GA_depth3_p0.3,195.53775000572205,-4946.277405191857,0
5,LLM-GA_depth3_p0.5,226.7097556591034,-4946.277405191857,0
5,LLM-GA_depth3_p0.7,271.2982738018036,-4946.277405191857,0
5,LLM-GA_depth3_p0.9,265.4697983264923,-4946.277405191857,0
