Random Search - Run 1
================================================================================

[Random] iter=01 → idx=39, kernel=((RQ * PER) + PER), LML=-4946.360
[Random] iter=02 → idx=210, kernel=(SE * PER), LML=-4946.367
[Random] iter=03 → idx=27, kernel=((PER + RQ) + PER), LML=-4946.380
[Random] iter=04 → idx=179, kernel=(RQ + (RQ * SE)), LML=-4946.362
[Random] iter=05 → idx=34, kernel=((PER + SE) + RQ), LML=-4946.355
[Random] iter=06 → idx=74, kernel=((SE * PER) * SE), LML=-4946.360
[Random] iter=07 → idx=128, kernel=(PER * SE), LML=-4946.367
[Random] iter=08 → idx=9, kernel=((PER * RQ) + PER), LML=-4946.372
[Random] iter=09 → idx=176, kernel=(RQ + (PER + SE)), LML=-4946.355
[Random] iter=10 → idx=142, kernel=(PER + (SE * RQ)), LML=-4946.362
[Random] iter=11 → idx=96, kernel=((SE + RQ) * PER), LML=-4946.360
[Random] iter=12 → idx=31, kernel=((PER + SE) * RQ), LML=-4946.364
[Random] iter=13 → idx=38, kernel=((RQ * PER) * SE), LML=-4946.360
[Random] iter=14 → idx=220, kernel=(SE + (RQ * RQ)), LML=-4946.360
[Random] iter=15 → idx=136, kernel=(PER + (RQ * RQ)), LML=-4946.363
[Random] iter=16 → idx=143, kernel=(PER + (SE * SE)), LML=-4946.277
[Random] iter=17 → idx=224, kernel=(SE + (RQ + SE)), LML=-4946.363
[Random] iter=18 → idx=212, kernel=(SE * SE), LML=-4946.362
[Random] iter=19 → idx=12, kernel=((PER * SE) * PER), LML=-4946.360
[Random] iter=20 → idx=184, kernel=(RQ + (SE * RQ)), LML=-4946.362
[Random] iter=21 → idx=90, kernel=((SE + PER) * PER), LML=-4946.362
[Random] iter=22 → idx=129, kernel=(PER + (PER * PER)), LML=-1.500
[Random] iter=23 → idx=174, kernel=(RQ + (PER + PER)), LML=-4946.378
[Random] iter=24 → idx=70, kernel=((RQ + SE) + RQ), LML=-4946.355
[Random] iter=25 → idx=7, kernel=((PER * RQ) * RQ), LML=-4946.361
[Random] iter=26 → idx=26, kernel=((PER + RQ) * SE), LML=-4946.363
[Random] iter=27 → idx=133, kernel=(PER + (PER + RQ)), LML=-4946.380
[Random] iter=28 → idx=232, kernel=(SE + RQ), LML=-4946.352
[Random] iter=29 → idx=85, kernel=((SE * SE) * RQ), LML=-4946.362
[Random] iter=30 → idx=102, kernel=((SE + SE) * PER), LML=-4946.363
[Random] iter=31 → idx=197, kernel=(SE * (PER + SE)), LML=-4946.362
[Random] iter=32 → idx=108, kernel=(PER * (PER * PER)), LML=-349.020
[Random] iter=33 → idx=215, kernel=(SE + (PER * SE)), LML=-4946.361
[Random] iter=34 → idx=61, kernel=((RQ + RQ) * RQ), LML=-4946.362
[Random] iter=35 → idx=236, kernel=SE, LML=-4946.361
[Random] iter=36 → idx=107, kernel=((SE + SE) + SE), LML=-4946.346
[Random] iter=37 → idx=124, kernel=(PER * (SE + RQ)), LML=-4946.362
[Random] iter=38 → idx=1, kernel=((PER * PER) * RQ), LML=-4946.360
[Random] iter=39 → idx=103, kernel=((SE + SE) * RQ), LML=-4946.362
[Random] iter=40 → idx=35, kernel=((PER + SE) + SE), LML=-4946.359
[Random] iter=41 → idx=95, kernel=((SE + PER) + SE), LML=-4946.359
[Random] iter=42 → idx=115, kernel=(PER * (RQ * RQ)), LML=-4946.361
[Random] iter=43 → idx=163, kernel=(RQ * (SE * RQ)), LML=-4946.366
[Random] iter=44 → idx=55, kernel=((RQ + PER) * RQ), LML=-4946.363
[Random] iter=45 → idx=213, kernel=(SE + (PER * PER)), LML=-4946.365
[Random] iter=46 → idx=193, kernel=(SE * (PER * RQ)), LML=-4946.360
[Random] iter=47 → idx=177, kernel=(RQ + (RQ * PER)), LML=-4946.367
[Random] iter=48 → idx=126, kernel=(PER * PER), LML=-1.500
[Random] iter=49 → idx=185, kernel=(RQ + (SE * SE)), LML=-4946.359
[Random] iter=50 → idx=167, kernel=(RQ * (SE + SE)), LML=-4946.362
