RBF Bayesian Optimization - Run 1
================================================================================

[RBF-BO] iter=01 → idx=207, kernel=(SE * (SE + PER)), LML=-4946.362
[RBF-BO] iter=02 → idx=234, kernel=PER, LML=-1.500
[RBF-BO] iter=03 → idx=5, kernel=((PER * PER) + SE), LML=-4946.361
[RBF-BO] iter=04 → idx=111, kernel=(PER * (PER + PER)), LML=-1444.964
[RBF-BO] iter=05 → idx=147, kernel=(PER + PER), LML=-1.500
[RBF-BO] iter=06 → idx=21, kernel=((PER + PER) + PER), LML=-1.500
[RBF-BO] iter=07 → idx=129, kernel=(PER + (PER * PER)), LML=-1.500
[RBF-BO] iter=08 → idx=132, kernel=(PER + (PER + PER)), LML=-1.500
[RBF-BO] iter=09 → idx=181, kernel=(RQ + (RQ + RQ)), LML=-4946.363
[RBF-BO] iter=10 → idx=192, kernel=(SE * (PER * PER)), LML=-4946.360
[RBF-BO] iter=11 → idx=87, kernel=((SE * SE) + PER), LML=-4946.277
[RBF-BO] iter=12 → idx=108, kernel=(PER * (PER * PER)), LML=-349.020
[RBF-BO] iter=13 → idx=86, kernel=((SE * SE) * SE), LML=-4946.361
[RBF-BO] iter=14 → idx=0, kernel=((PER * PER) * PER), LML=-349.020
[RBF-BO] iter=15 → idx=219, kernel=(SE + (RQ * PER)), LML=-4946.345
[RBF-BO] iter=16 → idx=236, kernel=SE, LML=-4946.361
[RBF-BO] iter=17 → idx=126, kernel=(PER * PER), LML=-1.500
[RBF-BO] iter=18 → idx=18, kernel=((PER + PER) * PER), LML=-1444.690
[RBF-BO] iter=19 → idx=174, kernel=(RQ + (PER + PER)), LML=-4946.378
[RBF-BO] iter=20 → idx=125, kernel=(PER * (SE + SE)), LML=-4946.363
[RBF-BO] iter=21 → idx=64, kernel=((RQ + RQ) + RQ), LML=-4946.363
[RBF-BO] iter=22 → idx=16, kernel=((PER * SE) + RQ), LML=-4946.367
[RBF-BO] iter=23 → idx=41, kernel=((RQ * PER) + SE), LML=-4946.345
[RBF-BO] iter=24 → idx=206, kernel=(SE * (SE * SE)), LML=-4946.361
[RBF-BO] iter=25 → idx=89, kernel=((SE * SE) + SE), LML=-4946.349
[RBF-BO] iter=26 → idx=32, kernel=((PER + SE) * SE), LML=-4946.362
[RBF-BO] iter=27 → idx=82, kernel=((SE * RQ) + RQ), LML=-4946.362
[RBF-BO] iter=28 → idx=171, kernel=(RQ + (PER * PER)), LML=-4946.369
[RBF-BO] iter=29 → idx=117, kernel=(PER * (RQ + PER)), LML=-4946.375
[RBF-BO] iter=30 → idx=166, kernel=(RQ * (SE + RQ)), LML=-4946.361
[RBF-BO] iter=31 → idx=190, kernel=(RQ + RQ), LML=-4946.364
[RBF-BO] iter=32 → idx=143, kernel=(PER + (SE * SE)), LML=-4946.277
[RBF-BO] iter=33 → idx=150, kernel=(RQ * (PER * PER)), LML=-4946.360
[RBF-BO] iter=34 → idx=197, kernel=(SE * (PER + SE)), LML=-4946.362
[RBF-BO] iter=35 → idx=194, kernel=(SE * (PER * SE)), LML=-4946.360
[RBF-BO] iter=36 → idx=189, kernel=(RQ + PER), LML=-4946.370
[RBF-BO] iter=37 → idx=23, kernel=((PER + PER) + SE), LML=-4946.381
[RBF-BO] iter=38 → idx=120, kernel=(PER * (SE * PER)), LML=-4946.360
[RBF-BO] iter=39 → idx=54, kernel=((RQ + PER) * PER), LML=-4946.371
[RBF-BO] iter=40 → idx=212, kernel=(SE * SE), LML=-4946.362
[RBF-BO] iter=41 → idx=1, kernel=((PER * PER) * RQ), LML=-4946.360
[RBF-BO] iter=42 → idx=2, kernel=((PER * PER) * SE), LML=-4946.360
[RBF-BO] iter=43 → idx=19, kernel=((PER + PER) * RQ), LML=-4946.368
[RBF-BO] iter=44 → idx=215, kernel=(SE + (PER * SE)), LML=-4946.361
[RBF-BO] iter=45 → idx=177, kernel=(RQ + (RQ * PER)), LML=-4946.367
[RBF-BO] iter=46 → idx=4, kernel=((PER * PER) + RQ), LML=-4946.369
[RBF-BO] iter=47 → idx=6, kernel=((PER * RQ) * PER), LML=-4946.361
[RBF-BO] iter=48 → idx=144, kernel=(PER + (SE + PER)), LML=-4946.381
[RBF-BO] iter=49 → idx=8, kernel=((PER * RQ) * SE), LML=-4946.360
[RBF-BO] iter=50 → idx=235, kernel=RQ, LML=-4946.366
