iteration,RBF_BO,HyperKappa_BO,Random,LLM-GA_unrestricted_p0.05,LLM-GA_unrestricted_p0.1,LLM-GA_unrestricted_p0.3,LLM-GA_unrestricted_p0.5,LLM-GA_unrestricted_p0.7,LLM-GA_unrestricted_p0.9,LLM-GA_depth3_p0.05,LLM-GA_depth3_p0.1,LLM-GA_depth3_p0.3,LLM-GA_depth3_p0.5,LLM-GA_depth3_p0.7,LLM-GA_depth3_p0.9
0,-4946.3587260022605,-4946.3587260022605,-4946.3587260022605,-4946.3587260022605,-4946.3587260022605,-4946.3587260022605,-4946.3587260022605,-4946.3587260022605,-4946.3587260022605,-4946.3587260022605,-4946.3587260022605,-4946.3587260022605,-4946.3587260022605,-4946.3587260022605,-4946.3587260022605
1,-4946.3587260022605,-4946.3494241371545,-4946.3587260022605,-4946.3587260022605,-4946.3587260022605,-4946.3587260022605,-4946.358093526125,-4946.3587260022605,-4946.3587260022605,-4946.3587260022605,-4946.3587260022605,-4946.3587260022605,-4946.3587260022605,-4946.3587260022605,-4946.352098887667
2,-4946.355081289607,-4946.3494241371545,-4946.354578020691,-4946.3587260022605,-4946.358093526125,-4946.358093526125,-4946.358093526125,-4946.352098869925,-4946.3587260022605,-4946.358725893154,-4946.3478834533535,-4946.3587260022605,-4946.352098887667,-4946.3587260022605,-4946.352098887667
3,-4946.355081289607,-4946.3494241371545,-4946.354578020691,-4946.3587260022605,-4946.358093526125,-4946.358093526125,-4946.358093526125,-4946.352098869925,-4946.352098887667,-4946.358725893154,-4946.3478834533535,-4946.3587260022605,-4946.352098887667,-4946.352098869925,-4946.352098887667
4,-4946.355081289607,-4946.345183735619,-4946.354578020691,-4946.3587260022605,-4946.358093526125,-4946.358093526125,-4946.358093526125,-4946.352098869925,-4946.352098887667,-4946.358725893154,-4946.3478834533535,-4946.3587260022605,-4946.352098887667,-4946.34518376974,-4946.34518376974
5,-4946.355081289607,-4946.345183735619,-4946.354578020691,-4946.3587260022605,-4946.358093526125,-4946.345183735619,-4946.34518376974,-4946.352098869925,-4946.352098887667,-4946.358725893154,-4946.3478834533535,-4946.3587260022605,-4946.352098887667,-4946.34518376974,-4946.34518376974
6,-1.5002339151690267,-4946.345183735619,-4946.354578020691,-4946.3587260022605,-4946.358093526125,-4946.345183735619,-4946.34518376974,-4946.352098869925,-4946.352098887667,-4946.358725893154,-4946.3478834533535,-4946.3587260022605,-4946.352098887667,-4946.34518376974,-4946.34518376974
7,-1.5002339151690267,-4946.345183735619,-4946.354578020691,-4946.3587260022605,-4946.358093526125,-4946.345183735619,-4946.34518376974,-4946.352098869925,-4946.352098887667,-4946.358725893154,-4946.345183735619,-4946.3587260022605,-4946.352098887667,-4946.34518376974,-4946.34518376974
8,-1.5002339151690267,-349.0200069028415,-4946.354578020691,-4946.3587260022605,-4946.358093526125,-4946.345183735619,-4946.34518376974,-4946.352098869925,-4946.352098887667,-4946.358725893154,-4946.345183735619,-4946.3587260022605,-4946.352098887667,-4946.34518376974,-4946.34518376974
9,-1.5002339151690267,-349.0200069028415,-4946.354578020691,-4946.3587260022605,-4946.358093526125,-4946.345183735619,-4946.34518376974,-4946.352098869925,-4946.352098887667,-4946.358725893154,-4946.345183735619,-4946.3587260022605,-4946.352098887667,-4946.34518376974,-4946.34518376974
