Method,Time_seconds,Best_LML,Best_Iteration
RBF-BO,67.73944568634033,-1.5002099522799428,18
HyperKappa-BO,43.025320053100586,-1.5002099522799428,12
Random Search,31.670503854751587,-1.5002099522799428,28
LLM-GA_unrestricted_p0.05,131.1848702430725,-4946.3587260022605,0
LLM-GA_unrestricted_p0.1,157.01048183441162,-4946.345183735619,12
LLM-GA_unrestricted_p0.3,186.51456785202026,-4946.345183735619,5
LLM-GA_unrestricted_p0.5,209.10239005088806,-4946.343466369517,23
LLM-GA_unrestricted_p0.7,210.5672161579132,-4946.343466369517,50
LLM-GA_unrestricted_p0.9,257.88780212402344,-4946.343466369517,22
LLM-GA_depth3_p0.05,130.08375597000122,-4946.34788342038,29
LLM-GA_depth3_p0.1,136.70236229896545,-4946.345183735619,7
LLM-GA_depth3_p0.3,175.03643465042114,-4946.345183735619,12
LLM-GA_depth3_p0.5,173.70169186592102,-4946.343466369517,10
LLM-GA_depth3_p0.7,180.46140480041504,-1.5002099522799428,33
LLM-GA_depth3_p0.9,237.2060616016388,-4946.34518376974,4
