Random Search - Run 4
================================================================================

[Random] iter=01 → idx=50, kernel=((RQ * SE) * SE), LML=-4946.362
[Random] iter=02 → idx=120, kernel=(PER * (SE * PER)), LML=-4946.360
[Random] iter=03 → idx=58, kernel=((RQ + PER) + RQ), LML=-4946.372
[Random] iter=04 → idx=9, kernel=((PER * RQ) + PER), LML=-4946.372
[Random] iter=05 → idx=100, kernel=((SE + RQ) + RQ), LML=-4946.355
[Random] iter=06 → idx=176, kernel=(RQ + (PER + SE)), LML=-4946.355
[Random] iter=07 → idx=235, kernel=RQ, LML=-4946.366
[Random] iter=08 → idx=117, kernel=(PER * (RQ + PER)), LML=-4946.375
[Random] iter=09 → idx=67, kernel=((RQ + SE) * RQ), LML=-4946.361
[Random] iter=10 → idx=180, kernel=(RQ + (RQ + PER)), LML=-4946.449
[Random] iter=11 → idx=164, kernel=(RQ * (SE * SE)), LML=-4946.362
[Random] iter=12 → idx=121, kernel=(PER * (SE * RQ)), LML=-4946.360
[Random] iter=13 → idx=2, kernel=((PER * PER) * SE), LML=-4946.360
[Random] iter=14 → idx=86, kernel=((SE * SE) * SE), LML=-4946.361
[Random] iter=15 → idx=156, kernel=(RQ * (RQ * PER)), LML=-4946.361
[Random] iter=16 → idx=190, kernel=(RQ + RQ), LML=-4946.364
[Random] iter=17 → idx=113, kernel=(PER * (PER + SE)), LML=-4946.361
[Random] iter=18 → idx=225, kernel=(SE + (SE * PER)), LML=-4946.361
[Random] iter=19 → idx=226, kernel=(SE + (SE * RQ)), LML=-4946.348
[Random] iter=20 → idx=126, kernel=(PER * PER), LML=-1.500
[Random] iter=21 → idx=143, kernel=(PER + (SE * SE)), LML=-4946.277
[Random] iter=22 → idx=109, kernel=(PER * (PER * RQ)), LML=-4946.360
[Random] iter=23 → idx=46, kernel=((RQ * RQ) + RQ), LML=-4946.368
[Random] iter=24 → idx=184, kernel=(RQ + (SE * RQ)), LML=-4946.362
[Random] iter=25 → idx=185, kernel=(RQ + (SE * SE)), LML=-4946.359
[Random] iter=26 → idx=207, kernel=(SE * (SE + PER)), LML=-4946.362
[Random] iter=27 → idx=29, kernel=((PER + RQ) + SE), LML=-4946.355
[Random] iter=28 → idx=27, kernel=((PER + RQ) + PER), LML=-4946.380
[Random] iter=29 → idx=212, kernel=(SE * SE), LML=-4946.362
[Random] iter=30 → idx=218, kernel=(SE + (PER + SE)), LML=-4946.359
[Random] iter=31 → idx=43, kernel=((RQ * RQ) * RQ), LML=-4946.360
[Random] iter=32 → idx=53, kernel=((RQ * SE) + SE), LML=-4946.348
[Random] iter=33 → idx=40, kernel=((RQ * PER) + RQ), LML=-4946.367
[Random] iter=34 → idx=18, kernel=((PER + PER) * PER), LML=-1444.690
[Random] iter=35 → idx=147, kernel=(PER + PER), LML=-1.500
[Random] iter=36 → idx=192, kernel=(SE * (PER * PER)), LML=-4946.360
[Random] iter=37 → idx=81, kernel=((SE * RQ) + PER), LML=-4946.363
[Random] iter=38 → idx=14, kernel=((PER * SE) * SE), LML=-4946.360
[Random] iter=39 → idx=144, kernel=(PER + (SE + PER)), LML=-4946.381
[Random] iter=40 → idx=24, kernel=((PER + RQ) * PER), LML=-4946.368
[Random] iter=41 → idx=228, kernel=(SE + (SE + PER)), LML=-4946.359
[Random] iter=42 → idx=44, kernel=((RQ * RQ) * SE), LML=-4946.366
[Random] iter=43 → idx=39, kernel=((RQ * PER) + PER), LML=-4946.360
[Random] iter=44 → idx=137, kernel=(PER + (RQ * SE)), LML=-4946.402
[Random] iter=45 → idx=135, kernel=(PER + (RQ * PER)), LML=-4946.370
[Random] iter=46 → idx=223, kernel=(SE + (RQ + RQ)), LML=-4946.355
[Random] iter=47 → idx=227, kernel=(SE + (SE * SE)), LML=-4946.349
[Random] iter=48 → idx=8, kernel=((PER * RQ) * SE), LML=-4946.360
[Random] iter=49 → idx=210, kernel=(SE * PER), LML=-4946.367
[Random] iter=50 → idx=82, kernel=((SE * RQ) + RQ), LML=-4946.362
