RBF Bayesian Optimization - Run 4
================================================================================

[RBF-BO] iter=01 → idx=192, kernel=(SE * (PER * PER)), LML=-4946.360
[RBF-BO] iter=02 → idx=45, kernel=((RQ * RQ) + PER), LML=-4946.367
[RBF-BO] iter=03 → idx=5, kernel=((PER * PER) + SE), LML=-4946.361
[RBF-BO] iter=04 → idx=16, kernel=((PER * SE) + RQ), LML=-4946.367
[RBF-BO] iter=05 → idx=236, kernel=SE, LML=-4946.361
[RBF-BO] iter=06 → idx=19, kernel=((PER + PER) * RQ), LML=-4946.368
[RBF-BO] iter=07 → idx=120, kernel=(PER * (SE * PER)), LML=-4946.360
[RBF-BO] iter=08 → idx=201, kernel=(SE * (RQ + PER)), LML=-4946.363
[RBF-BO] iter=09 → idx=132, kernel=(PER + (PER + PER)), LML=-1.500
[RBF-BO] iter=10 → idx=21, kernel=((PER + PER) + PER), LML=-1.500
[RBF-BO] iter=11 → idx=234, kernel=PER, LML=-1.500
[RBF-BO] iter=12 → idx=147, kernel=(PER + PER), LML=-1.500
[RBF-BO] iter=13 → idx=3, kernel=((PER * PER) + PER), LML=-1.500
[RBF-BO] iter=14 → idx=129, kernel=(PER + (PER * PER)), LML=-1.500
[RBF-BO] iter=15 → idx=108, kernel=(PER * (PER * PER)), LML=-349.020
[RBF-BO] iter=16 → idx=111, kernel=(PER * (PER + PER)), LML=-1444.964
[RBF-BO] iter=17 → idx=86, kernel=((SE * SE) * SE), LML=-4946.361
[RBF-BO] iter=18 → idx=0, kernel=((PER * PER) * PER), LML=-349.020
[RBF-BO] iter=19 → idx=181, kernel=(RQ + (RQ + RQ)), LML=-4946.363
[RBF-BO] iter=20 → idx=160, kernel=(RQ * (RQ + RQ)), LML=-4946.362
[RBF-BO] iter=21 → idx=225, kernel=(SE + (SE * PER)), LML=-4946.361
[RBF-BO] iter=22 → idx=157, kernel=(RQ * (RQ * RQ)), LML=-4946.360
[RBF-BO] iter=23 → idx=117, kernel=(PER * (RQ + PER)), LML=-4946.375
[RBF-BO] iter=24 → idx=2, kernel=((PER * PER) * SE), LML=-4946.360
[RBF-BO] iter=25 → idx=149, kernel=(PER + SE), LML=-4946.372
[RBF-BO] iter=26 → idx=4, kernel=((PER * PER) + RQ), LML=-4946.369
[RBF-BO] iter=27 → idx=6, kernel=((PER * RQ) * PER), LML=-4946.361
[RBF-BO] iter=28 → idx=7, kernel=((PER * RQ) * RQ), LML=-4946.361
[RBF-BO] iter=29 → idx=8, kernel=((PER * RQ) * SE), LML=-4946.360
[RBF-BO] iter=30 → idx=9, kernel=((PER * RQ) + PER), LML=-4946.372
[RBF-BO] iter=31 → idx=10, kernel=((PER * RQ) + RQ), LML=-4946.367
[RBF-BO] iter=32 → idx=11, kernel=((PER * RQ) + SE), LML=-4946.345
[RBF-BO] iter=33 → idx=12, kernel=((PER * SE) * PER), LML=-4946.360
[RBF-BO] iter=34 → idx=13, kernel=((PER * SE) * RQ), LML=-4946.360
[RBF-BO] iter=35 → idx=14, kernel=((PER * SE) * SE), LML=-4946.360
[RBF-BO] iter=36 → idx=15, kernel=((PER * SE) + PER), LML=-4946.359
[RBF-BO] iter=37 → idx=17, kernel=((PER * SE) + SE), LML=-4946.361
[RBF-BO] iter=38 → idx=18, kernel=((PER + PER) * PER), LML=-1444.690
[RBF-BO] iter=39 → idx=20, kernel=((PER + PER) * SE), LML=-4946.364
[RBF-BO] iter=40 → idx=23, kernel=((PER + PER) + SE), LML=-4946.381
[RBF-BO] iter=41 → idx=24, kernel=((PER + RQ) * PER), LML=-4946.368
[RBF-BO] iter=42 → idx=25, kernel=((PER + RQ) * RQ), LML=-4946.363
[RBF-BO] iter=43 → idx=26, kernel=((PER + RQ) * SE), LML=-4946.363
[RBF-BO] iter=44 → idx=27, kernel=((PER + RQ) + PER), LML=-4946.380
[RBF-BO] iter=45 → idx=28, kernel=((PER + RQ) + RQ), LML=-4946.368
[RBF-BO] iter=46 → idx=29, kernel=((PER + RQ) + SE), LML=-4946.355
[RBF-BO] iter=47 → idx=30, kernel=((PER + SE) * PER), LML=-4946.354
[RBF-BO] iter=48 → idx=31, kernel=((PER + SE) * RQ), LML=-4946.364
[RBF-BO] iter=49 → idx=32, kernel=((PER + SE) * SE), LML=-4946.362
[RBF-BO] iter=50 → idx=33, kernel=((PER + SE) + PER), LML=-4946.381
