HyperKappa Bayesian Optimization - Run 5
================================================================================

[HyperKappa-BO] iter=01 → idx=136, kernel=(PER + (RQ * RQ)), LML=-4946.379
[HyperKappa-BO] iter=02 → idx=21, kernel=((PER + PER) + PER), LML=-1.500
[HyperKappa-BO] iter=03 → idx=234, kernel=PER, LML=-1.500
[HyperKappa-BO] iter=04 → idx=132, kernel=(PER + (PER + PER)), LML=-1.500
[HyperKappa-BO] iter=05 → idx=147, kernel=(PER + PER), LML=-1.500
[HyperKappa-BO] iter=06 → idx=129, kernel=(PER + (PER * PER)), LML=-1.500
[HyperKappa-BO] iter=07 → idx=18, kernel=((PER + PER) * PER), LML=-1444.690
[HyperKappa-BO] iter=08 → idx=3, kernel=((PER * PER) + PER), LML=-1.500
[HyperKappa-BO] iter=09 → idx=5, kernel=((PER * PER) + SE), LML=-4946.361
[HyperKappa-BO] iter=10 → idx=230, kernel=(SE + (SE + SE)), LML=-4946.346
[HyperKappa-BO] iter=11 → idx=112, kernel=(PER * (PER + RQ)), LML=-4946.380
[HyperKappa-BO] iter=12 → idx=108, kernel=(PER * (PER * PER)), LML=-349.020
[HyperKappa-BO] iter=13 → idx=0, kernel=((PER * PER) * PER), LML=-349.020
[HyperKappa-BO] iter=14 → idx=110, kernel=(PER * (PER * SE)), LML=-4946.360
[HyperKappa-BO] iter=15 → idx=130, kernel=(PER + (PER * RQ)), LML=-4946.370
[HyperKappa-BO] iter=16 → idx=206, kernel=(SE * (SE * SE)), LML=-4946.361
[HyperKappa-BO] iter=17 → idx=172, kernel=(RQ + (PER * RQ)), LML=-4946.367
[HyperKappa-BO] iter=18 → idx=174, kernel=(RQ + (PER + PER)), LML=-4946.378
[HyperKappa-BO] iter=19 → idx=181, kernel=(RQ + (RQ + RQ)), LML=-4946.363
[HyperKappa-BO] iter=20 → idx=32, kernel=((PER + SE) * SE), LML=-4946.362
[HyperKappa-BO] iter=21 → idx=35, kernel=((PER + SE) + SE), LML=-4946.359
[HyperKappa-BO] iter=22 → idx=215, kernel=(SE + (PER * SE)), LML=-4946.361
[HyperKappa-BO] iter=23 → idx=4, kernel=((PER * PER) + RQ), LML=-4946.369
[HyperKappa-BO] iter=24 → idx=111, kernel=(PER * (PER + PER)), LML=-1444.964
[HyperKappa-BO] iter=25 → idx=88, kernel=((SE * SE) + RQ), LML=-4946.359
[HyperKappa-BO] iter=26 → idx=58, kernel=((RQ + PER) + RQ), LML=-4946.369
[HyperKappa-BO] iter=27 → idx=89, kernel=((SE * SE) + SE), LML=-4946.349
[HyperKappa-BO] iter=28 → idx=41, kernel=((RQ * PER) + SE), LML=-4946.345
[HyperKappa-BO] iter=29 → idx=149, kernel=(PER + SE), LML=-4946.372
[HyperKappa-BO] iter=30 → idx=126, kernel=(PER * PER), LML=-1.500
[HyperKappa-BO] iter=31 → idx=36, kernel=((RQ * PER) * PER), LML=-4946.360
[HyperKappa-BO] iter=32 → idx=19, kernel=((PER + PER) * RQ), LML=-4946.368
[HyperKappa-BO] iter=33 → idx=43, kernel=((RQ * RQ) * RQ), LML=-4946.360
[HyperKappa-BO] iter=34 → idx=177, kernel=(RQ + (RQ * PER)), LML=-4946.367
[HyperKappa-BO] iter=35 → idx=152, kernel=(RQ * (PER * SE)), LML=-4946.360
[HyperKappa-BO] iter=36 → idx=25, kernel=((PER + RQ) * RQ), LML=-4946.363
[HyperKappa-BO] iter=37 → idx=16, kernel=((PER * SE) + RQ), LML=-4946.367
[HyperKappa-BO] iter=38 → idx=209, kernel=(SE * (SE + SE)), LML=-4946.362
[HyperKappa-BO] iter=39 → idx=213, kernel=(SE + (PER * PER)), LML=-4946.365
[HyperKappa-BO] iter=40 → idx=214, kernel=(SE + (PER * RQ)), LML=-4946.345
[HyperKappa-BO] iter=41 → idx=224, kernel=(SE + (RQ + SE)), LML=-4946.363
[HyperKappa-BO] iter=42 → idx=93, kernel=((SE + PER) + PER), LML=-4946.381
[HyperKappa-BO] iter=43 → idx=15, kernel=((PER * SE) + PER), LML=-4946.359
[HyperKappa-BO] iter=44 → idx=46, kernel=((RQ * RQ) + RQ), LML=-4946.368
[HyperKappa-BO] iter=45 → idx=171, kernel=(RQ + (PER * PER)), LML=-4946.369
[HyperKappa-BO] iter=46 → idx=192, kernel=(SE * (PER * PER)), LML=-4946.360
[HyperKappa-BO] iter=47 → idx=233, kernel=(SE + SE), LML=-4946.361
[HyperKappa-BO] iter=48 → idx=156, kernel=(RQ * (RQ * PER)), LML=-4946.361
[HyperKappa-BO] iter=49 → idx=189, kernel=(RQ + PER), LML=-4946.370
[HyperKappa-BO] iter=50 → idx=113, kernel=(PER * (PER + SE)), LML=-4946.361
