iteration,RBF_BO_mean,RBF_BO_std,HyperKappa_BO_mean,HyperKappa_BO_std,Random_mean,Random_std,LLM-GA_unrestricted_p0.05_mean,LLM-GA_unrestricted_p0.05_std,LLM-GA_unrestricted_p0.1_mean,LLM-GA_unrestricted_p0.1_std,LLM-GA_unrestricted_p0.3_mean,LLM-GA_unrestricted_p0.3_std,LLM-GA_unrestricted_p0.5_mean,LLM-GA_unrestricted_p0.5_std,LLM-GA_unrestricted_p0.7_mean,LLM-GA_unrestricted_p0.7_std,LLM-GA_unrestricted_p0.9_mean,LLM-GA_unrestricted_p0.9_std,LLM-GA_depth3_p0.05_mean,LLM-GA_depth3_p0.05_std,LLM-GA_depth3_p0.1_mean,LLM-GA_depth3_p0.1_std,LLM-GA_depth3_p0.3_mean,LLM-GA_depth3_p0.3_std,LLM-GA_depth3_p0.5_mean,LLM-GA_depth3_p0.5_std,LLM-GA_depth3_p0.7_mean,LLM-GA_depth3_p0.7_std,LLM-GA_depth3_p0.9_mean,LLM-GA_depth3_p0.9_std
0,-2968.4152035750644,2422.475930992779,-2968.4152035750644,2422.475930992779,-2968.4152035750644,2422.475930992779,-2968.4152035750644,2422.475930992779,-2968.4152035750644,2422.475930992779,-2968.4152035750644,2422.475930992779,-2968.4152035750644,2422.475930992779,-2968.4152035750644,2422.475930992779,-2968.4152035750644,2422.475930992779,-2968.4152035750644,2422.475930992779,-2968.4152035750644,2422.475930992779,-2968.4152035750644,2422.475930992779,-2968.4152035750644,2422.475930992779,-2968.4152035750644,2422.475930992779,-2968.4152035750644,2422.475930992779
1,-990.4277633064806,1977.965362350803,-2968.4129668552787,2422.4741183275232,-2968.4152035750644,2422.475930992779,-2968.4152035750644,2422.475930992779,-2628.6242498139845,2232.9457457441813,-2968.4152035750644,2422.475930992779,-2968.3956327840315,2422.4599515747577,-2968.4107515895403,2422.472295967394,-2968.411961753504,2422.473284063832,-2628.621997489942,2232.943407899143,-2968.3885720754015,2422.4941438927453,-2968.3930950533913,2422.497836881336,-2968.393376291532,2422.4980665103867,-2968.392386794015,2422.4972585928,-2968.3857709477097,2422.4918568366243
2,-990.3778735999442,1977.9903066728737,-1979.4167276676963,2422.493186116535,-2968.4054133980726,2422.4679374126176,-2968.4152035750644,2422.475930992779,-2628.614469197205,2232.9355938044755,-2968.4152035750644,2422.475930992779,-2968.39106494932,2422.456221906154,-2968.4107515895403,2422.472295967394,-2968.411961753504,2422.473284063832,-2628.600160648936,2232.9640908573374,-2968.3875825778837,2422.493335971888,-2968.3858479987957,2422.49191974753,-2968.391102180919,2422.4962097068083,-2968.372810721718,2422.521234089221,-2968.3661826463167,2422.5158223479457
3,-990.3729120799524,1977.992787406962,-1979.3826803674947,2422.5134211333097,-2968.4054133980726,2422.4679374126176,-2968.4129416935475,2422.474084177759,-2628.614469197205,2232.9355938044755,-2968.4152035750644,2422.475930992779,-2968.39106494932,2422.456221906154,-2968.40217157925,2422.4652904640707,-2968.3872074139567,2422.493031924899,-2628.600160648936,2232.9640908573374,-2968.3875825778837,2422.493335971888,-2968.385835769699,2422.4919097624324,-2968.375541846798,2422.483504865615,-2967.952117482384,2422.1778603358885,-2968.3615858191433,2422.5120690372964
4,-1.3851932250709451,0.024298276540759906,-1979.353948256327,2422.5368802885578,-2968.389346740375,2422.4876151024378,-2968.4129416935475,2422.474084177759,-2628.6083910674015,2232.9292848471846,-2968.4152035750644,2422.475930992779,-2968.39106494932,2422.456221906154,-2968.40217157925,2422.4652904640707,-2968.367631697963,2422.517006984931,-2628.600160648936,2232.9640908573374,-2968.3875825778837,2422.493335971888,-2968.385835769699,2422.4919097624324,-2968.375541846798,2422.483504865615,-1979.3815750888946,2422.5199062348274,-2968.356363476863,2422.507805028667
5,-1.374449754398793,0.026142206113471855,-1979.3485566411814,2422.5388979589097,-2968.359981460453,2422.503595841988,-2968.410047408723,2422.471721018848,-2628.6083910674015,2232.9292848471846,-2968.4152035750644,2422.475930992779,-2968.385842607039,2422.4519578627737,-2968.40217157925,2422.4652904640707,-2968.3630033634436,2422.5132280028256,-2628.599171151418,2232.9630637904243,-2968.3875825778837,2422.493335971888,-2968.3812801640843,2422.4881901096946,-2968.375541846798,2422.483504865615,-1979.3815750888946,2422.5199062348274,-2968.356363476863,2422.507805028667
6,-1.374449754398793,0.026142206113471855,-1979.3485566411814,2422.5388979589097,-2968.359981460453,2422.503595841988,-2968.410047408723,2422.471721018848,-2628.588815351408,2232.9523164876314,-2968.414443893671,2422.4753107159104,-2968.385842607039,2422.4519578627737,-2968.3825958632565,2422.4892659195793,-2968.36293461304,2422.5131718677444,-2628.5795955758813,2232.9860948363703,-2968.3868228964902,2422.492715690814,-2968.3812801640843,2422.4881901096946,-2968.375541846798,2422.483504865615,-1979.3803649249312,2422.5184240894146,-2968.356363476863,2422.507805028667
7,-1.3686677043890012,0.027952595406606696,-1.3836289942716082,0.058378636085340274,-2968.359981460453,2422.503595841988,-2968.406805587162,2422.4690740784004,-2628.5692395929364,2232.97534776887,-2968.4046632768914,2422.4673249365824,-2968.385842607039,2422.4519578627737,-2968.3824334007827,2422.489133268085,-2968.3532296139683,2422.5052477480435,-2628.5795955758813,2232.9860948363703,-2968.3868228964902,2422.492715690814,-2968.3760166002457,2422.4838924436754,-2968.375541846798,2422.483504865615,-1979.3803649249312,2422.5184240894146,-2968.356363476863,2422.507805028667
8,-1.3628857537084649,0.028503111402980074,-1.3640541490309879,0.019387238262797115,-2968.3599787915687,2422.503593662817,-2968.4036455194337,2422.4664939037025,-2628.5692395929364,2232.97534776887,-2968.4046632768914,2422.4673249365824,-2968.385842607039,2422.4519578627737,-2968.3824334007827,2422.489133268085,-2968.3532296139683,2422.5052477480435,-2628.5795955758813,2232.9860948363703,-2968.3868228964902,2422.492715690814,-2968.3760166002457,2422.4838924436754,-2968.3745523492803,2422.4826969358874,-1979.3803649249312,2422.5184240894146,-2968.356363476863,2422.507805028667
9,-1.3628857537084649,0.028503111402980074,-1.3575332123584933,0.010594929294461495,-2968.3599787915687,2422.503593662817,-2968.4036455194337,2422.4664939037025,-2628.5692395929364,2232.97534776887,-2968.4046632768914,2422.4673249365824,-2968.366266891046,2422.475933318284,-2968.3824334007827,2422.489133268085,-2968.3532296139683,2422.5052477480435,-2628.5795955758813,2232.9860948363703,-2968.3868228964902,2422.492715690814,-2968.3760166002457,2422.4838924436754,-2968.3745523492803,2422.4826969358874,-1979.3803649249312,2422.5184240894146,-2968.356363476863,2422.507805028667
