Run,Method,Time_seconds,Best_LML,Best_Iteration
1,RBF-BO,96.28487825393677,-1.348634198006975,2
1,HyperKappa-BO,63.967042684555054,-1.348634198006975,9
1,Random Search,88.2334520816803,-1.402355904690275,12
1,LLM-GA_unrestricted_p0.05,191.2875635623932,-1.4023515513677358,19
1,LLM-GA_unrestricted_p0.1,234.23418617248535,-1.4023515513677358,6
1,LLM-GA_unrestricted_p0.3,238.73193430900574,-1.4023515513677358,15
1,LLM-GA_unrestricted_p0.5,277.3393039703369,-1.4023515513677358,9
1,LLM-GA_unrestricted_p0.7,318.84208607673645,-1.4023515513677358,6
1,LLM-GA_unrestricted_p0.9,375.9079396724701,-1.4023249801136461,26
1,LLM-GA_depth3_p0.05,192.43841409683228,-1.4023515513677358,38
1,LLM-GA_depth3_p0.1,190.88613271713257,-1.4023553338908037,1
1,LLM-GA_depth3_p0.3,233.72452878952026,-1.4023553338908037,1
1,LLM-GA_depth3_p0.5,298.755530834198,-1.4023553338908037,1
1,LLM-GA_depth3_p0.7,303.61783242225647,-1.4023515513677358,20
1,LLM-GA_depth3_p0.9,360.4145681858063,-1.4023553338908037,1
2,RBF-BO,118.18211770057678,-1.348634198006975,7
2,HyperKappa-BO,58.42009425163269,-1.348634198006975,16
2,Random Search,55.96873497962952,-1.348634198006975,24
2,LLM-GA_unrestricted_p0.05,185.53403544425964,-3247.4037657432286,35
2,LLM-GA_unrestricted_p0.1,191.17614769935608,-3247.4037657432286,1
2,LLM-GA_unrestricted_p0.3,262.0818223953247,-4946.254082959754,31
2,LLM-GA_unrestricted_p0.5,360.2084469795227,-4946.2591759210845,19
2,LLM-GA_unrestricted_p0.7,333.92473912239075,-4946.189933021949,47
2,LLM-GA_unrestricted_p0.9,332.44622921943665,-4946.2591759210845,47
2,LLM-GA_depth3_p0.05,158.7715549468994,-3247.4037657432286,1
2,LLM-GA_depth3_p0.1,208.1121528148651,-1.4023563845095544,25
2,LLM-GA_depth3_p0.3,192.15273022651672,-4946.280671732538,17
2,LLM-GA_depth3_p0.5,220.81923961639404,-1.4023563845095544,10
2,LLM-GA_depth3_p0.7,253.0547878742218,-1.4023563845095544,4
2,LLM-GA_depth3_p0.9,245.5591971874237,-1.5001985866832366,12
3,RBF-BO,79.46669411659241,-1.348634198006975,22
3,HyperKappa-BO,83.59440302848816,-1.3564268571844298,25
3,Random Search,52.318907260894775,-1.348634198006975,12
3,LLM-GA_unrestricted_p0.05,289.548376083374,-4945.173888566478,19
3,LLM-GA_unrestricted_p0.1,184.91712284088135,-4946.30958366367,2
3,LLM-GA_unrestricted_p0.3,256.1052260398865,-4946.2591759210845,43
3,LLM-GA_unrestricted_p0.5,298.1497538089752,-4946.30958366367,1
3,LLM-GA_unrestricted_p0.7,339.2878580093384,-4946.30958366367,10
3,LLM-GA_unrestricted_p0.9,332.91033482551575,-4946.30958366367,10
3,LLM-GA_depth3_p0.05,166.73199152946472,-1.4023569004091916,15
3,LLM-GA_depth3_p0.1,218.65583896636963,-4946.30958366367,29
3,LLM-GA_depth3_p0.3,252.2078742980957,-4946.309198408241,18
3,LLM-GA_depth3_p0.5,255.79311990737915,-4946.30958366367,18
3,LLM-GA_depth3_p0.7,287.551064491272,-1.4023569004091916,37
3,LLM-GA_depth3_p0.9,374.03698563575745,-4946.309198408241,1
4,RBF-BO,93.03716492652893,-1.348634198006975,8
4,HyperKappa-BO,52.03466033935547,-1.348634198006975,3
4,Random Search,50.68640923500061,-1.3564268571844298,34
4,LLM-GA_unrestricted_p0.05,205.70230770111084,-1.4023540351684027,32
4,LLM-GA_unrestricted_p0.1,216.72866082191467,-1.4023515513677358,22
4,LLM-GA_unrestricted_p0.3,296.07222390174866,-1.4023531204930302,42
4,LLM-GA_unrestricted_p0.5,219.17288088798523,-1.4023515513677358,38
4,LLM-GA_unrestricted_p0.7,303.4916889667511,-1.4023531204930302,48
4,LLM-GA_unrestricted_p0.9,339.004679441452,-1.4023515513677358,3
4,LLM-GA_depth3_p0.05,180.10941338539124,-1.4023515513677358,20
4,LLM-GA_depth3_p0.1,251.15997052192688,-1.4023515513677358,48
4,LLM-GA_depth3_p0.3,231.98597764968872,-1.4023515513677358,19
4,LLM-GA_depth3_p0.5,235.03501152992249,-1.4023515513677358,15
4,LLM-GA_depth3_p0.7,251.42678904533386,-1.4023515513677358,2
4,LLM-GA_depth3_p0.9,273.27792596817017,-1.4023515513677358,2
5,RBF-BO,87.66041970252991,-1.348634198006975,5
5,HyperKappa-BO,53.666532039642334,-1.348634198006975,11
5,Random Search,65.9842791557312,-1.3775439514096572,50
5,LLM-GA_unrestricted_p0.05,219.6400706768036,-4946.324683028248,35
5,LLM-GA_unrestricted_p0.1,240.08088874816895,-4946.2591759210845,33
5,LLM-GA_unrestricted_p0.3,240.46660661697388,-4946.30958366367,15
5,LLM-GA_unrestricted_p0.5,273.69200348854065,-4946.30958366367,1
5,LLM-GA_unrestricted_p0.7,344.34138441085815,-4946.2591759210845,23
5,LLM-GA_unrestricted_p0.9,423.45792984962463,-4946.278711409332,38
5,LLM-GA_depth3_p0.05,172.56327319145203,-4946.309198408241,20
5,LLM-GA_depth3_p0.1,180.5180697441101,-4946.30958366367,15
5,LLM-GA_depth3_p0.3,223.77303767204285,-1.5001985866832366,50
5,LLM-GA_depth3_p0.5,264.55509400367737,-4946.30958366367,21
5,LLM-GA_depth3_p0.7,280.78393030166626,-4946.30958366367,28
5,LLM-GA_depth3_p0.9,328.68361806869507,-4946.30958366367,17
