HyperKappa Bayesian Optimization - Run 1
================================================================================

[HyperKappa-BO] iter=01 → idx=132, kernel=(PER + (PER + PER)), LML=-1.500
[HyperKappa-BO] iter=02 → idx=129, kernel=(PER + (PER * PER)), LML=-1.500
[HyperKappa-BO] iter=03 → idx=126, kernel=(PER * PER), LML=-1.500
[HyperKappa-BO] iter=04 → idx=108, kernel=(PER * (PER * PER)), LML=-1.378
[HyperKappa-BO] iter=05 → idx=18, kernel=((PER + PER) * PER), LML=-1.356
[HyperKappa-BO] iter=06 → idx=0, kernel=((PER * PER) * PER), LML=-1.378
[HyperKappa-BO] iter=07 → idx=21, kernel=((PER + PER) + PER), LML=-1.500
[HyperKappa-BO] iter=08 → idx=234, kernel=PER, LML=-1.500
[HyperKappa-BO] iter=09 → idx=147, kernel=(PER + PER), LML=-1.349
[HyperKappa-BO] iter=10 → idx=111, kernel=(PER * (PER + PER)), LML=-1.356
[HyperKappa-BO] iter=11 → idx=171, kernel=(RQ + (PER * PER)), LML=-4946.378
[HyperKappa-BO] iter=12 → idx=143, kernel=(PER + (SE * SE)), LML=-4946.362
[HyperKappa-BO] iter=13 → idx=24, kernel=((PER + RQ) * PER), LML=-4946.368
[HyperKappa-BO] iter=14 → idx=230, kernel=(SE + (SE + SE)), LML=-1.402
[HyperKappa-BO] iter=15 → idx=233, kernel=(SE + SE), LML=-1.402
[HyperKappa-BO] iter=16 → idx=236, kernel=SE, LML=-1.402
[HyperKappa-BO] iter=17 → idx=209, kernel=(SE * (SE + SE)), LML=-4946.358
[HyperKappa-BO] iter=18 → idx=107, kernel=((SE + SE) + SE), LML=-1.402
[HyperKappa-BO] iter=19 → idx=224, kernel=(SE + (RQ + SE)), LML=-4946.372
[HyperKappa-BO] iter=20 → idx=35, kernel=((PER + SE) + SE), LML=-1.420
[HyperKappa-BO] iter=21 → idx=105, kernel=((SE + SE) + PER), LML=-1.420
[HyperKappa-BO] iter=22 → idx=5, kernel=((PER * PER) + SE), LML=-1.402
[HyperKappa-BO] iter=23 → idx=213, kernel=(SE + (PER * PER)), LML=-1.402
[HyperKappa-BO] iter=24 → idx=23, kernel=((PER + PER) + SE), LML=-1.402
[HyperKappa-BO] iter=25 → idx=149, kernel=(PER + SE), LML=-76.696
[HyperKappa-BO] iter=26 → idx=124, kernel=(PER * (SE + RQ)), LML=-4946.347
[HyperKappa-BO] iter=27 → idx=216, kernel=(SE + (PER + PER)), LML=-1.402
[HyperKappa-BO] iter=28 → idx=144, kernel=(PER + (SE + PER)), LML=-1.402
[HyperKappa-BO] iter=29 → idx=93, kernel=((SE + PER) + PER), LML=-1.402
[HyperKappa-BO] iter=30 → idx=228, kernel=(SE + (SE + PER)), LML=-1.420
[HyperKappa-BO] iter=31 → idx=138, kernel=(PER + (RQ + PER)), LML=-4946.394
[HyperKappa-BO] iter=32 → idx=74, kernel=((SE * PER) * SE), LML=-4946.359
[HyperKappa-BO] iter=33 → idx=33, kernel=((PER + SE) + PER), LML=-1.402
[HyperKappa-BO] iter=34 → idx=9, kernel=((PER * RQ) + PER), LML=-4946.351
[HyperKappa-BO] iter=35 → idx=95, kernel=((SE + PER) + SE), LML=-1.420
[HyperKappa-BO] iter=36 → idx=218, kernel=(SE + (PER + SE)), LML=-1.420
[HyperKappa-BO] iter=37 → idx=146, kernel=(PER + (SE + SE)), LML=-1.420
[HyperKappa-BO] iter=38 → idx=41, kernel=((RQ * PER) + SE), LML=-4946.289
[HyperKappa-BO] iter=39 → idx=231, kernel=(SE + PER), LML=-4946.336
[HyperKappa-BO] iter=40 → idx=134, kernel=(PER + (PER + SE)), LML=-1.402
[HyperKappa-BO] iter=41 → idx=197, kernel=(SE * (PER + SE)), LML=-4946.358
[HyperKappa-BO] iter=42 → idx=89, kernel=((SE * SE) + SE), LML=-4946.360
[HyperKappa-BO] iter=43 → idx=136, kernel=(PER + (RQ * RQ)), LML=-4946.363
[HyperKappa-BO] iter=44 → idx=164, kernel=(RQ * (SE * SE)), LML=-4946.359
[HyperKappa-BO] iter=45 → idx=36, kernel=((RQ * PER) * PER), LML=-4946.352
[HyperKappa-BO] iter=46 → idx=152, kernel=(RQ * (PER * SE)), LML=-4946.359
[HyperKappa-BO] iter=47 → idx=190, kernel=(RQ + RQ), LML=-4946.381
[HyperKappa-BO] iter=48 → idx=57, kernel=((RQ + PER) + PER), LML=-4946.393
[HyperKappa-BO] iter=49 → idx=88, kernel=((SE * SE) + RQ), LML=-4946.359
[HyperKappa-BO] iter=50 → idx=229, kernel=(SE + (SE + RQ)), LML=-4946.372
