RBF Bayesian Optimization - Run 1
================================================================================

[RBF-BO] iter=01 → idx=234, kernel=PER, LML=-1.500
[RBF-BO] iter=02 → idx=147, kernel=(PER + PER), LML=-1.349
[RBF-BO] iter=03 → idx=111, kernel=(PER * (PER + PER)), LML=-1.356
[RBF-BO] iter=04 → idx=129, kernel=(PER + (PER * PER)), LML=-1.500
[RBF-BO] iter=05 → idx=18, kernel=((PER + PER) * PER), LML=-1.356
[RBF-BO] iter=06 → idx=126, kernel=(PER * PER), LML=-1.500
[RBF-BO] iter=07 → idx=21, kernel=((PER + PER) + PER), LML=-1.500
[RBF-BO] iter=08 → idx=108, kernel=(PER * (PER * PER)), LML=-1.378
[RBF-BO] iter=09 → idx=0, kernel=((PER * PER) * PER), LML=-1.378
[RBF-BO] iter=10 → idx=132, kernel=(PER + (PER + PER)), LML=-1.500
[RBF-BO] iter=11 → idx=86, kernel=((SE * SE) * SE), LML=-4946.358
[RBF-BO] iter=12 → idx=160, kernel=(RQ * (RQ + RQ)), LML=-4946.375
[RBF-BO] iter=13 → idx=236, kernel=SE, LML=-1.402
[RBF-BO] iter=14 → idx=188, kernel=(RQ + (SE + SE)), LML=-4946.372
[RBF-BO] iter=15 → idx=45, kernel=((RQ * RQ) + PER), LML=-4946.430
[RBF-BO] iter=16 → idx=230, kernel=(SE + (SE + SE)), LML=-1.402
[RBF-BO] iter=17 → idx=105, kernel=((SE + SE) + PER), LML=-1.420
[RBF-BO] iter=18 → idx=64, kernel=((RQ + RQ) + RQ), LML=-4946.381
[RBF-BO] iter=19 → idx=15, kernel=((PER * SE) + PER), LML=-4946.352
[RBF-BO] iter=20 → idx=216, kernel=(SE + (PER + PER)), LML=-1.402
[RBF-BO] iter=21 → idx=23, kernel=((PER + PER) + SE), LML=-1.402
[RBF-BO] iter=22 → idx=228, kernel=(SE + (SE + PER)), LML=-1.420
[RBF-BO] iter=23 → idx=35, kernel=((PER + SE) + SE), LML=-1.420
[RBF-BO] iter=24 → idx=146, kernel=(PER + (SE + SE)), LML=-1.420
[RBF-BO] iter=25 → idx=95, kernel=((SE + PER) + SE), LML=-1.420
[RBF-BO] iter=26 → idx=207, kernel=(SE * (SE + PER)), LML=-4946.359
[RBF-BO] iter=27 → idx=218, kernel=(SE + (PER + SE)), LML=-1.420
[RBF-BO] iter=28 → idx=149, kernel=(PER + SE), LML=-76.696
[RBF-BO] iter=29 → idx=89, kernel=((SE * SE) + SE), LML=-4946.360
[RBF-BO] iter=30 → idx=186, kernel=(RQ + (SE + PER)), LML=-4946.381
[RBF-BO] iter=31 → idx=233, kernel=(SE + SE), LML=-1.402
[RBF-BO] iter=32 → idx=112, kernel=(PER * (PER + RQ)), LML=-4946.368
[RBF-BO] iter=33 → idx=76, kernel=((SE * PER) + RQ), LML=-4946.360
[RBF-BO] iter=34 → idx=231, kernel=(SE + PER), LML=-4946.336
[RBF-BO] iter=35 → idx=107, kernel=((SE + SE) + SE), LML=-1.402
[RBF-BO] iter=36 → idx=70, kernel=((RQ + SE) + RQ), LML=-4946.381
[RBF-BO] iter=37 → idx=144, kernel=(PER + (SE + PER)), LML=-1.402
[RBF-BO] iter=38 → idx=143, kernel=(PER + (SE * SE)), LML=-4946.362
[RBF-BO] iter=39 → idx=33, kernel=((PER + SE) + PER), LML=-1.402
[RBF-BO] iter=40 → idx=60, kernel=((RQ + RQ) * PER), LML=-4946.331
[RBF-BO] iter=41 → idx=134, kernel=(PER + (PER + SE)), LML=-1.402
[RBF-BO] iter=42 → idx=93, kernel=((SE + PER) + PER), LML=-1.402
[RBF-BO] iter=43 → idx=27, kernel=((PER + RQ) + PER), LML=-4946.394
[RBF-BO] iter=44 → idx=109, kernel=(PER * (PER * RQ)), LML=-4946.399
[RBF-BO] iter=45 → idx=20, kernel=((PER + PER) * SE), LML=-4946.359
[RBF-BO] iter=46 → idx=171, kernel=(RQ + (PER * PER)), LML=-4946.378
[RBF-BO] iter=47 → idx=194, kernel=(SE * (PER * SE)), LML=-4946.359
[RBF-BO] iter=48 → idx=178, kernel=(RQ + (RQ * RQ)), LML=-4946.377
[RBF-BO] iter=49 → idx=161, kernel=(RQ * (RQ + SE)), LML=-4946.359
[RBF-BO] iter=50 → idx=190, kernel=(RQ + RQ), LML=-4946.381
