iteration,RBF_BO,HyperKappa_BO,Random,LLM-GA_unrestricted_p0.05,LLM-GA_unrestricted_p0.1,LLM-GA_unrestricted_p0.3,LLM-GA_unrestricted_p0.5,LLM-GA_unrestricted_p0.7,LLM-GA_unrestricted_p0.9,LLM-GA_depth3_p0.05,LLM-GA_depth3_p0.1,LLM-GA_depth3_p0.3,LLM-GA_depth3_p0.5,LLM-GA_depth3_p0.7,LLM-GA_depth3_p0.9
0,-1.5002301313360624,-1.5002301313360624,-1.5002301313360624,-1.5002301313360624,-1.5002301313360624,-1.5002301313360624,-1.5002301313360624,-1.5002301313360624,-1.5002301313360624,-1.5002301313360624,-1.5002301313360624,-1.5002301313360624,-1.5002301313360624,-1.5002301313360624,-1.5002301313360624
1,-1.5001985866832366,-1.5002301313360624,-1.5002301313360624,-1.5002301313360624,-1.5002301313360624,-1.5002301313360624,-1.5002301313360624,-1.5002301313360624,-1.5002301313360624,-1.5002301313360624,-1.4023553338908037,-1.4023553338908037,-1.4023553338908037,-1.4023553338908037,-1.4023553338908037
2,-1.348634198006975,-1.5002301308933763,-1.5002301313360624,-1.5002301313360624,-1.5002301313360624,-1.5002301313360624,-1.5002301313360624,-1.5002301313360624,-1.5002301313360624,-1.4023553338908037,-1.4023553338908037,-1.4023553338908037,-1.4023553338908037,-1.4023553338908037,-1.4023553338908037
3,-1.348634198006975,-1.5000874839267824,-1.5002301313360624,-1.5002301313360624,-1.5002301313360624,-1.5002301313360624,-1.5002301313360624,-1.5002301313360624,-1.5002301313360624,-1.4023553338908037,-1.4023553338908037,-1.4023553338908037,-1.4023553338908037,-1.4023553338908037,-1.4023553338908037
4,-1.348634198006975,-1.3775439514096572,-1.4198968428460221,-1.5002301313360624,-1.5002301313360624,-1.5002301313360624,-1.5002301313360624,-1.5002301313360624,-1.4023515513677358,-1.4023553338908037,-1.4023553338908037,-1.4023553338908037,-1.4023553338908037,-1.4023553338908037,-1.4023553338908037
5,-1.348634198006975,-1.3564268571844298,-1.4198968428460221,-1.5002301313360624,-1.5002301313360624,-1.5002301313360624,-1.5002301313360624,-1.5002301313360624,-1.4023515513677358,-1.4023553338908037,-1.4023553338908037,-1.4023553338908037,-1.4023553338908037,-1.4023553338908037,-1.4023553338908037
6,-1.348634198006975,-1.3564268571844298,-1.4198968428460221,-1.5002301313360624,-1.4023515513677358,-1.5002301313360624,-1.5002301313360624,-1.4023515513677358,-1.4023515513677358,-1.4023553338908037,-1.4023553338908037,-1.4023553338908037,-1.4023553338908037,-1.4023553338908037,-1.4023553338908037
7,-1.348634198006975,-1.3564268571844298,-1.4198968428460221,-1.5002301313360624,-1.4023515513677358,-1.5002301313360624,-1.5002301313360624,-1.4023515513677358,-1.4023515513677358,-1.4023553338908037,-1.4023553338908037,-1.4023553338908037,-1.4023553338908037,-1.4023553338908037,-1.4023553338908037
8,-1.348634198006975,-1.3564268571844298,-1.4198968428460221,-1.5002301313360624,-1.4023515513677358,-1.5002301313360624,-1.5002301313360624,-1.4023515513677358,-1.4023515513677358,-1.4023553338908037,-1.4023553338908037,-1.4023553338908037,-1.4023553338908037,-1.4023553338908037,-1.4023553338908037
9,-1.348634198006975,-1.348634198006975,-1.4198968428460221,-1.5002301313360624,-1.4023515513677358,-1.5002301313360624,-1.4023515513677358,-1.4023515513677358,-1.4023515513677358,-1.4023553338908037,-1.4023553338908037,-1.4023553338908037,-1.4023553338908037,-1.4023553338908037,-1.4023553338908037
10,-1.348634198006975,-1.348634198006975,-1.4198968428460221,-1.5002301313360624,-1.4023515513677358,-1.5002301313360624,-1.4023515513677358,-1.4023515513677358,-1.4023515513677358,-1.4023553338908037,-1.4023553338908037,-1.4023553338908037,-1.4023553338908037,-1.4023553338908037,-1.4023553338908037
11,-1.348634198006975,-1.348634198006975,-1.4198968428460221,-1.5002301313360624,-1.4023515513677358,-1.5002301313360624,-1.4023515513677358,-1.4023515513677358,-1.4023515513677358,-1.4023553338908037,-1.4023553338908037,-1.4023553338908037,-1.4023553338908037,-1.4023553338908037,-1.4023553338908037
12,-1.348634198006975,-1.348634198006975,-1.402355904690275,-1.5002301313360624,-1.4023515513677358,-1.5002301313360624,-1.4023515513677358,-1.4023515513677358,-1.4023515513677358,-1.4023553338908037,-1.4023553338908037,-1.4023553338908037,-1.4023553338908037,-1.4023553338908037,-1.4023553338908037
13,-1.348634198006975,-1.348634198006975,-1.402355904690275,-1.5002301313360624,-1.4023515513677358,-1.5002301313360624,-1.4023515513677358,-1.4023515513677358,-1.4023515513677358,-1.4023553338908037,-1.4023553338908037,-1.4023553338908037,-1.4023553338908037,-1.4023553338908037,-1.4023553338908037
14,-1.348634198006975,-1.348634198006975,-1.402355904690275,-1.5002301313360624,-1.4023515513677358,-1.5002301313360624,-1.4023515513677358,-1.4023515513677358,-1.4023515513677358,-1.4023553338908037,-1.4023553338908037,-1.4023553338908037,-1.4023553338908037,-1.4023553338908037,-1.4023553338908037
15,-1.348634198006975,-1.348634198006975,-1.402355904690275,-1.5002301313360624,-1.4023515513677358,-1.4023515513677358,-1.4023515513677358,-1.4023515513677358,-1.4023515513677358,-1.4023553338908037,-1.4023553338908037,-1.4023553338908037,-1.4023553338908037,-1.4023553338908037,-1.4023553338908037
16,-1.348634198006975,-1.348634198006975,-1.402355904690275,-1.5002301313360624,-1.4023515513677358,-1.4023515513677358,-1.4023515513677358,-1.4023515513677358,-1.4023515513677358,-1.4023553338908037,-1.4023553338908037,-1.4023553338908037,-1.4023553338908037,-1.4023553338908037,-1.4023553338908037
17,-1.348634198006975,-1.348634198006975,-1.402355904690275,-1.5002301313360624,-1.4023515513677358,-1.4023515513677358,-1.4023515513677358,-1.4023515513677358,-1.4023515513677358,-1.4023553338908037,-1.4023553338908037,-1.4023553338908037,-1.4023553338908037,-1.4023553338908037,-1.4023553338908037
18,-1.348634198006975,-1.348634198006975,-1.402355904690275,-1.5002301313360624,-1.4023515513677358,-1.4023515513677358,-1.4023515513677358,-1.4023515513677358,-1.4023515513677358,-1.4023553338908037,-1.4023553338908037,-1.4023553338908037,-1.4023553338908037,-1.4023553338908037,-1.4023553338908037
19,-1.348634198006975,-1.348634198006975,-1.402355904690275,-1.4023515513677358,-1.4023515513677358,-1.4023515513677358,-1.4023515513677358,-1.4023515513677358,-1.4023515513677358,-1.4023553338908037,-1.4023553338908037,-1.4023553338908037,-1.4023553338908037,-1.4023553338908037,-1.4023553338908037
20,-1.348634198006975,-1.348634198006975,-1.402355904690275,-1.4023515513677358,-1.4023515513677358,-1.4023515513677358,-1.4023515513677358,-1.4023515513677358,-1.4023515513677358,-1.4023553338908037,-1.4023553338908037,-1.4023553338908037,-1.4023553338908037,-1.4023515513677358,-1.4023553338908037
21,-1.348634198006975,-1.348634198006975,-1.402355904690275,-1.4023515513677358,-1.4023515513677358,-1.4023515513677358,-1.4023515513677358,-1.4023515513677358,-1.4023515513677358,-1.4023553338908037,-1.4023553338908037,-1.4023553338908037,-1.4023553338908037,-1.4023515513677358,-1.4023553338908037
22,-1.348634198006975,-1.348634198006975,-1.402355904690275,-1.4023515513677358,-1.4023515513677358,-1.4023515513677358,-1.4023515513677358,-1.4023515513677358,-1.4023515513677358,-1.4023553338908037,-1.4023553338908037,-1.4023553338908037,-1.4023553338908037,-1.4023515513677358,-1.4023553338908037
23,-1.348634198006975,-1.348634198006975,-1.402355904690275,-1.4023515513677358,-1.4023515513677358,-1.4023515513677358,-1.4023515513677358,-1.4023515513677358,-1.4023515513677358,-1.4023553338908037,-1.4023553338908037,-1.4023553338908037,-1.4023553338908037,-1.4023515513677358,-1.4023553338908037
24,-1.348634198006975,-1.348634198006975,-1.402355904690275,-1.4023515513677358,-1.4023515513677358,-1.4023515513677358,-1.4023515513677358,-1.4023515513677358,-1.4023515513677358,-1.4023553338908037,-1.4023553338908037,-1.4023553338908037,-1.4023553338908037,-1.4023515513677358,-1.4023553338908037
25,-1.348634198006975,-1.348634198006975,-1.402355904690275,-1.4023515513677358,-1.4023515513677358,-1.4023515513677358,-1.4023515513677358,-1.4023515513677358,-1.4023515513677358,-1.4023553338908037,-1.4023553338908037,-1.4023553338908037,-1.4023553338908037,-1.4023515513677358,-1.4023553338908037
26,-1.348634198006975,-1.348634198006975,-1.402355904690275,-1.4023515513677358,-1.4023515513677358,-1.4023515513677358,-1.4023515513677358,-1.4023515513677358,-1.4023249801136461,-1.4023553338908037,-1.4023553338908037,-1.4023553338908037,-1.4023553338908037,-1.4023515513677358,-1.4023553338908037
27,-1.348634198006975,-1.348634198006975,-1.402355904690275,-1.4023515513677358,-1.4023515513677358,-1.4023515513677358,-1.4023515513677358,-1.4023515513677358,-1.4023249801136461,-1.4023553338908037,-1.4023553338908037,-1.4023553338908037,-1.4023553338908037,-1.4023515513677358,-1.4023553338908037
