Method,Time_seconds,Best_LML,Best_Iteration
RBF-BO,96.28487825393677,-1.348634198006975,2
HyperKappa-BO,63.967042684555054,-1.348634198006975,9
Random Search,88.2334520816803,-1.402355904690275,12
LLM-GA_unrestricted_p0.05,191.2875635623932,-1.4023515513677358,19
LLM-GA_unrestricted_p0.1,234.23418617248535,-1.4023515513677358,6
LLM-GA_unrestricted_p0.3,238.73193430900574,-1.4023515513677358,15
LLM-GA_unrestricted_p0.5,277.3393039703369,-1.4023515513677358,9
LLM-GA_unrestricted_p0.7,318.84208607673645,-1.4023515513677358,6
LLM-GA_unrestricted_p0.9,375.9079396724701,-1.4023249801136461,26
LLM-GA_depth3_p0.05,192.43841409683228,-1.4023515513677358,38
LLM-GA_depth3_p0.1,190.88613271713257,-1.4023553338908037,1
LLM-GA_depth3_p0.3,233.72452878952026,-1.4023553338908037,1
LLM-GA_depth3_p0.5,298.755530834198,-1.4023553338908037,1
LLM-GA_depth3_p0.7,303.61783242225647,-1.4023515513677358,20
LLM-GA_depth3_p0.9,360.4145681858063,-1.4023553338908037,1
