Random Search - Run 2
================================================================================

[Random] iter=01 → idx=125, kernel=(PER * (SE + SE)), LML=-4946.359
[Random] iter=02 → idx=91, kernel=((SE + PER) * RQ), LML=-4946.310
[Random] iter=03 → idx=116, kernel=(PER * (RQ * SE)), LML=-4946.359
[Random] iter=04 → idx=222, kernel=(SE + (RQ + PER)), LML=-4946.384
[Random] iter=05 → idx=226, kernel=(SE + (SE * RQ)), LML=-4946.358
[Random] iter=06 → idx=25, kernel=((PER + RQ) * RQ), LML=-4946.357
[Random] iter=07 → idx=196, kernel=(SE * (PER + RQ)), LML=-4946.359
[Random] iter=08 → idx=57, kernel=((RQ + PER) + PER), LML=-4946.393
[Random] iter=09 → idx=206, kernel=(SE * (SE * SE)), LML=-4946.358
[Random] iter=10 → idx=69, kernel=((RQ + SE) + PER), LML=-4946.381
[Random] iter=11 → idx=217, kernel=(SE + (PER + RQ)), LML=-4946.384
[Random] iter=12 → idx=71, kernel=((RQ + SE) + SE), LML=-4946.372
[Random] iter=13 → idx=36, kernel=((RQ * PER) * PER), LML=-4946.352
[Random] iter=14 → idx=209, kernel=(SE * (SE + SE)), LML=-4946.358
[Random] iter=15 → idx=68, kernel=((RQ + SE) * SE), LML=-4946.359
[Random] iter=16 → idx=219, kernel=(SE + (RQ * PER)), LML=-4946.492
[Random] iter=17 → idx=163, kernel=(RQ * (SE * RQ)), LML=-4946.359
[Random] iter=18 → idx=129, kernel=(PER + (PER * PER)), LML=-1.500
[Random] iter=19 → idx=38, kernel=((RQ * PER) * SE), LML=-4946.359
[Random] iter=20 → idx=30, kernel=((PER + SE) * PER), LML=-4946.359
[Random] iter=21 → idx=205, kernel=(SE * (SE * RQ)), LML=-4946.359
[Random] iter=22 → idx=139, kernel=(PER + (RQ + RQ)), LML=-4946.360
[Random] iter=23 → idx=130, kernel=(PER + (PER * RQ)), LML=-4946.267
[Random] iter=24 → idx=147, kernel=(PER + PER), LML=-1.349
[Random] iter=25 → idx=186, kernel=(RQ + (SE + PER)), LML=-4946.381
[Random] iter=26 → idx=48, kernel=((RQ * SE) * PER), LML=-4946.359
[Random] iter=27 → idx=193, kernel=(SE * (PER * RQ)), LML=-4946.359
[Random] iter=28 → idx=128, kernel=(PER * SE), LML=-4946.359
[Random] iter=29 → idx=122, kernel=(PER * (SE * SE)), LML=-4946.359
[Random] iter=30 → idx=24, kernel=((PER + RQ) * PER), LML=-4946.368
[Random] iter=31 → idx=74, kernel=((SE * PER) * SE), LML=-4946.359
[Random] iter=32 → idx=232, kernel=(SE + RQ), LML=-4946.377
[Random] iter=33 → idx=43, kernel=((RQ * RQ) * RQ), LML=-4946.371
[Random] iter=34 → idx=107, kernel=((SE + SE) + SE), LML=-1.402
[Random] iter=35 → idx=101, kernel=((SE + RQ) + SE), LML=-4946.372
[Random] iter=36 → idx=160, kernel=(RQ * (RQ + RQ)), LML=-4946.375
[Random] iter=37 → idx=234, kernel=PER, LML=-1.500
[Random] iter=38 → idx=225, kernel=(SE + (SE * PER)), LML=-4946.360
[Random] iter=39 → idx=153, kernel=(RQ * (PER + PER)), LML=-4946.314
[Random] iter=40 → idx=192, kernel=(SE * (PER * PER)), LML=-4946.339
[Random] iter=41 → idx=88, kernel=((SE * SE) + RQ), LML=-4946.359
[Random] iter=42 → idx=79, kernel=((SE * RQ) * RQ), LML=-4946.359
[Random] iter=43 → idx=134, kernel=(PER + (PER + SE)), LML=-1.402
[Random] iter=44 → idx=32, kernel=((PER + SE) * SE), LML=-4946.359
[Random] iter=45 → idx=33, kernel=((PER + SE) + PER), LML=-1.402
[Random] iter=46 → idx=62, kernel=((RQ + RQ) * SE), LML=-4946.359
[Random] iter=47 → idx=120, kernel=(PER * (SE * PER)), LML=-4946.364
[Random] iter=48 → idx=228, kernel=(SE + (SE + PER)), LML=-1.420
[Random] iter=49 → idx=37, kernel=((RQ * PER) * RQ), LML=-4946.365
[Random] iter=50 → idx=156, kernel=(RQ * (RQ * PER)), LML=-4946.365
