HyperKappa Bayesian Optimization - Run 3
================================================================================

[HyperKappa-BO] iter=01 → idx=11, kernel=((PER * RQ) + SE), LML=-4946.347
[HyperKappa-BO] iter=02 → idx=215, kernel=(SE + (PER * SE)), LML=-4946.360
[HyperKappa-BO] iter=03 → idx=177, kernel=(RQ + (RQ * PER)), LML=-4946.329
[HyperKappa-BO] iter=04 → idx=4, kernel=((PER * PER) + RQ), LML=-4946.378
[HyperKappa-BO] iter=05 → idx=172, kernel=(RQ + (PER * RQ)), LML=-6590721000.717
[HyperKappa-BO] iter=06 → idx=19, kernel=((PER + PER) * RQ), LML=-4958.855
[HyperKappa-BO] iter=07 → idx=129, kernel=(PER + (PER * PER)), LML=-1.500
[HyperKappa-BO] iter=08 → idx=230, kernel=(SE + (SE + SE)), LML=-1.402
[HyperKappa-BO] iter=09 → idx=0, kernel=((PER * PER) * PER), LML=-1.378
[HyperKappa-BO] iter=10 → idx=1, kernel=((PER * PER) * RQ), LML=-4946.399
[HyperKappa-BO] iter=11 → idx=2, kernel=((PER * PER) * SE), LML=-4946.356
[HyperKappa-BO] iter=12 → idx=3, kernel=((PER * PER) + PER), LML=-1.500
[HyperKappa-BO] iter=13 → idx=5, kernel=((PER * PER) + SE), LML=-1.402
[HyperKappa-BO] iter=14 → idx=6, kernel=((PER * RQ) * PER), LML=-4946.400
[HyperKappa-BO] iter=15 → idx=7, kernel=((PER * RQ) * RQ), LML=-4946.363
[HyperKappa-BO] iter=16 → idx=8, kernel=((PER * RQ) * SE), LML=-4946.359
[HyperKappa-BO] iter=17 → idx=152, kernel=(RQ * (PER * SE)), LML=-4946.359
[HyperKappa-BO] iter=18 → idx=236, kernel=SE, LML=-1.402
[HyperKappa-BO] iter=19 → idx=130, kernel=(PER + (PER * RQ)), LML=-4946.267
[HyperKappa-BO] iter=20 → idx=108, kernel=(PER * (PER * PER)), LML=-1.378
[HyperKappa-BO] iter=21 → idx=120, kernel=(PER * (SE * PER)), LML=-4946.364
[HyperKappa-BO] iter=22 → idx=107, kernel=((SE + SE) + SE), LML=-1.402
[HyperKappa-BO] iter=23 → idx=15, kernel=((PER * SE) + PER), LML=-4946.352
[HyperKappa-BO] iter=24 → idx=32, kernel=((PER + SE) * SE), LML=-4946.359
[HyperKappa-BO] iter=25 → idx=18, kernel=((PER + PER) * PER), LML=-1.356
[HyperKappa-BO] iter=26 → idx=204, kernel=(SE * (SE * PER)), LML=-4946.359
[HyperKappa-BO] iter=27 → idx=234, kernel=PER, LML=-1.500
[HyperKappa-BO] iter=28 → idx=80, kernel=((SE * RQ) * SE), LML=-4946.359
[HyperKappa-BO] iter=29 → idx=136, kernel=(PER + (RQ * RQ)), LML=-4946.363
[HyperKappa-BO] iter=30 → idx=110, kernel=(PER * (PER * SE)), LML=-4946.356
[HyperKappa-BO] iter=31 → idx=9, kernel=((PER * RQ) + PER), LML=-10000000000.000
[HyperKappa-BO] iter=32 → idx=10, kernel=((PER * RQ) + RQ), LML=-4946.359
[HyperKappa-BO] iter=33 → idx=12, kernel=((PER * SE) * PER), LML=-4946.364
[HyperKappa-BO] iter=34 → idx=13, kernel=((PER * SE) * RQ), LML=-4946.359
[HyperKappa-BO] iter=35 → idx=14, kernel=((PER * SE) * SE), LML=-4946.359
[HyperKappa-BO] iter=36 → idx=16, kernel=((PER * SE) + RQ), LML=-4946.362
[HyperKappa-BO] iter=37 → idx=17, kernel=((PER * SE) + SE), LML=-4946.360
[HyperKappa-BO] iter=38 → idx=20, kernel=((PER + PER) * SE), LML=-4946.359
[HyperKappa-BO] iter=39 → idx=21, kernel=((PER + PER) + PER), LML=-1.500
[HyperKappa-BO] iter=40 → idx=22, kernel=((PER + PER) + RQ), LML=-4946.369
[HyperKappa-BO] iter=41 → idx=23, kernel=((PER + PER) + SE), LML=-1.402
[HyperKappa-BO] iter=42 → idx=25, kernel=((PER + RQ) * RQ), LML=-4946.378
[HyperKappa-BO] iter=43 → idx=26, kernel=((PER + RQ) * SE), LML=-4946.359
[HyperKappa-BO] iter=44 → idx=27, kernel=((PER + RQ) + PER), LML=-4946.394
[HyperKappa-BO] iter=45 → idx=28, kernel=((PER + RQ) + RQ), LML=-4946.360
[HyperKappa-BO] iter=46 → idx=29, kernel=((PER + RQ) + SE), LML=-4946.381
[HyperKappa-BO] iter=47 → idx=30, kernel=((PER + SE) * PER), LML=-4946.359
[HyperKappa-BO] iter=48 → idx=31, kernel=((PER + SE) * RQ), LML=-4946.346
[HyperKappa-BO] iter=49 → idx=33, kernel=((PER + SE) + PER), LML=-1.402
[HyperKappa-BO] iter=50 → idx=34, kernel=((PER + SE) + RQ), LML=-4946.384
