Random Search - Run 4
================================================================================

[Random] iter=01 → idx=50, kernel=((RQ * SE) * SE), LML=-4946.359
[Random] iter=02 → idx=143, kernel=(PER + (SE * SE)), LML=-4946.362
[Random] iter=03 → idx=215, kernel=(SE + (PER * SE)), LML=-4946.360
[Random] iter=04 → idx=9, kernel=((PER * RQ) + PER), LML=-4946.324
[Random] iter=05 → idx=236, kernel=SE, LML=-1.402
[Random] iter=06 → idx=210, kernel=(SE * PER), LML=-4946.359
[Random] iter=07 → idx=235, kernel=RQ, LML=-4946.377
[Random] iter=08 → idx=128, kernel=(PER * SE), LML=-4946.359
[Random] iter=09 → idx=226, kernel=(SE + (SE * RQ)), LML=-4946.358
[Random] iter=10 → idx=201, kernel=(SE * (RQ + PER)), LML=-4946.359
[Random] iter=11 → idx=170, kernel=(RQ * SE), LML=-4946.359
[Random] iter=12 → idx=120, kernel=(PER * (SE * PER)), LML=-4946.364
[Random] iter=13 → idx=2, kernel=((PER * PER) * SE), LML=-4946.356
[Random] iter=14 → idx=90, kernel=((SE + PER) * PER), LML=-4946.378
[Random] iter=15 → idx=123, kernel=(PER * (SE + PER)), LML=-4946.361
[Random] iter=16 → idx=223, kernel=(SE + (RQ + RQ)), LML=-4946.381
[Random] iter=17 → idx=228, kernel=(SE + (SE + PER)), LML=-1.420
[Random] iter=18 → idx=126, kernel=(PER * PER), LML=-1.500
[Random] iter=19 → idx=213, kernel=(SE + (PER * PER)), LML=-1.402
[Random] iter=20 → idx=169, kernel=(RQ * RQ), LML=-4946.376
[Random] iter=21 → idx=197, kernel=(SE * (PER + SE)), LML=-4946.358
[Random] iter=22 → idx=195, kernel=(SE * (PER + PER)), LML=-4946.359
[Random] iter=23 → idx=46, kernel=((RQ * RQ) + RQ), LML=-4946.377
[Random] iter=24 → idx=191, kernel=(RQ + SE), LML=-4946.377
[Random] iter=25 → idx=184, kernel=(RQ + (SE * RQ)), LML=-4946.360
[Random] iter=26 → idx=206, kernel=(SE * (SE * SE)), LML=-4946.358
[Random] iter=27 → idx=29, kernel=((PER + RQ) + SE), LML=-4946.381
[Random] iter=28 → idx=27, kernel=((PER + RQ) + PER), LML=-4946.394
[Random] iter=29 → idx=67, kernel=((RQ + SE) * RQ), LML=-4946.359
[Random] iter=30 → idx=211, kernel=(SE * RQ), LML=-4946.359
[Random] iter=31 → idx=43, kernel=((RQ * RQ) * RQ), LML=-4946.371
[Random] iter=32 → idx=53, kernel=((RQ * SE) + SE), LML=-4946.358
[Random] iter=33 → idx=40, kernel=((RQ * PER) + RQ), LML=-4946.367
[Random] iter=34 → idx=18, kernel=((PER + PER) * PER), LML=-1.356
[Random] iter=35 → idx=138, kernel=(PER + (RQ + PER)), LML=-4946.394
[Random] iter=36 → idx=80, kernel=((SE * RQ) * SE), LML=-4946.359
[Random] iter=37 → idx=62, kernel=((RQ + RQ) * SE), LML=-4946.359
[Random] iter=38 → idx=14, kernel=((PER * SE) * SE), LML=-4946.359
[Random] iter=39 → idx=234, kernel=PER, LML=-1.500
[Random] iter=40 → idx=24, kernel=((PER + RQ) * PER), LML=-4946.368
[Random] iter=41 → idx=113, kernel=(PER * (PER + SE)), LML=-4946.336
[Random] iter=42 → idx=44, kernel=((RQ * RQ) * SE), LML=-4946.359
[Random] iter=43 → idx=39, kernel=((RQ * PER) + PER), LML=-4946.343
[Random] iter=44 → idx=198, kernel=(SE * (RQ * PER)), LML=-4946.359
[Random] iter=45 → idx=84, kernel=((SE * SE) * PER), LML=-4946.359
[Random] iter=46 → idx=58, kernel=((RQ + PER) + RQ), LML=-4946.375
[Random] iter=47 → idx=125, kernel=(PER * (SE + SE)), LML=-4946.359
[Random] iter=48 → idx=8, kernel=((PER * RQ) * SE), LML=-4946.359
[Random] iter=49 → idx=209, kernel=(SE * (SE + SE)), LML=-4946.358
[Random] iter=50 → idx=81, kernel=((SE * RQ) + PER), LML=-4946.352
