Method,Avg_Time_sec,Std_Time_sec,Avg_Best_LML,Std_Best_LML,Avg_Best_Iter,Std_Best_Iter
RBF-BO,94.92625494003296,12.94635125182112,-1.348634198006975,0.0,8.8,6.910861017268399
HyperKappa-BO,62.33654646873474,11.41220039621691,-1.3501927298424659,0.0031170636709819456,12.8,7.386474125047755
Random Search,62.63835654258728,13.857330504121425,-1.3667190218596623,0.02072301560542158,26.4,14.388884598883958
LLM-GA Unrestricted (p=0.05),218.34247069358827,37.52359223730834,-2628.341408584898,2232.7389013780353,28.0,7.429670248402684
LLM-GA Unrestricted (p=0.1),213.42740125656127,22.190913766347123,-2628.5554456861437,2232.9610309424675,12.8,12.607934009979589
LLM-GA Unrestricted (p=0.3),258.6915626525879,20.717300112398444,-2968.325509443274,2422.482613731146,29.2,12.33531515608742
LLM-GA Unrestricted (p=0.5),285.7124778270721,45.48946044610211,-2968.336609270232,2422.49167733472,13.6,13.879481258317977
LLM-GA Unrestricted (p=0.7),327.977551317215,14.927031144754741,-2968.312679455713,2422.4721383103933,26.8,17.814600753314682
LLM-GA Unrestricted (p=0.9),360.74542260169983,35.245019109079465,-2968.330429505114,2422.4866424087013,24.8,16.50939126679115
LLM-GA Depth≤3 (p=0.05),174.12292943000793,11.52404579895036,-1639.584004830923,2077.0379514741117,18.8,11.855800268223147
LLM-GA Depth≤3 (p=0.1),209.86643295288087,24.523725744314948,-1979.365246119422,2422.499907407756,23.6,15.564061166674975
LLM-GA Depth≤3 (p=0.3),226.76882972717286,19.646854635028262,-1979.3789551225443,2422.476753807514,21.0,15.937377450509228
LLM-GA Depth≤3 (p=0.5),254.9915991783142,26.73350007511861,-1979.365246119422,2422.499907407756,13.0,7.014271166700073
LLM-GA Depth≤3 (p=0.7),275.2868808269501,20.232847100994913,-990.3838000102648,1977.9628918267024,18.2,13.541048703848604
LLM-GA Depth≤3 (p=0.9),316.39445900917053,49.57443707605989,-1979.384737508771,2422.483835738595,6.6,6.651315659326356
