iteration,RBF_BO_mean,RBF_BO_std,HyperKappa_BO_mean,HyperKappa_BO_std,Random_mean,Random_std,LLM-GA_unrestricted_p0.05_mean,LLM-GA_unrestricted_p0.05_std,LLM-GA_unrestricted_p0.1_mean,LLM-GA_unrestricted_p0.1_std,LLM-GA_unrestricted_p0.3_mean,LLM-GA_unrestricted_p0.3_std,LLM-GA_unrestricted_p0.5_mean,LLM-GA_unrestricted_p0.5_std,LLM-GA_unrestricted_p0.7_mean,LLM-GA_unrestricted_p0.7_std,LLM-GA_unrestricted_p0.9_mean,LLM-GA_unrestricted_p0.9_std,LLM-GA_depth3_p0.05_mean,LLM-GA_depth3_p0.05_std,LLM-GA_depth3_p0.1_mean,LLM-GA_depth3_p0.1_std,LLM-GA_depth3_p0.3_mean,LLM-GA_depth3_p0.3_std,LLM-GA_depth3_p0.5_mean,LLM-GA_depth3_p0.5_std,LLM-GA_depth3_p0.7_mean,LLM-GA_depth3_p0.7_std,LLM-GA_depth3_p0.9_mean,LLM-GA_depth3_p0.9_std
0,-1816.296878748569,1654.2466159744938,-1816.296878748569,1654.2466159744938,-1816.296878748569,1654.2466159744938,-1816.296878748569,1654.2466159744938,-1816.296878748569,1654.2466159744938,-1816.296878748569,1654.2466159744938,-1816.296878748569,1654.2466159744938,-1816.296878748569,1654.2466159744938,-1816.296878748569,1654.2466159744938,-1816.296878748569,1654.2466159744938,-1816.296878748569,1654.2466159744938,-1816.296878748569,1654.2466159744938,-1816.296878748569,1654.2466159744938,-1816.296878748569,1654.2466159744938,-1816.296878748569,1654.2466159744938
1,-1816.2946993106955,1654.2424923225208,-1521.4877618611276,1812.3912351936094,-1816.296878748569,1654.2466159744938,-1816.296878748569,1654.2466159744938,-1816.296878748569,1654.2466159744938,-1816.2904572982638,1654.2344661357647,-1816.2904572982638,1654.2344661357647,-1816.290457297439,1654.2344661342024,-1816.296878748569,1654.2466159744938,-1816.296878748569,1654.2466159744938,-1816.296878748569,1654.2466159744938,-1816.296878748569,1654.2466159744938,-1816.296878748569,1654.2466159744938,-1816.296878748569,1654.2466159744938,-1816.296878748569,1654.2466159744938
2,-1552.4348223018767,1810.1074401343021,-1257.6278999039523,1915.5044318650341,-1520.3828934747394,1812.504804253438,-1816.296878748569,1654.2466159744938,-1816.296878748569,1654.2466159744938,-1816.2904572982638,1654.2344661357647,-1816.2904572982638,1654.2344661357647,-1816.290457297439,1654.2344661342024,-1816.296878748569,1654.2466159744938,-1816.296878748569,1654.2466159744938,-1816.290457297439,1654.2344661342024,-1816.296878748569,1654.2466159744938,-1816.296878748569,1654.2466159744938,-1816.290457297439,1654.2344661342024,-1816.296878748569,1654.2466159744938
3,-1105.5633676160996,1020.8405052654967,-1257.6278973364101,1915.5044335487476,-1520.3828934747394,1812.504804253438,-1816.296878748569,1654.2466159744938,-1816.296878748569,1654.2466159744938,-1782.8659473182256,1591.1404339335852,-1816.290457297439,1654.2344661342024,-1816.290457297439,1654.2344661342024,-1816.296878748569,1654.2466159744938,-1816.296878748569,1654.2466159744938,-1816.290457297439,1654.2344661342024,-1816.290457297439,1654.2344661342024,-1816.296878748569,1654.2466159744938,-1816.290457297439,1654.2344661342024,-1816.290457297439,1654.2344661342024
4,-860.1120305102344,703.2185842522123,-1254.7047909836213,1915.391617925347,-1520.3828934747394,1812.504804253438,-1816.296878748569,1654.2466159744938,-1816.296878748569,1654.2466159744938,-1782.8659473182256,1591.1404339335852,-1816.290457297439,1654.2344661342024,-1782.8659473182256,1591.1404339335852,-1816.296878748569,1654.2466159744938,-1816.296878748569,1654.2466159744938,-1816.290457297439,1654.2344661342024,-1816.290457297439,1654.2344661342024,-1816.296878748569,1654.2466159744938,-1816.290457297439,1654.2344661342024,-1816.290457297439,1654.2344661342024
5,-860.1120281622998,703.2185871189799,-1.500208905848228,3.231212741326409e-05,-1520.3828934747394,1812.504804253438,-1816.296878748569,1654.2466159744938,-1816.296878748569,1654.2466159744938,-1782.8659473182256,1591.1404339335852,-1816.290457297439,1654.2344661342024,-1782.8659473182256,1591.1404339335852,-1782.8659473182256,1591.1404339335852,-1816.296878748569,1654.2466159744938,-1816.290457297439,1654.2344661342024,-1816.290457297439,1654.2344661342024,-1816.296878748569,1654.2466159744938,-1816.290457297439,1654.2344661342024,-1816.290457297439,1654.2344661342024
6,-860.1120281622998,703.2185871189799,-1.500208905848228,3.231212741326409e-05,-1520.3828934747394,1812.504804253438,-1816.296878748569,1654.2466159744938,-1816.296878748569,1654.2466159744938,-1782.8659473182256,1591.1404339335852,-1782.8659473182256,1591.1404339335852,-1782.8659473182256,1591.1404339335852,-1782.8659473182256,1591.1404339335852,-1816.296878748569,1654.2466159744938,-1816.290457297439,1654.2344661342024,-1816.290457297439,1654.2344661342024,-1816.296878748569,1654.2466159744938,-1816.290457297439,1654.2344661342024,-1782.8659473182256,1591.1404339335852
7,-860.1120281622998,703.2185871189799,-1.5002065359588201,3.08252040854396e-05,-1520.3828934747394,1812.504804253438,-1816.296878748569,1654.2466159744938,-1816.296878748569,1654.2466159744938,-1782.8659473182256,1591.1404339335852,-1782.8659473182256,1591.1404339335852,-1782.8659473182256,1591.1404339335852,-1782.8659473182256,1591.1404339335852,-1816.296878748569,1654.2466159744938,-1816.290457297439,1654.2344661342024,-1816.290457297439,1654.2344661342024,-1816.296878748569,1654.2466159744938,-1816.290457297439,1654.2344661342024,-1782.8659473182256,1591.1404339335852
8,-563.4677757161901,689.8797676009599,-1.5001914834041663,3.7987796102563735e-05,-1520.3828934747394,1812.504804253438,-1816.296878748569,1654.2466159744938,-1816.296878748569,1654.2466159744938,-1782.8659473182256,1591.1404339335852,-1782.8659473182256,1591.1404339335852,-1782.8659473182256,1591.1404339335852,-1782.8659473182256,1591.1404339335852,-1552.4369993918156,1810.111528415476,-1816.290457297439,1654.2344661342024,-1816.290457297439,1654.2344661342024,-1816.290457297439,1654.2344661342024,-1816.290457297439,1654.2344661342024,-1782.8659473182256,1591.1404339335852
9,-563.4677754087668,689.879767815373,-1.5001912166091746,3.777943631748515e-05,-1520.3828934747394,1812.504804253438,-1816.296878748569,1654.2466159744938,-1816.296878748569,1654.2466159744938,-1782.8659473182256,1591.1404339335852,-1782.8659473182256,1591.1404339335852,-1112.6844331964205,558.8075302159006,-1782.8659473182256,1591.1404339335852,-1552.4305779415106,1810.099488720114,-1782.8659473182256,1591.1404339335852,-1816.290457297439,1654.2344661342024,-1816.290457297439,1654.2344661342024,-1816.290457297439,1654.2344661342024,-1782.8659473182256,1591.1404339335852
10,-297.39274092464836,591.7851099821306,-1.5001904527552898,3.711058617903284e-05,-1520.3827655693317,1812.5045624965464,-1816.296878748569,1654.2466159744938,-1816.296878748569,1654.2466159744938,-1782.8659473182256,1591.1404339335852,-1782.8659473182256,1591.1404339335852,-1112.6844331964205,558.8075302159006,-1782.8659473182256,1591.1404339335852,-1552.4305779415106,1810.099488720114,-1782.8659473182256,1591.1404339335852,-1816.290457297439,1654.2344661342024,-1816.290457297439,1654.2344661342024,-1816.290457297439,1654.2344661342024,-1782.8659473182256,1591.1404339335852
11,-1.5001952177666233,4.1257675607653144e-05,-1.5001904527552898,3.711058617903284e-05,-1520.3827655693317,1812.5045624965464,-1816.296878748569,1654.2466159744938,-1816.296878748569,1654.2466159744938,-1782.8659473182256,1591.1404339335852,-1782.8659473182256,1591.1404339335852,-1112.6844331964205,558.8075302159006,-1782.8659473182256,1591.1404339335852,-1552.4305779415106,1810.099488720114,-1782.8466896053164,1591.1440871886111,-1816.290457297439,1654.2344661342024,-1816.290457297439,1654.2344661342024,-1816.290457297439,1654.2344661342024,-1782.8659473182256,1591.1404339335852
12,-1.500177748135195,4.0316471129614594e-05,-1.5001751114507953,3.6871078227151224e-05,-1520.3827655693317,1812.5045624965464,-1816.296878748569,1654.2466159744938,-1816.296878748569,1654.2466159744938,-1782.8659473182256,1591.1404339335852,-1782.8659473182256,1591.1404339335852,-1112.6844331964205,558.8075302159006,-1782.8659473182256,1591.1404339335852,-1552.4305779415106,1810.099488720114,-1782.8466896053164,1591.1440871886111,-1816.290457297439,1654.2344661342024,-1782.8659473182256,1591.1404339335852,-1816.290457297439,1654.2344661342024,-1782.8659473182256,1591.1404339335852
13,-1.5001626955805414,3.5378478107528366e-05,-1.5001600588961412,3.0105109307587698e-05,-1254.3077294824593,1915.3774284467409,-1816.2963984646944,1654.2457072430282,-1816.295767265247,1654.244512968586,-1782.8659473182256,1591.1404339335852,-1782.8659473182256,1591.1404339335852,-1112.6844331964205,558.8075302159006,-1782.8659473182256,1591.1404339335852,-1552.430577941073,1810.0994887192937,-1782.8466896053164,1591.1440871886111,-1816.290457297439,1654.2344661342024,-1782.8659473182256,1591.1404339335852,-1782.8659473182256,1591.1404339335852,-1782.8659473182256,1591.1404339335852
14,-1.5001626955805414,3.5378478107528366e-05,-1.5001450063414876,0.0,-529.2199502188662,646.3220300500859,-1816.2963984646944,1654.2457072430282,-1816.295767265247,1654.244512968586,-1782.8659473182256,1591.1404339335852,-1782.8659473182256,1591.1404339335852,-1112.6844331964205,558.8075302159006,-1782.8659473182256,1591.1404339335852,-1552.430577941073,1810.0994887192937,-1782.8466896053164,1591.1440871886111,-1782.8659473182256,1591.1404339335852,-1782.8659473182256,1591.1404339335852,-1782.8659473182256,1591.1404339335852,-1782.8659473182256,1591.1404339335852
15,-1.5001626955805414,3.5378478107528366e-05,-1.5001450063414876,0.0,-529.2199502188662,646.3220300500859,-1816.2963984646944,1654.2457072430282,-1816.295767265247,1654.244512968586,-1782.8659473182256,1591.1404339335852,-1782.8659473182256,1591.1404339335852,-1112.6844331964205,558.8075302159006,-1782.8659473182256,1591.1404339335852,-1552.430577941073,1810.0994887192937,-1782.8466896053164,1591.1440871886111,-1782.8659473182256,1591.1404339335852,-1782.8659473182256,1591.1404339335852,-1782.8659473182256,1591.1404339335852,-1782.8659473182256,1591.1404339335852
16,-1.5001626955805414,3.5378478107528366e-05,-1.5001450063414876,0.0,-529.2199502188662,646.3220300500859,-1816.2963984646944,1654.2457072430282,-1814.466708750891,1654.772454351026,-1782.8659473182256,1591.1404339335852,-1782.8659473182256,1591.1404339335852,-1112.6844331964205,558.8075302159006,-1782.8659473182256,1591.1404339335852,-1552.430577941073,1810.0994887192937,-1782.8466896053164,1591.1440871886111,-1782.8659473182256,1591.1404339335852,-1782.8659473182256,1591.1404339335852,-1782.8659473182256,1591.1404339335852,-1782.8659473182256,1591.1404339335852
17,-1.5001624759729157,3.493926285615956e-05,-1.5001450063414876,0.0,-529.2199502188662,646.3220300500859,-1816.2963984646944,1654.2457072430282,-1814.466708750891,1654.772454351026,-1782.8659473182256,1591.1404339335852,-1112.6844331964205,558.8075302159006,-1112.6844331964205,558.8075302159006,-1112.6844331964205,558.8075302159006,-1552.430577941073,1810.0994887192937,-1782.8466896053164,1591.1440871886111,-1782.8659473182256,1591.1404339335852,-1782.8659473182256,1591.1404339335852,-1782.8659473182256,1591.1404339335852,-1782.8659473182256,1591.1404339335852
18,-1.500161111499867,3.221031675844088e-05,-1.5001450063414876,0.0,-265.36008807279626,527.7197268586565,-1816.2963984646944,1654.2457072430282,-1814.466708750891,1654.772454351026,-1782.8659473182256,1591.1404339335852,-1112.6844331964205,558.8075302159006,-1112.6844331964205,558.8075302159006,-1112.6844331964205,558.8075302159006,-1552.430577941073,1810.0994887192937,-1782.8466896053164,1591.1440871886111,-1782.8659473182256,1591.1404339335852,-1782.8659473182256,1591.1404339335852,-1782.8659473182256,1591.1404339335852,-1782.8659473182256,1591.1404339335852
19,-1.5001450063414876,0.0,-1.5001450063414876,0.0,-265.36008807279626,527.7197268586565,-1816.2963984646944,1654.2457072430282,-1814.466708750891,1654.772454351026,-1782.8659473182256,1591.1404339335852,-1112.6844331964205,558.8075302159006,-1112.6844331964205,558.8075302159006,-1112.6844331964205,558.8075302159006,-1552.430577941073,1810.0994887192937,-1782.8466896053164,1591.1440871886111,-1782.8659473182256,1591.1404339335852,-1782.8659473182256,1591.1404339335852,-1782.8659473182256,1591.1404339335852,-1782.8659473182256,1591.1404339335852
20,-1.5001450063414876,0.0,-1.5001450063414876,0.0,-1.5002240353923528,3.926246425605172e-06,-1816.2963984646944,1654.2457072430282,-1814.466708750891,1654.772454351026,-1782.8659473182256,1591.1404339335852,-1112.6844331964205,558.8075302159006,-1112.6844331964205,558.8075302159006,-1112.6844331964205,558.8075302159006,-1552.430577941073,1810.0994887192937,-1782.8466896053164,1591.1440871886111,-1782.8659473182256,1591.1404339335852,-1782.8659473182256,1591.1404339335852,-1781.04770671514,1591.6598641423698,-1782.8659473182256,1591.1404339335852
21,-1.5001450063414876,0.0,-1.5001450063414876,0.0,-1.5002240353923528,3.926246425605172e-06,-1816.2963984646944,1654.2457072430282,-1814.466708750891,1654.772454351026,-1782.8659473182256,1591.1404339335852,-1112.6844331964205,558.8075302159006,-1112.6844331964205,558.8075302159006,-1112.6844331964205,558.8075302159006,-827.7438450180449,676.9625959033309,-1782.8466896053164,1591.1440871886111,-1782.8659473182256,1591.1404339335852,-1782.8659473182256,1591.1404339335852,-1781.04770671514,1591.6598641423698,-1782.8659473182256,1591.1404339335852
22,-1.5001450063414876,0.0,-1.5001450063414876,0.0,-1.5002240353923528,3.926246425605172e-06,-1816.2963984646944,1654.2457072430282,-1814.466708750891,1654.772454351026,-1112.6844331964205,558.8075302159006,-1112.6844331964205,558.8075302159006,-1112.6844331964205,558.8075302159006,-1112.6844331964205,558.8075302159006,-827.7438450180449,676.9625959033309,-1782.8466896053164,1591.1440871886111,-1782.8659473182256,1591.1404339335852,-1782.8659473182256,1591.1404339335852,-1781.04770671514,1591.6598641423698,-1782.8659473182256,1591.1404339335852
23,-1.5001450063414876,0.0,-1.5001450063414876,0.0,-1.5002240353923528,3.926246425605172e-06,-1816.2963984646944,1654.2457072430282,-1814.466708750891,1654.772454351026,-1112.6844331964205,558.8075302159006,-1112.6844331964205,558.8075302159006,-1112.6844331964205,558.8075302159006,-1112.6844331964205,558.8075302159006,-827.7438450180449,676.9625959033309,-1782.8466896053164,1591.1440871886111,-1782.8659473182256,1591.1404339335852,-1782.8659473182256,1591.1404339335852,-1781.04770671514,1591.6598641423698,-1782.8659473182256,1591.1404339335852
24,-1.5001450063414876,0.0,-1.5001450063414876,0.0,-1.5002240353923528,3.926246425605172e-06,-1816.2963984646944,1654.2457072430282,-1814.466708750891,1654.772454351026,-1112.6844331964205,558.8075302159006,-1112.6844331964205,558.8075302159006,-1112.6844331964205,558.8075302159006,-1112.6844331964205,558.8075302159006,-827.7438450180449,676.9625959033309,-1782.8466896053164,1591.1440871886111,-1782.8659473182256,1591.1404339335852,-1782.8659473182256,1591.1404339335852,-1781.04770671514,1591.6598641423698,-1782.8659473182256,1591.1404339335852
25,-1.5001450063414876,0.0,-1.5001450063414876,0.0,-1.5002240353923528,3.926246425605172e-06,-1816.2963984646944,1654.2457072430282,-1814.466708750891,1654.772454351026,-1112.6844331964205,558.8075302159006,-1112.6844331964205,558.8075302159006,-1112.6844331964205,558.8075302159006,-1112.6844331964205,558.8075302159006,-827.7438450180449,676.9625959033309,-1518.986810248563,1747.5866385650886,-1782.8659473182256,1591.1404339335852,-1782.8659473182256,1591.1404339335852,-1781.04770671514,1591.6598641423698,-1782.8659473182256,1591.1404339335852
26,-1.5001450063414876,0.0,-1.5001450063414876,0.0,-1.5002240353923528,3.926246425605172e-06,-1816.2963984646944,1654.2457072430282,-1814.466708750891,1654.772454351026,-1112.6844331964205,558.8075302159006,-1112.6844331964205,558.8075302159006,-1112.6844331964205,558.8075302159006,-1112.6844331964205,558.8075302159006,-827.7438450180449,676.9625959033309,-1518.986810248563,1747.5866385650886,-1782.8659473182256,1591.1404339335852,-1782.8659473182256,1591.1404339335852,-1781.04770671514,1591.6598641423698,-1782.8659473182256,1591.1404339335852
