Run,Method,Time_seconds,Best_LML,Best_Iteration
1,RBF-BO,131.31741333007812,-1.5001450063414876,2
1,HyperKappa-BO,44.59289574623108,-1.5001450063414876,8
1,Random Search,30.86155939102173,-1.5002216030897169,48
1,LLM-GA_unrestricted_p0.05,232.36381483078003,-1.5002217128639603,0
1,LLM-GA_unrestricted_p0.1,211.66945099830627,-1.5002217128639603,0
1,LLM-GA_unrestricted_p0.3,261.33908319473267,-1.5002217128639603,0
1,LLM-GA_unrestricted_p0.5,292.8071448802948,-1.5002217128639603,0
1,LLM-GA_unrestricted_p0.7,346.6950969696045,-1.5002217128639603,0
1,LLM-GA_unrestricted_p0.9,394.8912761211395,-1.5002217128639603,0
1,LLM-GA_depth3_p0.05,181.37900567054749,-1.5002217128639603,0
1,LLM-GA_depth3_p0.1,181.66450929641724,-1.5002217128639603,0
1,LLM-GA_depth3_p0.3,197.43545198440552,-1.5002217128639603,0
1,LLM-GA_depth3_p0.5,261.6981544494629,-1.5002217128639603,0
1,LLM-GA_depth3_p0.7,301.74033761024475,-1.5002217128639603,0
1,LLM-GA_depth3_p0.9,319.42075204849243,-1.5002217128639603,0
2,RBF-BO,74.56168746948242,-1.5001450063414876,13
2,HyperKappa-BO,47.00928521156311,-1.5001450063414876,14
2,Random Search,54.57269501686096,-1.5001450063414876,28
2,LLM-GA_unrestricted_p0.05,162.80192255973816,-1320.7995417901093,0
2,LLM-GA_unrestricted_p0.1,170.2389509677887,-1320.7995417901093,0
2,LLM-GA_unrestricted_p0.3,193.4821481704712,-1320.7995417901093,0
2,LLM-GA_unrestricted_p0.5,273.81502890586853,-1320.7995417901093,0
2,LLM-GA_unrestricted_p0.7,288.6188769340515,-1320.7995417901093,0
2,LLM-GA_unrestricted_p0.9,309.05602049827576,-1320.7995417901093,0
2,LLM-GA_depth3_p0.05,169.33066415786743,-1.5001450063414876,8
2,LLM-GA_depth3_p0.1,167.90244841575623,-1.5001450063414876,25
2,LLM-GA_depth3_p0.3,175.96083736419678,-1320.7995417901093,0
2,LLM-GA_depth3_p0.5,219.03121733665466,-1320.7995417901093,0
2,LLM-GA_depth3_p0.7,219.23571228981018,-1320.7995417901093,0
2,LLM-GA_depth3_p0.9,241.68604850769043,-1320.7995417901093,0
3,RBF-BO,90.31592440605164,-1.5001450063414876,12
3,HyperKappa-BO,39.35862493515015,-1.5001450063414876,12
3,Random Search,44.073659896850586,-1.5002202691147566,2
3,LLM-GA_unrestricted_p0.05,187.07088375091553,-1481.0592494534517,0
3,LLM-GA_unrestricted_p0.1,172.41437339782715,-1428.187747059181,36
3,LLM-GA_unrestricted_p0.3,237.87790203094482,-1481.0592494534517,0
3,LLM-GA_unrestricted_p0.5,240.47680473327637,-1481.0592494534517,0
3,LLM-GA_unrestricted_p0.7,248.67126989364624,-1481.0592494534517,0
3,LLM-GA_unrestricted_p0.9,311.86843276023865,-1481.0592494534517,0
3,LLM-GA_depth3_p0.05,135.9592080116272,-1481.0592494534517,0
3,LLM-GA_depth3_p0.1,148.39232921600342,-1480.9629608889072,11
3,LLM-GA_depth3_p0.3,166.5246605873108,-1481.0592494534517,0
3,LLM-GA_depth3_p0.5,214.36407113075256,-1481.0592494534517,0
3,LLM-GA_depth3_p0.7,289.91057991981506,-1481.0592494534517,0
3,LLM-GA_depth3_p0.9,259.69674348831177,-1481.0592494534517,0
4,RBF-BO,106.484947681427,-1.5001450063414876,8
4,HyperKappa-BO,40.40669298171997,-1.5001450063414876,13
4,Random Search,42.46575951576233,-1.5002216030897169,20
4,LLM-GA_unrestricted_p0.05,245.88922262191772,-4946.247573400551,13
4,LLM-GA_unrestricted_p0.1,203.87966346740723,-1428.187747059181,33
4,LLM-GA_unrestricted_p0.3,258.18688201904297,-1428.187747059181,22
4,LLM-GA_unrestricted_p0.5,277.6045343875885,-1428.187747059181,17
4,LLM-GA_unrestricted_p0.7,287.42767095565796,-1428.187747059181,9
4,LLM-GA_unrestricted_p0.9,318.1045570373535,-1428.187747059181,17
4,LLM-GA_depth3_p0.05,164.56787657737732,-1322.784202951071,21
4,LLM-GA_depth3_p0.1,174.40709900856018,-4779.095317668205,9
4,LLM-GA_depth3_p0.3,213.4345896244049,-4779.095317668205,14
4,LLM-GA_depth3_p0.5,195.62463355064392,-1322.784202951071,43
4,LLM-GA_depth3_p0.7,230.27100777626038,-4779.095317668205,13
4,LLM-GA_depth3_p0.9,252.45507431030273,-4779.095317668205,6
5,RBF-BO,94.85116672515869,-1.5001450063414876,19
5,HyperKappa-BO,42.98523688316345,-1.5001450063414876,5
5,Random Search,32.730008363723755,-1.5002202691147566,37
5,LLM-GA_unrestricted_p0.05,136.53136706352234,-1331.8754059664961,0
5,LLM-GA_unrestricted_p0.1,215.27659630775452,-1322.7566632296307,16
5,LLM-GA_unrestricted_p0.3,177.7538983821869,-1322.9224067849832,42
5,LLM-GA_unrestricted_p0.5,210.27316665649414,-1322.9224067849832,41
5,LLM-GA_unrestricted_p0.7,238.46208596229553,-1322.9224067849832,41
5,LLM-GA_unrestricted_p0.9,251.98536825180054,-1331.8754059664961,0
5,LLM-GA_depth3_p0.05,141.3528459072113,-1331.8754059664961,0
5,LLM-GA_depth3_p0.1,154.5857584476471,-1331.8754059664961,0
5,LLM-GA_depth3_p0.3,162.1086962223053,-1322.784202951071,49
5,LLM-GA_depth3_p0.5,219.22560167312622,-1331.8754059664961,0
5,LLM-GA_depth3_p0.7,234.45831203460693,-1.5001450063414876,41
5,LLM-GA_depth3_p0.9,251.3902907371521,-1331.8754059664961,0
