HyperKappa Bayesian Optimization - Run 3
================================================================================

[HyperKappa-BO] iter=01 → idx=149, kernel=(PER + SE), LML=-1337.400
[HyperKappa-BO] iter=02 → idx=214, kernel=(SE + (PER * RQ)), LML=-4946.318
[HyperKappa-BO] iter=03 → idx=63, kernel=((RQ + RQ) + PER), LML=-4946.238
[HyperKappa-BO] iter=04 → idx=236, kernel=SE, LML=-1322.784
[HyperKappa-BO] iter=05 → idx=147, kernel=(PER + PER), LML=-1.500
[HyperKappa-BO] iter=06 → idx=129, kernel=(PER + (PER * PER)), LML=-1.500
[HyperKappa-BO] iter=07 → idx=18, kernel=((PER + PER) * PER), LML=-1.500
[HyperKappa-BO] iter=08 → idx=108, kernel=(PER * (PER * PER)), LML=-1.500
[HyperKappa-BO] iter=09 → idx=2, kernel=((PER * PER) * SE), LML=-4946.239
[HyperKappa-BO] iter=10 → idx=3, kernel=((PER * PER) + PER), LML=-1.500
[HyperKappa-BO] iter=11 → idx=5, kernel=((PER * PER) + SE), LML=-1459.260
[HyperKappa-BO] iter=12 → idx=234, kernel=PER, LML=-1.500
[HyperKappa-BO] iter=13 → idx=126, kernel=(PER * PER), LML=-1.500
[HyperKappa-BO] iter=14 → idx=0, kernel=((PER * PER) * PER), LML=-1.500
[HyperKappa-BO] iter=15 → idx=143, kernel=(PER + (SE * SE)), LML=-1484.703
[HyperKappa-BO] iter=16 → idx=132, kernel=(PER + (PER + PER)), LML=-1.500
[HyperKappa-BO] iter=17 → idx=111, kernel=(PER * (PER + PER)), LML=-1.500
[HyperKappa-BO] iter=18 → idx=206, kernel=(SE * (SE * SE)), LML=-1320.800
[HyperKappa-BO] iter=19 → idx=21, kernel=((PER + PER) + PER), LML=-1.500
[HyperKappa-BO] iter=20 → idx=89, kernel=((SE * SE) + SE), LML=-1326.402
[HyperKappa-BO] iter=21 → idx=23, kernel=((PER + PER) + SE), LML=-3962.512
[HyperKappa-BO] iter=22 → idx=122, kernel=(PER * (SE * SE)), LML=-1331.875
[HyperKappa-BO] iter=23 → idx=15, kernel=((PER * SE) + PER), LML=-1463.902
[HyperKappa-BO] iter=24 → idx=102, kernel=((SE + SE) * PER), LML=-4946.253
[HyperKappa-BO] iter=25 → idx=80, kernel=((SE * RQ) * SE), LML=-4946.279
[HyperKappa-BO] iter=26 → idx=88, kernel=((SE * SE) + RQ), LML=-4946.315
[HyperKappa-BO] iter=27 → idx=4, kernel=((PER * PER) + RQ), LML=-4946.272
[HyperKappa-BO] iter=28 → idx=104, kernel=((SE + SE) * SE), LML=-1322.783
[HyperKappa-BO] iter=29 → idx=233, kernel=(SE + SE), LML=-1329.697
[HyperKappa-BO] iter=30 → idx=136, kernel=(PER + (RQ * RQ)), LML=-4667.432
[HyperKappa-BO] iter=31 → idx=9, kernel=((PER * RQ) + PER), LML=-4946.268
[HyperKappa-BO] iter=32 → idx=215, kernel=(SE + (PER * SE)), LML=-4946.270
[HyperKappa-BO] iter=33 → idx=230, kernel=(SE + (SE + SE)), LML=-1321.105
[HyperKappa-BO] iter=34 → idx=213, kernel=(SE + (PER * PER)), LML=-1459.288
[HyperKappa-BO] iter=35 → idx=35, kernel=((PER + SE) + SE), LML=-1480.981
[HyperKappa-BO] iter=36 → idx=14, kernel=((PER * SE) * SE), LML=-1331.875
[HyperKappa-BO] iter=37 → idx=227, kernel=(SE + (SE * SE)), LML=-1326.402
[HyperKappa-BO] iter=38 → idx=152, kernel=(RQ * (PER * SE)), LML=-4946.277
[HyperKappa-BO] iter=39 → idx=8, kernel=((PER * RQ) * SE), LML=-4946.277
[HyperKappa-BO] iter=40 → idx=146, kernel=(PER + (SE + SE)), LML=-1480.981
[HyperKappa-BO] iter=41 → idx=209, kernel=(SE * (SE + SE)), LML=-1322.783
[HyperKappa-BO] iter=42 → idx=107, kernel=((SE + SE) + SE), LML=-1321.105
[HyperKappa-BO] iter=43 → idx=224, kernel=(SE + (RQ + SE)), LML=-4946.313
[HyperKappa-BO] iter=44 → idx=212, kernel=(SE * SE), LML=-1322.784
[HyperKappa-BO] iter=45 → idx=231, kernel=(SE + PER), LML=-1428.188
[HyperKappa-BO] iter=46 → idx=228, kernel=(SE + (SE + PER)), LML=-1481.059
[HyperKappa-BO] iter=47 → idx=6, kernel=((PER * RQ) * PER), LML=-4946.250
[HyperKappa-BO] iter=48 → idx=87, kernel=((SE * SE) + PER), LML=-1484.717
[HyperKappa-BO] iter=49 → idx=172, kernel=(RQ + (PER * RQ)), LML=-4946.270
[HyperKappa-BO] iter=50 → idx=226, kernel=(SE + (SE * RQ)), LML=-4946.292
