iteration,RBF_BO,HyperKappa_BO,Random,LLM-GA_unrestricted_p0.05,LLM-GA_unrestricted_p0.1,LLM-GA_unrestricted_p0.3,LLM-GA_unrestricted_p0.5,LLM-GA_unrestricted_p0.7,LLM-GA_unrestricted_p0.9,LLM-GA_depth3_p0.05,LLM-GA_depth3_p0.1,LLM-GA_depth3_p0.3,LLM-GA_depth3_p0.5,LLM-GA_depth3_p0.7,LLM-GA_depth3_p0.9
0,-4946.249974819924,-4946.249974819924,-4946.249974819924,-4946.249974819924,-4946.249974819924,-4946.249974819924,-4946.249974819924,-4946.249974819924,-4946.249974819924,-4946.249974819924,-4946.249974819924,-4946.249974819924,-4946.249974819924,-4946.249974819924,-4946.249974819924
1,-4946.239077630557,-4946.239077635112,-4946.249974819924,-4946.249974819924,-4946.249974819924,-4946.2178675684,-4946.2178675684,-4946.217867564272,-4946.249974819924,-4946.249974819924,-4946.249974819924,-4946.249974819924,-4946.249974819924,-4946.249974819924,-4946.249974819924
2,-4946.239077630557,-4946.239077630557,-4946.239077635112,-4946.249974819924,-4946.249974819924,-4946.2178675684,-4946.2178675684,-4946.217867564272,-4946.249974819924,-4946.249974819924,-4946.217867564272,-4946.249974819924,-4946.249974819924,-4946.217867564272,-4946.249974819924
3,-2711.9599853724208,-4946.239077630557,-4946.239077635112,-4946.249974819924,-4946.249974819924,-4779.095317668205,-4946.217867564272,-4946.217867564272,-4946.249974819924,-4946.249974819924,-4946.217867564272,-4946.217867564272,-4946.249974819924,-4946.217867564272,-4946.217867564272
4,-1484.703299843094,-4946.239077630557,-4946.239077635112,-4946.249974819924,-4946.249974819924,-4779.095317668205,-4946.217867564272,-4779.095317668205,-4946.249974819924,-4946.249974819924,-4946.217867564272,-4946.217867564272,-4946.249974819924,-4946.217867564272,-4946.217867564272
5,-1484.703299843094,-1.5002334525367564,-4946.239077635112,-4946.249974819924,-4946.249974819924,-4779.095317668205,-4946.217867564272,-4779.095317668205,-4779.095317668205,-4946.249974819924,-4946.217867564272,-4946.217867564272,-4946.249974819924,-4946.217867564272,-4946.217867564272
6,-1484.703299843094,-1.5002334525367564,-4946.239077635112,-4946.249974819924,-4946.249974819924,-4779.095317668205,-4779.095317668205,-4779.095317668205,-4779.095317668205,-4946.249974819924,-4946.217867564272,-4946.217867564272,-4946.249974819924,-4946.217867564272,-4779.095317668205
7,-1484.703299843094,-1.5002216030897169,-4946.239077635112,-4946.249974819924,-4946.249974819924,-4779.095317668205,-4779.095317668205,-4779.095317668205,-4779.095317668205,-4946.249974819924,-4946.217867564272,-4946.217867564272,-4946.249974819924,-4946.217867564272,-4779.095317668205
8,-1.5001450063414876,-1.5002216030897169,-4946.239077635112,-4946.249974819924,-4946.249974819924,-4779.095317668205,-4779.095317668205,-4779.095317668205,-4779.095317668205,-4946.249974819924,-4946.217867564272,-4946.217867564272,-4946.217867564272,-4946.217867564272,-4779.095317668205
9,-1.5001450063414876,-1.5002202691147566,-4946.239077635112,-4946.249974819924,-4946.249974819924,-4779.095317668205,-4779.095317668205,-1428.187747059181,-4779.095317668205,-4946.2178675684,-4779.095317668205,-4946.217867564272,-4946.217867564272,-4946.217867564272,-4779.095317668205
10,-1.5001450063414876,-1.5002202691147566,-4946.238438108075,-4946.249974819924,-4946.249974819924,-4779.095317668205,-4779.095317668205,-1428.187747059181,-4779.095317668205,-4946.2178675684,-4779.095317668205,-4946.217867564272,-4946.217867564272,-4946.217867564272,-4779.095317668205
11,-1.5001450063414876,-1.5002202691147566,-4946.238438108075,-4946.249974819924,-4946.249974819924,-4779.095317668205,-4779.095317668205,-1428.187747059181,-4779.095317668205,-4946.2178675684,-4779.095317668205,-4946.217867564272,-4946.217867564272,-4946.217867564272,-4779.095317668205
12,-1.5001450063414876,-1.5002202691147566,-4946.238438108075,-4946.249974819924,-4946.249974819924,-4779.095317668205,-4779.095317668205,-1428.187747059181,-4779.095317668205,-4946.2178675684,-4779.095317668205,-4946.217867564272,-4779.095317668205,-4946.217867564272,-4779.095317668205
13,-1.5001450063414876,-1.5001450063414876,-4946.238438108075,-4946.247573400551,-4946.244417403313,-4779.095317668205,-4779.095317668205,-1428.187747059181,-4779.095317668205,-4946.217867566212,-4779.095317668205,-4946.217867564272,-4779.095317668205,-4779.095317668205,-4779.095317668205
14,-1.5001450063414876,-1.5001450063414876,-1320.7995417901093,-4946.247573400551,-4946.244417403313,-4779.095317668205,-4779.095317668205,-1428.187747059181,-4779.095317668205,-4946.217867566212,-4779.095317668205,-4779.095317668205,-4779.095317668205,-4779.095317668205,-4779.095317668205
15,-1.5001450063414876,-1.5001450063414876,-1320.7995417901093,-4946.247573400551,-4946.244417403313,-4779.095317668205,-4779.095317668205,-1428.187747059181,-4779.095317668205,-4946.217867566212,-4779.095317668205,-4779.095317668205,-4779.095317668205,-4779.095317668205,-4779.095317668205
16,-1.5001450063414876,-1.5001450063414876,-1320.7995417901093,-4946.247573400551,-4946.2178675684,-4779.095317668205,-4779.095317668205,-1428.187747059181,-4779.095317668205,-4946.217867566212,-4779.095317668205,-4779.095317668205,-4779.095317668205,-4779.095317668205,-4779.095317668205
17,-1.5001450063414876,-1.5001450063414876,-1320.7995417901093,-4946.247573400551,-4946.2178675684,-4779.095317668205,-1428.187747059181,-1428.187747059181,-1428.187747059181,-4946.217867566212,-4779.095317668205,-4779.095317668205,-4779.095317668205,-4779.095317668205,-4779.095317668205
18,-1.5001450063414876,-1.5001450063414876,-1320.7995417901093,-4946.247573400551,-4946.2178675684,-4779.095317668205,-1428.187747059181,-1428.187747059181,-1428.187747059181,-4946.217867566212,-4779.095317668205,-4779.095317668205,-4779.095317668205,-4779.095317668205,-4779.095317668205
19,-1.5001450063414876,-1.5001450063414876,-1320.7995417901093,-4946.247573400551,-4946.2178675684,-4779.095317668205,-1428.187747059181,-1428.187747059181,-1428.187747059181,-4946.217867566212,-4779.095317668205,-4779.095317668205,-4779.095317668205,-4779.095317668205,-4779.095317668205
20,-1.5001450063414876,-1.5001450063414876,-1.5002216030897169,-4946.247573400551,-4946.2178675684,-4779.095317668205,-1428.187747059181,-1428.187747059181,-1428.187747059181,-4946.217867566212,-4779.095317668205,-4779.095317668205,-4779.095317668205,-4779.095317668205,-4779.095317668205
