Method,Time_seconds,Best_LML,Best_Iteration
RBF-BO,94.85116672515869,-1.5001450063414876,19
HyperKappa-BO,42.98523688316345,-1.5001450063414876,5
Random Search,32.730008363723755,-1.5002202691147566,37
LLM-GA_unrestricted_p0.05,136.53136706352234,-1331.8754059664961,0
LLM-GA_unrestricted_p0.1,215.27659630775452,-1322.7566632296307,16
LLM-GA_unrestricted_p0.3,177.7538983821869,-1322.9224067849832,42
LLM-GA_unrestricted_p0.5,210.27316665649414,-1322.9224067849832,41
LLM-GA_unrestricted_p0.7,238.46208596229553,-1322.9224067849832,41
LLM-GA_unrestricted_p0.9,251.98536825180054,-1331.8754059664961,0
LLM-GA_depth3_p0.05,141.3528459072113,-1331.8754059664961,0
LLM-GA_depth3_p0.1,154.5857584476471,-1331.8754059664961,0
LLM-GA_depth3_p0.3,162.1086962223053,-1322.784202951071,49
LLM-GA_depth3_p0.5,219.22560167312622,-1331.8754059664961,0
LLM-GA_depth3_p0.7,234.45831203460693,-1.5001450063414876,41
LLM-GA_depth3_p0.9,251.3902907371521,-1331.8754059664961,0
