Method,Avg_Time_sec,Std_Time_sec,Avg_Best_LML,Std_Best_LML,Avg_Best_Iter,Std_Best_Iter
RBF-BO,99.50622792243958,18.91568353719535,-1.5001450063414876,0.0,10.8,5.635601121442148
HyperKappa-BO,42.87054715156555,2.775354614090611,-1.5001450063414876,0.0,10.4,3.3823069050575527
Random Search,40.94073643684387,8.567112289873954,-1.500205750150087,3.0377762732392545e-05,27.0,15.594870951694341
LLM-GA Unrestricted (p=0.05),192.93144216537476,41.18869042102972,-1816.2963984646944,1654.2457072430282,2.6,5.2
LLM-GA Unrestricted (p=0.1),194.69580702781678,19.44539425711758,-1100.2863841701933,551.4505809453655,17.0,15.466091943344964
LLM-GA Unrestricted (p=0.3),225.7279827594757,34.0900506712342,-1110.8938333601177,558.1162192385807,12.8,16.904437287292353
LLM-GA Unrestricted (p=0.5),258.9953359127045,29.752142000280724,-1110.8938333601177,558.1162192385807,11.6,16.107141273360707
LLM-GA Unrestricted (p=0.7),281.97500014305115,38.118435959703326,-1110.8938333601177,558.1162192385807,10.0,15.8871016865884
LLM-GA Unrestricted (p=0.9),317.1811309337616,45.572906499293055,-1112.6844331964205,558.8075302159006,3.4,6.8
LLM-GA Depth≤3 (p=0.05),158.51792006492616,17.20280153947629,-827.7438450180449,676.9625959033309,5.8,8.207313811473275
LLM-GA Depth≤3 (p=0.1),165.39042887687683,12.313671841447029,-1518.986810248563,1747.5866385650886,9.0,9.186947262284681
LLM-GA Depth≤3 (p=0.3),183.09284715652467,19.45269446393562,-1781.04770671514,1591.6598641423698,12.6,18.99052395275075
LLM-GA Depth≤3 (p=0.5),221.98873562812804,21.662969112637384,-1091.6037243747983,548.3989186532805,8.6,17.2
LLM-GA Depth≤3 (p=0.7),255.12318992614746,33.810945410486575,-1516.7908951261945,1747.8290184542861,10.8,15.91728620085723
LLM-GA Depth≤3 (p=0.9),264.92978181838987,27.84190299226025,-1782.8659473182256,1591.1404339335852,1.2,2.4
