,kernel,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15
0,((PER * PER) * PER),0.2499619862014107,0.04896315518678584,0.0065480304293539255,-0.07308247415395122,0.0017042598628498567,-0.05124595673741693,0.04122671804214676,-0.03164656346518491,0.017740531239430975,-0.012297654837405131,0.008402665400619892,-0.0189929211374219,0.005452046621901505,-0.005929353925893551,0.0011309005461675702
1,((PER * PER) * RQ),0.2435385804941611,0.06294810053556625,0.04621370785010606,-0.023498613336522905,0.016982680226096523,-0.014162066286806935,-0.03204911051215577,0.0014936172512551103,-0.0026391611691006676,0.0020761995948599798,-0.002900290244208231,0.001073635288320539,-0.0015223290076537721,-0.0027235400562936342,-0.0027153311140280566
2,((PER * PER) * SE),0.2503623514949755,0.06516640490766501,0.052395780044272075,-0.019090199780786275,0.02031995668513699,-0.008560511158450346,-0.02925646652579868,-0.0028044953824099585,-0.0015868274317466056,0.0034477632007995185,-0.009764483043498943,-0.005474960659075825,-0.005868469592537814,-0.003290398268943124,-0.003152484264649483
3,((PER * PER) + PER),0.1518805610364465,0.011687208337466719,-0.0525828683756353,-0.05529624312026231,-0.038877210704058945,-0.020535786268737123,0.024873557041213516,0.0051194986293608535,-0.009103726219863755,0.0001786490069187961,-0.004939431163631011,0.00041326808993589814,-0.0018640315014539987,0.004809363118053857,-0.006925985779641596
4,((PER * PER) + RQ),0.05332960994233167,-0.05028637407535859,0.04197391183766745,-0.022423678200844087,-0.062357440958368635,-0.0064535776852665365,-0.006632807648168636,-0.020537649386468893,0.015317764982865726,-0.0043657958426588355,0.009531466754769714,0.018074620652685256,-0.004216225244110013,0.013024832299406314,-0.0010033535018472762
5,((PER * PER) + SE),0.05702309454804455,-0.04513045445757658,0.036935417021572436,-0.013158851798130464,-0.06350874616336366,-0.013113557970824289,-0.0021550575158347397,-0.01710626699838878,0.0231394126017211,0.002265631197719303,-0.002905808422118464,0.01882571759255326,-0.0006344171994663056,0.010880712081353959,-0.00971671857311634
6,((PER * RQ) * PER),0.2434769420391941,0.06317785913847729,0.04638932254345463,-0.024148049767948588,0.0169543957293248,-0.01343317624464539,-0.031174646856107952,0.0025823256366284218,-0.0014510397428181521,0.002850836015635665,-0.0035840433431292644,0.002932655406638323,-0.0033204100159031657,-0.001379611234345126,-0.0006429413345038824
7,((PER * RQ) * RQ),0.17858048247292224,0.017382169690674083,0.009181839332189818,0.02430015116592994,0.010872702429650759,0.009644463968118046,0.01696150005968326,-0.0067264611418274564,-0.0023883613794700026,-0.0004802703720169633,0.00010543131969748191,0.0033304755560448498,-0.0004963577838446045,0.0011750842745551135,-0.002239959927414492
8,((PER * RQ) * SE),0.181851339855747,0.016710193575566273,0.010188252742181617,0.025583313684398278,0.012904424088575476,0.00680287028733899,0.01846373447770109,-0.006971500764511528,-0.006237110315309095,-0.002472515584734603,-0.0030511280391561455,0.004989643672248219,0.002211876817424264,-0.005130914866390358,0.0010064312860802679
9,((PER * RQ) + PER),0.13046689880224732,0.013250039647064569,-0.029990029318269877,-0.007674052931511732,-0.023713081037140392,0.015466013314342332,-0.009740270227411906,0.024207642959405733,0.0003065087996838254,-0.010114533840778994,0.0022201805526114206,-0.0031273403139911752,0.012284838639820763,-0.0009184428811221987,-0.004289418546560997
10,((PER * RQ) + RQ),0.010893956402799795,-0.060008598988780006,0.0394706006486963,0.011252015661431341,-0.04999264738531091,0.0008906959228767465,-0.0032988826891635465,0.00020796970484853597,-0.007169210437765984,-0.009194070834323638,-0.0009919764447830107,-0.0023617653377266154,-0.006254793896257013,-0.0004996096184953393,0.005377131026030614
11,((PER * RQ) + SE),0.013400116452711688,-0.053496955404053345,0.034982993665136054,0.020084873999462363,-0.049941009566904886,-0.008816431794718454,0.0010778414568869332,0.008899198251106497,6.42464971425493e-05,-0.0012376446998662233,-0.010368459712016284,-0.0032874626359691095,0.0002793040793188889,0.0005999906748106677,-0.0010242537884678855
12,((PER * SE) * PER),0.2504194339705183,0.06511846274751651,0.05205400696158244,-0.019262096148758526,0.02049392502478154,-0.008505933417725124,-0.029440233286610003,-0.002715564958003074,-0.0027607013069287354,0.003177837409163372,-0.008784669888279702,-0.0059858703862340065,-0.005622265196083845,-0.0017750926204503368,-0.0018972849952488657
13,((PER * SE) * RQ),0.18187806947502133,0.01678345145088384,0.009896691946499931,0.02555433785948298,0.012938674483973706,0.006550763910756811,0.01786318755678352,-0.008736024495189926,-0.004468247376481115,-0.00023883628039925164,-0.0022502223210963002,0.007047285672999356,0.0039637243351368975,0.0014242425367367861,-0.0008853645690524494
14,((PER * SE) * SE),0.1840179473091797,0.016228588236394198,0.011545881126927568,0.0258969754463773,0.014336096455836004,0.004957537290697628,0.019212413272993792,-0.006962279408210895,-0.0071734372668989105,-0.0008137002380503095,-0.003998140051425363,0.008417729011530518,0.005698468170215399,-0.0037943565976094043,-0.0006861497867654141
15,((PER * SE) + PER),0.13657583718393065,0.013954863114354357,-0.025334697634027764,-0.0028810446344892343,-0.02392110319738149,0.018520103229872648,-0.007386916658532176,0.02069747604586554,0.0017644042692169862,-0.011394907308740748,-9.94045326250614e-05,-0.008464031579493613,0.009943313006215504,-0.001998410947589381,-0.0056542269398363095
